politics	Keir Starmer pushed on UK immigration levels	"Labour leader says he will not pick ""arbitrary migration targets"" over the number of workers coming to the UK from abroad. 
In an interview with the BBC's political editor Chris Mason, Sir Keir Starmer said there were some areas where the UK was ""over reliant"" on immigration, but more people were needed to help with some innovation and technical skills. 
Earlier in the day, Sir Keir spoke to the CBI about weaning the UK off its ""immigration dependency"".
We must wean economy off immigration, Labour leader warns businesses"	/news/uk-politics-63715808
business	Amazon could pay UK shoppers £900m compensation	"Amazon shoppers in the UK could receive a share of £900m in compensation, once a legal claim is submitted against the technology giant. 
roposed claim alleges the company breached competition law and caused customers to pay higher prices.
It is being led by consumer-rights champion Julie Hunter, who says products sold on Amazon.co.uk and the Amazon app obscured better-value deals.
ue to be filed before the end of the month.
Started as an online bookseller, Amazon is now the biggest e-commerce company in the world.
More than 80% of purchases on the site are made via featured offers in the ""buy box"". 
But Ms Hunter alleges independent sellers are excluded from the buy box, even when they offer the same product cheaper or on better terms - thus breaching UK and EU competition law.
""Nine out of 10 shoppers in the UK have used Amazon, according to surveys, and two-thirds use it at least once a month,"" she said. 
Ms Hunter alleges Amazon uses ""tricks of design to manipulate consumer choice and direct customers towards the featured offer in its buy box"".
featured offer is the only one considered and selected by the vast majority of users, many of whom trust Amazon and wrongly assume it is the best deal, according to Ms Hunter.
gal action, to be filed in the Competition Appeal Tribunal, in London, will seek damages from Amazon estimated in the region of £900m.
David Greene, from the London Solicitors Litigation Association, told BBC News the likelihood of success was difficult to assess.
""Clearly Amazon will fight the case at all stages, including class certification, but the tribunal has made a number of orders recently for similar actions, certifying the optout process,"" he said.
""Big tech companies are well resourced to fight.""
Anyone living in the UK who has made purchases on Amazon.co.uk or the Amazon mobile app since October 2016 is an eligible member of the claimant class. 
roposed lawsuit is an optout collective-action claim, which means affected shoppers, on whose behalf the class action is brought, will not pay costs or fees to participate. 
Lesley Hannah, one of the partners at Hausfeld and Co LLP, who are leading the litigation, said: ""Competition laws are there to protect everyone. They ensure that individuals can make genuine and informed choices and are not simply led into making selections which benefit the companies they interact with.
""Fairness is at the heart of competition law - and consumers are not being treated fairly by Amazon."" 
Ms Hunter added: ""Amazon shouldn't be allowed to set the rules in its favour and treat consumers unfairly. That is why I am bringing this action."" 
An Amazon official said: ""This claim is without merit and we're confident that will become clear through the legal process. 
""Amazon has always focused on supporting the 85,000 businesses that sell their products on our UK store - and more than half of all physical product sales on our UK store are from independent selling partners. 
""We always work to feature offers that provide customers with low prices and fast delivery.""
European Commission is pursuing two formal anti-trust investigations into Amazon. 
One, from November 2020, is evaluating the same alleged ""self-preferencing"" by Amazon as is alleged in the UK claim. 
mmission's preliminary finding was the rules and criteria for the buy box unduly favoured Amazon's own retail business and marketplace sellers using its logistics and delivery services. 
It is currently evaluating commitments offered by Amazon to address these concerns.
In July 2022, the Competition and Markets Authority (CMA) announced it was investigating Amazon's business practices, including how it set the criteria for selecting of the featured offer. 
CMA indicated its investigation followed on from the European Commission's."	/news/technology-63328589
sports	World Baseball Classic 2023: Great Britain qualify for first time after beating Spain 10-9	"Great Britain have qualified for the World Baseball Classic (WBC) for the first time in their history.
WBC, first staged in 2006, features the world's best international teams in an event equivalent to a World Cup in football, cricket or rugby.
Its fifth edition will be hosted by the USA, Japan and Taiwan in March 2023.
GB, the lowest-ranked team to have qualified so far for 2023, booked their place with a 10-9 victory over Spain in a final qualifying match on Tuesday.
With the game tied at 9-9, it went to extra innings - and in the bottom of the 10th, Alex Crosby hit a sacrifice fly deep to left field, allowing Matt Koperniak to score from third base for a walk-off win.
reviously overcome France and hosts Germany in the 12-team double-elimination qualifying event at the Armin-Wolf-Arena in Regensburg.
majority of the GB squad are prospects who play in the lower levels of minor league baseball, or in independent leagues, in the USA.
London-born Koperniak, for instance, plays at Double-A level in the St Louis Cardinals organisation - two rungs below Major League Baseball.
However, two current MLB players represented GB in the qualifying tournament for the 2017 WBC - Houston Astros pitcher Blake Taylor and Miami Marlins second baseman Jazz Chisholm Jr - who could be open to playing for GB in 2023 as they would only miss spring training games rather than regular season matches."	/sport/baseball/62976520
health	Disgraced surgeon's patients consider legal action	"Patients of a disgraced former neurosurgeon are considering a class action against NHS Tayside.
ft in chronic pain after operations by Prof Sam Eljamel at Dundee's Ninewells Hospital
A damning Scottish government report last month accused NHS Tayside of letting patients down.
Health Secretary Humza Yousaf said he expected NHS Tayside to give the issue the highest priority - a police investigation is also ongoing.
Dozens of patients are also calling for an external and independent review of what happened to them.
ged a protest to highlight their cause outside Ninewells Hospital. 
Scottish government has turned down calls for a public inquiry.
Prof Eljamel, the former head of neurosurgery at NHS Tayside in Dundee, harmed dozens of patients before he was suspended in 2013.
He was allowed to voluntarily remove himself from the General Medical Council's register and is now working as a surgeon in Libya.
Elizabeth Rose from L&M MediLaw said she had been approached by some of Eljamel's patients to look into any harm they experienced under his care, as well as the actions or omissions of Tayside Health Board. 
wyer also backed the patients' calls for a public inquiry.
She said: ""Although our investigations are at very early stages, a public inquiry would allow those affected to understand what happened to them and why.""
Jules Rose was among those protesting outside Ninewells Hospital.
After her operation in 2013, Ms Rose discovered that Prof Eljamel had removed her tear gland instead of a tumour on her brain.
She still has not been told exactly when health bosses knew he was a risk to patients.
Ms Rose said that a class action, or group proceeding as it is known in Scotland, was being considered.
However, she said that a public inquiry was the patients' priority.
She said: ""Patients have been complaining to NHS Tayside for years and they have got nowhere.
""They have got every door closed in their face. 
""Why was Tayside allowing the surgeon to continue butchering people for so many years, what were they doing?
""Where were their systems and processes?
""All these questions need answered by external scrutiny.""
An NHS Tayside spokeswoman said the health board was aware of the protest.
She added: ""We continue to be in contact directly with Ms Rose and have offered her another meeting with the Chair, Chief Executive and Medical Director. 
""Ms Rose has advised that she welcomes this further opportunity for discussion.  
""We are also making arrangements for other patients who wish to discuss their circumstances to be invited to a meeting."" "	/news/uk-scotland-tayside-central-63877241
technology	Undeclared pools in France uncovered by AI technology	"ry of thousands of undeclared private swimming pools in France has provided an unexpected windfall for French tax authorities.
Following an experiment using artificial intelligence (AI), more than 20,000 hidden pools were discovered.
massed some €10m (£8.5m) in revenue, French media is reporting.
Pools can lead to higher property taxes because they boost property value, and must be declared under French law.
ftware, developed by Google and French consulting firm Capgemini, spotted the pools on aerial images of nine French regions during a trial in October 2021. 
regions of Alpes-Maritimes, Var, Bouches-du-Rhône, Ardèche, Rhône, Haute-Savoie, Vendée, Maine-et-Loire and Morbihan were part of the trial - but tax officials say it may now be rolled out nationwide.
re were more than 3.2 million private swimming pools in France in 2020, according to data website Statista, with sales already booming before the Covid pandemic. 
But as more employees worked from home, there was a further surge in pool installations.
According to Le Parisien newspaper, an average pool of 30 sq m (322 sq ft) is taxed at €200 (£170) a year.
x authorities say the software could eventually be used to find undeclared home extensions, patios or gazebos, which also play a part in property taxes.
Antoine Magnant, the deputy director general of public finances, told Le Parisien: ""We are particularly targeting house extensions like verandas. 
""But we have to be sure that the software can find buildings with a large footprint and not the dog kennel or the children's playhouse,"" he added. 
rackdown comes after Julien Bayou, of France's Europe-Ecology Greens party, did not rule out a ban on new private pools. 
Speaking to BFMTV, he said that France needs a ""different relationship to water"" and that the ban would be a ""last resort"". 
""The challenge is not to ban swimming pools, it is to guarantee our vital water needs,"" he said. 
His comments come as France tackles its worst recorded drought that has left more than 100 municipalities short of drinking water.
In July, France had just 9.7mm (0.38in) of rain, making it the driest month since March 1961, the national weather service Meteo-France said.
Irrigation has been banned in much of the north-west and south-east of France to conserve water.
Watch: Drought leaves boats stranded on dried-up river bed along French-Swiss border"	/news/world-europe-62717599
entertainment	The Traitors: What happens when the castle cameras stop rolling?	"Behind the walls of a Scottish castle, a group of 22 people have watched their number dwindle as they are slowly picked off by a ruthless band of killers. Theo Mayne, one of the contestants on the hit BBC reality show The Traitors, explains what life was like as he tried to stay in the game.
""I was paranoid every moment of the day,"" the Leeds-born cheerleading coach says.
""Not only didn't you know who to trust, but you also had Claudia ready to come in and drop a bombshell.""
In the sweeping Scottish Highlands, Claudia Winkleman has played taskmistress for three weeks over an ever-shrinking band of players stationed at Ardross Castle.
Contestants are split into either faithful or traitors, with the former trying to smoke out the latter before they 'murder' them and are forced to leave empty-handed.
faithful can also be banished by their own after a gruelling roundtable discussion where fingers are pointed and accusations fly.
Warning - this article contains spoilers for the series.
""It was savage,"" says Theo. ""I was savage. I called multiple people out. 
""The round tables are tough because people are just clutching at straws. What you see on TV, it happened, it was crazy.""
room was cold and discussions were in-depth, with some players leaving in tears. Faithful Aaron had a panic attack as the spotlight of suspicion mistakenly fell on him.
""The traitors led that round table. The faithfuls were like sheep and just followed others,"" Theo recalls.
Admitting he's ""an emotional person"", the 27-year-old says the experience was intense.
He had to fight back tears as he stood up and told the group, who had just voted for him to go, that he was actually a fellow faithful.
""You don't know who to trust, and when you do trust someone they backstab you,"" he says.
's fate was sealed during the roundtable vote when his friend Amanda, who had previously said she ""100%"" trusted Theo, revealed she believed he could be a traitor too.
Amanda was later unmasked as one of the murderous traitors.
What was that like for Theo?
""It was tough,"" he exclaims.
""I spent so many times with Amanda on and off camera.""
Welfare teams worked with the cast during filming to make sure contestants were happy with the experience.
Before each episode goes out, the group are told what to expect, including what might have made the final edit.
So what happens when the players finish at the end of each day's filming?
Contestants are separated and are transported individually to their off-site accommodation.
won't meet or speak to each other until the next morning, when they are taken back to the country home for their breakfast reunion.
While the faithful toss and turn in the night trying to figure out who could be killing them, the traitors continue filming in the early hours, plotting their next move.
""I don't think I could have been a traitor from the start, but I think if I was given an ultimatum I would have said yes,"" admits Theo.
""Everyone trusted me at that point, so I'd like to be recruited, but I'm a nosy person so I'd have seen who the other traitors were and be like, 'Oh, it's you!'""
Host Claudia Winkleman was ""invested"" in the game and the players, he adds.
""The day I was banished and the cameras stopped rolling, she gave me a tight hold and said, 'it's alright, it'll be OK' and I think I needed someone like that.
""She's just a genuine warm heart, but great to see a savage side to her.""
She joins the group on their challenges - some filmed miles from the castle.
mits he would stare in awe at the rolling Scottish hills on the long drives during his first visit north of the border.
So do the contestants, who filmed the series in May, still stay in touch?
Well, they have a WhatsApp group - and everyone, even traitors - are included, reveals Theo.
During the show, phones become red hot as messages and memes fly in as their drama is relived on TV sets across the nation.
Since his appearance, Theo says he's been recognised everywhere he goes - including while doing his weekly shop at Aldi.
""The support I've had has been phenomenal. It's been overwhelming,"" he smiles.
A mix of hidden and overt cameras captured the action, with almost every moment of their time in the castle filmed, meaning their secretive chats were often recorded.
, who also applied to be on game show Blankety Blank, hopes his appearance will also encourage others from different backgrounds to sign up for TV programmes.
""I just want to be a beacon of light for people and just show you can come from any background and you can do anything if you work hard.
""There's not enough diverse, gay, multicultural people on TV and we need more of that.
""It made me stronger, more confident, made me believe in my self more. I'd go back in again tomorrow.""
So who is the best player?
mits he believes traitor Wilfred Webster has brought his A game.
""He's playing a blinder. What a whopper.
""Flown under the radar, had an emotional outburst which put him in good stead, got Hannah [a member of the faithful] by his side and she's always backing his corner.
""I just hope it doesn't upset the people around him [when they discover he's a traitor]. If I was in his shoes and could play that game I would have, but I'd be emotionally wrecked.""
raitors concludes on BBC One at 21:00 GMT on Thursday. It is also available on BBC iPlayer.
Follow BBC Yorkshire on Facebook, Twitter and Instagram. Send your story ideas to yorkslincs.news@bbc.co.uk."	/news/uk-england-leeds-64067406
business	Scottish tourist businesses report booking fall	"Half of Scotland's tourism industry says it has recorded fewer bookings this summer compared with 2019, new figures show.
Scottish Tourism Alliance (STA) survey found almost 40% of businesses reported a decrease in spending since May 2021.
Business say the drop-off is due to the cost-of-living crisis and the appeal of international travel. 
ruggle to compete on price with global destinations.
More than 700 tourism businesses across Scotland took part in the survey, which ran from 17 May to 8 June.
A record 55% of businesses reported that their international bookings for June-August were lower in comparison with May 2019 - before the pandemic.
It also highlighted problems with staffing and recruitment, with 60% of hotels saying they are unable to trade effectively at current staffing levels. 
Marc Crothall, STA chief executive, said the report showed recovery from the pandemic was happening at a much slower pace than anticipated and not across all tourism sectors.
He said: ""The cost-of-living crisis is hitting Scotland's tourism sector very hard on many levels.
""People are hesitant about committing to booking a break due to household financial challenges and uncertainty and with the rise of energy prices and supplier costs, many businesses are finding the level of recovery almost static.
""This impacts the ability for our tourism industry to remain competitive globally; we struggle to compete on price and we're unable to retain and attract the quality of staff required to deliver the level of service demanded by today's consumers.""
He added that the disruption caused by rail strikes made it harder for the industry to thrive.
Malcolm Roughead, chief executive of VisitScotland, said the survey underlined some of the challenges facing the tourism industry but also highlighted some positives.
He said: ""There are some encouraging signs with the return of international visitors and consumer research which shows more UK residents expect to take an overnight domestic trip between June and September than in 2021."""	/news/uk-scotland-61881242
health	Scarlet fever: Mother's terror after late-night antibiotic search	"mother of a baby who had scarlet fever says she was left terrified after being sent on a fruitless late-night antibiotics hunt.
Beth Foreman attended Lincoln County Hospital with baby Clio on Friday and left with a penicillin prescription.
She was told it was ""imperative"" her 11-month-old daughter took it that night, but all nearby pharmacies told her they did not have any in stock.
government said there was ""no supplier shortage"" of antibiotics.
Ms Foreman said she called NHS 111 after her daughter became ""poorly and lethargic"" with a bright red rash on her face.
""You could have literally fried eggs on her cheeks, she was irritable, crying and she'd waited for five to six hours in the hospital until she'd been seen.""
Ms Foreman said they left hospital at 23:45 GMT on Friday ""having been told they didn't have penicillin"".
""Off I went in minus two degrees with my 11-month-old baby on my own, with my partner working away, in search of penicillin somewhere in Lincoln.""
She said all overnight pharmacies told her they did not have any supplies, with parents, family and friends all encountering the same problem while attempting to help.
""It was very scary, I spent the whole night very concerned about my daughter and literally searching for what appeared to be a non-existent medication that was very important to her health.""
She said she was advised by the overnight pharmacies to return to the hospital for further advice. 
""After some persuasion and a lengthy discussion at the hospital they did manage to find us the penicillin from an inpatient ward, and claimed it was the last bottle in the building,"" she said.
Clio's father Dean Wain, a lorry driver who was working at the time, said: ""I was worried and upset, I'd been told my daughter's in hospital and my girlfriend was out trying to source medication.
""How can a hospital say you need a medication, and not be able to give it you - where do you go hunting for it at midnight, with a screaming baby?""
Ms Foreman added: ""It's the thought that your child might potentially need this to stop what is initially a minor illness from developing into something very serious, it's terrifying.""
Department of Health and Social Care said there was ""no supplier shortage of antibiotics available to treat strep A"".
A spokesperson said: ""We sometimes have surges for products and increased demand means some pharmacies are having difficulties obtaining certain antibiotics.
""We rely on competition to drive down the prices of generic medicines which generally results in lower prices for the NHS - this means prices can fluctuate, but no company should use this as an opportunity to exploit the NHS.
""Where companies are found to be abusing their dominant position by charging excessive and unfair prices, the Competition and Markets Authority can take action against businesses and individuals engaged in anti-competitive conduct.""
Follow BBC East Yorkshire and Lincolnshire on Facebook, Twitter, and Instagram. Send your story ideas to yorkslincs.news@bbc.co.uk."	/news/uk-england-lincolnshire-63948089
politics	Gavin Williamson: Downing Street looking into bullying claims	"Downing Street has said it is seeking to establish the facts about abusive comments allegedly made by Cabinet Office minister Sir Gavin Williamson.
A senior civil servant told the Guardian Sir Gavin had bullied them and told them to ""slit your throat"".
He has also been reported to the MPs' bullying watchdog over messages to Tory colleague Wendy Morton.
Sir Gavin denies the allegations. No 10 said it was looking into the claims and was prepared to take action.
Prime Minister Rishi Sunak has said the language Sir Gavin had used was ""not acceptable"", but No 10 earlier insisted the PM still has full confidence in him.
A series of text messages by Sir Gavin to Tory colleague and then-Chief Whip Wendy Morton were published on Sunday.
In them, he appears to complain MPs not ""favoured"" by then-Prime Minister Liz Truss were being excluded from attending the Queen's funeral at Westminster Abbey.
He accused Ms Morton of ""rigging"" the ticket allocation to punish people - including himself - who were not supportive enough of Ms Truss.
Sir Gavin reportedly warned Ms Morton ""not to push him about"" and that ""there is a price for everything"".
Last month, Ms Morton sent the messages to the Conservative Party after making a formal complaint about Sir Gavin's behaviour.
On Tuesday, she referred Sir Gavin to Parliament's Independent Complaints and Grievance Scheme (ICGS). 
ks into claims of parliamentarians and staff who feel they have been bullied or harassed. 
Guardian has reported that the senior civil servant who claims to have been bullied by Sir Gavin has also referred the MP to the ICGS.
Last year, investigations by the ICGS took 216 days on average to complete.
Under the process, complaints are initially assessed by an external investigator. A decision is then made on whether to move to a full investigation.
Downing Street said it was carrying out an informal fact-finding investigation into the comments as well.
rime minister's spokesman said the investigation may act before either of the existing processes are complete.
Meanwhile, Sir Gavin's former deputy when he was chief whip claimed he acted in an ""unethical and immoral"" way in the role. 
Anne Milton, who was deputy chief whip from May 2015 to July 2017, described his behaviour as ""threatening"" and ""intimidating"". 
Ms Milton, who was expelled from the Conservative parliamentary party in 2019 over Brexit and subsequently lost her seat, told Channel 4 News: ""I got the impression that he loved salacious gossip, and would use it as leverage against MPs if the need arose.""
Watch: Sunak on Williamson texts - Not right, not acceptable
In response to the allegations by Ms Morton, Sir Gavin told the Sunday Times: ""I of course regret getting frustrated about the way colleagues and I felt we were being treated.""
Asked if it amounted to bullying, Mr Sunak said ""an independent complaints process"" was under way and it would be ""right to let that process conclude"".
In a separate development, an unnamed Ministry of Defence official told the Guardian Sir Gavin told them to ""slit your throat"" and ""jump out of the window"" when he was defence secretary. 
fficial said they raised concerns to the Ministry of Defence's human resources department but made no formal complaint.
In a statement, Sir Gavin said: ""I strongly reject this allegation and have enjoyed good working relationships with the many brilliant officials I have worked with across government. 
""No specific allegations have ever been brought to my attention.""
Mr Williamson does not deny using the language.
Sir Gavin was defence secretary between 2017 and 2019 under Theresa May, until he was forced to resign after details of Huawei's potential involvement in the UK's 5G network were leaked.
He was brought back into government by Mr Sunak, after helping run the prime minister's leadership campaign.
Labour frontbencher Jonathan Ashworth said Rishi Sunak had shown a ""complete lack of judgement"" in bringing Sir Gavin back into government despite knowing there were allegations against him.
He said Mr Williamson portrayed himself as a ""cartoonish character bullying colleagues"" and that ""it's just not what we need around the cabinet table"".
Sir Gavin was appointed minister without portfolio on the first day of Mr Sunak's premiership. Among his responsibilities are tackling overseas conflict and improving the government's communications. 
Work and Pensions Secretary Mel Stride said Sir Gavin's role in government was ""very important"".
Mr Stride told Times Radio: ""I think Gavin is somebody who, as I say, has particular talents and a particular understanding of the parliamentary party.""
Liberal Democrats are demanding an independent Cabinet Office inquiry into Sir Gavin's remarks.
""Anything less would be an abdication of leadership from Number 10, and make a mockery of Sunak's promise to govern with integrity,"" Lib Dem spokesperson Christine Jardine said."	/news/uk-politics-63555085
business	Government borrowing costs rise after PM's U-turn	"Government borrowing costs rose on Friday afternoon after the prime minister announced another U-turn on the mini-budget.
und, which initially held firm earlier on Friday, also lost ground.
moves came as Liz Truss sacked her chancellor, Kwasi Kwarteng, and said a rise in corporation tax would now go ahead.
However, some economists warned that the latest developments might not be enough to restore the UK's credibility.
""It's unlikely that the removal of Kwasi Kwarteng as chancellor and the new plans to cancel the cancellation of the rise in corporation tax from 19% to 25% from next April will be enough on their own to regain the full confidence of the financial markets,"" said Paul Dales, Chief UK economist at Capital Economics.
He also pointed out that despite another U-turn on the 45p tax cut, there are still unfunded tax cuts of about £25bn left over from the mini-budget - down from £45bn originally.
f government borrowing rose across a range of bonds traded on the financial markets following the announcement. 
rest rate - or yield - on bonds due to be repaid in 30 years' time climbed to 4.85%. 
5.17% on 28 September in the aftermath of the mini-budget when Mr Kwarteng set out one of the biggest tax cuts packages seen in decades but did not explain how they would be funded.
Meanwhile, the yield on bonds due to be repaid in five years' time, which underpins the cost of new five-year fixed rate mortgages, jumped to 4.35%.
und - which had jumped on Thursday as speculation mounted about a possible U-turn - also sank by more than 1% to just under $1.12 on Friday before clawing back some losses.
Prime Minister Liz Truss admitted the government's mini-budget had gone ""faster and further"" than many expected. 
""We need to act now to reassure the markets of our fiscal discipline,"" she said.
government also announced that Jeremy Hunt, the former foreign and health secretary, will succeed Mr Kwarteng. He will be the UK's fourth chancellor so far this year and will face big challenges with prices soaring and hikes in interest rates.
Speaking to the BBC's economics editor Faisal Islam, leading economist Mohamed El-Arian said that the events seen in the UK over the last few weeks in particular were ""unthinkable"".
""There are already scars. If you had to refinance your mortgage, if you're looking to buy a house - you've been hit,"" he said of the recent market turmoil.
He said Mr Hunt ""needs more measures, he needs to cover more of the unfunded tax cuts that were introduced… most of the damage is recoverable but it needs action and time"".
Investec economist Ellie Henderson described markets as ""dizzy"" over the series of policy reversals and changes.
""Markets seem unconvinced that today's announcement was enough to fully restore confidence in the UK government,"" she said.
government had already U-turned on its plan to scrap the top rate of income tax for people earning £150,000 a year or more. Reducing the tax rate for top earners would have cost £2bn. 
Moving ahead with the increase in corporation tax should add an estimated £18bn a year in tax revenue to the government's coffers.
rime minister added that ""spending will grow less rapidly than previously planned"". 
reasury also confirmed that the incoming chancellor would still deliver the government's ""economic plan"" on 31 October, which will set out how the remaining tax cuts will be funded, and how debts will be reduced.
On Friday, an emergency bond-buying scheme set up by the Bank of England to restore calm in the financial markets following the previous mini-budget will also come to an end. 
government raises money it needs for spending by selling bonds - a form of debt that is paid back plus interest in anywhere between five and 30 years.
Pension funds invest in bonds because they provide a low but usually reliable return over a long period of time.
However, the sharp fall in their value after the mini-budget forced pension funds to sell bonds, threatening to create a ""downward spiral"" in their prices as more were offloaded, which left some funds close to collapse.
rked an emergency intervention by the Bank of England, which has stepped in to buy £19.3bn worth of government bonds.
re has been strong speculation that the Bank will extend the scheme past the Friday deadline.
But on Tuesday, the Bank's governor Andrew Bailey dashed those hopes, telling pension funds: ""You've got three days left now and you've got to sort it out.""
Bethany Payne, global bonds fund manager at Janus Henderson, told the BBC it was not clear whether pension funds have done enough to strengthen their finances.
""The risk is that we don't know how pension funds have used this window of time and whether they have used it effectively by raising cash and doing everything they need to,"" she said.
""So the true test of the market will be this afternoon and Monday morning to see whether they have done enough."""	/news/business-63243918
