health	Nyanzvi muNyaya dzeHutano hwePfungwa, Doctor Nzuzu, Vobatsira Vane Matambudziko eZvinodhaka Vari kuZimbabwe	Chizvarwa cheZimbabwe chinogara muJacksonville mudunhu reFlorida muAmerica, Doctor Emmanuel Nzuzu, avo vanove nyanzvi munyaya dzehutano hwepfungwa pamwe nezvekubatsira vane dambudziko nezvinodhaka, vanoti vakazvipira kubatsira vane dambudziko rezvinodhaka vari kumusha. Doctor Nzuzu pari vari zvino vari kumusha kuZimbabwe uko vari kushanda nevanhu vane matambudziko ekutadza kusiya zvinodhaka zvakasiyanasiyana zvinosanganisira mbanje, mapiritsi nedoro, kuburikidza nekuita misangano. Doctor Nzuzu, avo vave nemakore anodarika gumi nemanomwe vachiita basa rekudzidzisa vane matambudziko nezvinodhaka kuburikidza nekushanda muzvipatara zvakasiyanasiyana pamwe nedandemutande ravo, vanoti vakaenda kuZimbabwe nekuona kukura kwedambudziko nezvinodhaka ravanoti rabata nyika. Vanoti kubva pavasvika kuZimbabwe muna Mbudzi, vaita misangano miviri muHarare, uye vane tarisiro yekuti vachange vachiita mimwe misangano kunze kweHarare. Doctor Nzuzu vanoti kune vanoda kubatsirwa vanokwanisa kuvabata panharembozha yavo yavari kushandisa muZimbabwe inoti + 263 776 505 052, kanawo kutsvaga bhuku ravo rakanangana nekubatsira vanenge vaine matambudziko ekukundikana kusiya zvinodhaka rinonzi, “How to Stay Sober”. Vanoda rubatsiro vanokwanisawo zvakare kuenda padandemutande ravo rinoti https://www.howtostaysober.info, apo vanhu vanogona kuenda vachiwana zvidzidzo zvekuti vangakwanise sei kusiya zvinodhaka. Doctor Nzuzu vakaberekerwa kuChipinge vakazoenda kuAmerica muna 2003. No media source currently available 	https://www.voashona.com/a/6876507.html
sports	Ticharonga Cosafa patsva: Destombes	SANGANO reCouncil of Southern Africa Football Association (Cosafa) – iro rinoronga Cosafa Cup – rinoti mitambo yegore rino ichadzoserwa kumashure nekuda kwechirwere cheCovid-19 icho chakakonzera kuti nhabvu imbomira kutambwa kunyika dzakawanda dzepasi rose.   Mitambo yeCosafa Cup yegore rino yange ichifanirwa kutambwa munaChikumi kuDurban, kuSouth Africa.   Asi muhurukuro neKwayedza svondo rino, munyori mukuru weCosafa, Sue Destombes anoti mazuva achatambwa mutambo uyu gore rino achatariswa patsva sezvo pari zvino vanhu vasati vava kutenderwa  kufamba kuenda kune dzimwe nyika nekuda kwecoronavirus.   “Sekuziva kwemunhu wose, chirwere cheCovid-19 chavhiringidza zvakawanda pasi rose. Saka nekuda kwaizvozvo, mazuva achatambwa Cosafa Cup 2020 achasandurwa.   “Cosafa Cup inotambwa panguva iyo mitambo yePSL inenge yapera, saka nekudaro tichamirira kuti mitambo iyi igopera uye hatizive kuti lockdown iyi ichapera rinhi zvekare kuti miganho yenyika inovhurwa rinhi kuti vanhu vagofamba kuenda kune dzimwe nyika,” anodaro Destombes.   Zimbabwe imwe yenyika dzichange dzichitarisirwa kuenda kunokwikwidza kuCosafa Cup uko iine nhoroondo yekuva nyika yakahwina mukombe uyu kakawanda kudarika dzimwe nyika.   Kutaura kuno chikwata ichi chakwanisa kuhwina mukombe uyu katanhatu uye chakapedzisira kuusimudza mugore ra2018.   Gorerakadarika mukombe uyu wakahwinwa neZambia.	https://www.kwayedza.co.zw/ticharonga-cosafa-patsva-destombes/
health	Huwandu hweVanhu Vari Kufa neKubatwa neCovid-19 Hwowedzera Zvakare muZimbabwe	Huwandu hwevanhu vari kufa nekubatwa nechirwere cheCovid-19 munyika hwatanga kukwira zvekare mushure mekumbodzika kwemavhiki apera. NeMugovera bazi rezvehutano rakazivisa kuti vanhu vatatu vakafa nechirwere ichi zvasiya vanhu vafa nechirwere ichi kubva zvachatanga kupararira gore rapera vave chiuru chimwe chete chine mazana mashanu nemakumi matatu nevasere kana kuti 1,538. Asi mukati memazuva manomwe adarika kusvika Mugovera, vanhu gumi nevatatu kana kuti 13 vashaya nechirwere ichi zvichienzaniswa nevanhu vashanu vakafa vhiki rapera. Vanhu zana nemakumi maviri nevatanhatu kana kuti 126 vakabatwa nechirwere ichi neMugovera zvasiya vanhu vabatwa nechirwere ichi kubva zvachatanga kupararira vave zviuru makumi matatu nemanomwe nemazana maviri nemakumi manomwe nevatatu kana kuti 37, 273. Mumazuva manomqwe kusvika Mugovera chete vanhu mazana matatu nemakumi mashanu kana kuti 350 vabatwa nechirwere ichi zvachienzaniswa nevanhu zana nemumwe kana kuti 101 vakabatwa nechirwere ichi mumazuva manomwe svondo rapera. izvi zviri kuwedzerwao nekusamira zvakanaka kwaita zvinhu muzvikoro. Zvikoro gumi nezvishanu zvine vana nevarairidzi vakabatwa nechirwere ichi. Bazi rezvedzidzo rinoti vana vechikoro zana nemakumi matatu nevaviri kana kuti 132 vainge vabatwa nechirwere ichi pachikoro cheSacred Heart Primary neSacred Heart Girls Gigh kuEsigodini, Matabeleland South. Zvikoro zve Girls College ne Mzilikazi Primary zvine vana vabatwawo nechirwere ichi. Mutauriri webazi rezvedzidzo VaTaungana Ndoro vanoti vabereki havafanire kutya hazo nekuti hurumende iri kuita zvose zvakakodzera kuti chirwere chisapararire zvakanyanya vakati hapana munhu ari kubvumidzwa kupinda pachoikoro cheSacred Heart kusvika dambudziko riripo ragadziriswa. Zvichakadaro, vanhu makumi matatu nemumwe kana kuti 31 vakapora kubva kuchirwere ichi zvasiya vanhu zviuru makumi matatu nemana nemazana masere nemakumi matanhatu nevaviri kana kuti 34, 862 vapora kusvika parizvino. Vanhu vachiri kurwara mazana masere nemakumi manomwe nevatatu kana kuti 873. Vanhu vabayiwa nhomba yekutanga yeCovid-19 vave zana rezviuru nemakumi mapfumbamwe nevatatu nemazana mapfumbamwe nemakumi matatu nevatanhatu kana kuti 193, 936. Vabayiwa nhomba kaviri zviuru makumi maviri nemasere nemazana manomwe nemakumi manomwe nevanomwe kana kuti 28, 797.	https://www.voashona.com/a/huwandu-hwevanhu-vari-kufa-nekubatwa-necovid-19-hwowedzera-zvakare-muzimbabwe/5848365.html
sports	Tsigirai Emery: Mkhitaryan	anoti anofunga kuti sitayera yekutamba nhabvu yaUnai Emery ichabhadhara zvikuru kuArsenal uye anokurudzira vatsigiri vechikwata ichi kuti vatsigire murairidzi wavo mutsva uyu.   Chizvarwa chekuSpain ichi chakakundwa mitambo yacho miviri yekutanga agadzwa pachigaro chinopisa zvichitevera kutsiva kwaakaita Arsene Wenger mwaka uno.   MaGunners akakundwa 2-0 neshasha dzePremier League, Manchester City, mumutambo wekutanga ndokuzokundwa unotevera 3-2 neChelsea musi weMugovera, kunyangwe akambomira-mira akanwisa kaviri.   Mkhitaryan anoti Emery anoda nguva yekuronga tsoro dzake muchikwata ichi sezvo ari kuedza kushandura mashandiro aiitwa naWenger uyo akarairidza Arsenal kwemakore 22.   “Hazvina kunyanyosiyana asi pane zvimwe zvakangosiyana hazvo nekuti vanhu vaviri ava vakasiyana uye vari kutamba kana kufunga nezvimwe zvakasiyana,” anodaro.   “Emery akachengeta mafungiro aWenger asi ari kuvaka zvimwe zvitsva. Anoziva kuti anogona kuunza zvimwe zvinhu zvitsva kuchikwata chino. Hazvisi nyore nekuti zvinoda nguva chete.   “Tinofanirwa kuramba tichishanda nesimba nekuti tine murairidzi mutsva, mafungiro matsva uye tinoda kutamba nenzira yakasiyana sepanguva yaWenger,” anodaro. – Sportsmail Football	https://www.kwayedza.co.zw/tsigirai-emery-mkhitaryan/
politics	Makerere Oshora Bhiri reKuvandudza Mutemo weMashandiro eMasangano Akazvimirira Oga	Vamwe vemakereke vanoti bhiri rinoona nezvekunyoreswa nemashandiro\nemasangano akazvimiririra oga kana kuti Private Voluntary Organisation\nAmendment Bill richaderedza rubatsiro rwavanopa kune vanotambura.\n\nSachigaro wemubatanidzwa wemakereke mudunhu reMashonaland West\nreZimbabwe Heads of Christian Denominations-ZHCD-Pastor Tafadzwa\nMafukidze vanga vari pamusangano wemusi weChina vakati bhiri iri rikave\nmutemo richakanganisa basa ravanga vachiita rekubatsira\nvanhu munyaya dzezvekudya, dzidzo nezvehutano.\n\nVachipa pfungwa dzekereke kukomiti yeparamende inoona nezvemabasa\nnekugara zvakanaka kwwevanhu VaMafukidze vakati bhiri iri richaitawo kuti kushanda kwemasangano anoshanda akazvimiririra kuome kudarika zviripo parizvino.\n\nMumwe mudzimai apinda mumusangano wanhasi Muzvare Patricia Chibaya\nvakati hurumende inofanirwa kuregedza vemasangano akazvimirira\nvachiita basa ravo vakasununguka. Muzvare Chibaya avo vari kukwikwidza kuita kanzura muChinhoyi\nmusarudzo dzema by-elections kupera kwemwedzi uno vakamirira bato\nreCitizens Coalition for Change vanoti vemasangano akazvimiririra\nvakabatsira madzimai akawanda kuti vasatye kukwikwidza. Asi mumwe wechidiki wekuMakonde, VaGodknows Muzhandamhuri vanoti bhiri iri rakanaka rakadaro vachiti vemasangano akazvimiririra vanokurudzira\nvanhu kuti vapandukire hurumendep.\n\nVanhu vakawanda vati panyaya yekufambiswa kwemari ingangoshandiswa\nmunyaya dzezvehutototo pane mitemo yakawanda inodzivirira izvi\nyakafanana neweMoney Laundering Act. Vanhu vakaratidza kusafara nemasimba akawanda ari kupihwa kugurukota\nrehurumende pabhiri iri, simba ravati rinogona kushandiswa zvisiri\nizvo sezviri kuitika. Gurukota rezvemitemo Vaziyambi Ziyambi vakaudza Studio 7 kuti hurumende ichatanga yanzwa pfungwa dzevanhu isati yavandudza mutemo. No media source currently available 	https://www.voashona.com/a/6469668.html
business	Vamwe Vashandi Mubazi reKurima Vanoti Hurumende Haisi Kuvabata Zvakaenzana.	Sangano rinomirira vashandi mubazi rezvekurima, reZimbabwe Agricultural Professionals and Technical Association (ZAPTA) rinoti hurumende haisi kubata zvakanaka vanhu vanoshanda mune zvekurima richiti nhengo dzaro dziri kushandiswa dzisina zvekuzvidzivirira kubva kuCovid-19. Munyori weZAPTA, VaZivaishe Zhou, vaudza Studio 7 kuti vashandi vebazi rezvekurima vanoshandira mumaguta akaita se Harare vari kubatsirwa nezvekuzvidzivirira asi avo vanonzi vashande mazuva ose mumaruwa havasi kupiwa zvekuzvidzivirira kubva ku Covid-19. VaZhou vanoti hurumende inofanira kukoshesa hupenyu hwevashandi vose kusvika kuma wadhi emumaruwa. Studio7 yakundikana kubata mukuru anoona nezvevashandi mubazi rezvekurima, VaGibson Chijarira, sezvo nharembozha yavo yanga ichinetsa kubata. No media source currently available   	https://www.voashona.com/a/zimbabwe-agriculture-workers-accuse-govt-of-not-treating-them-fairly-zivaishe-zhou/5750432.html
health	Zvizvarwa zveZimbabwe Zviri muSouth Africa Zvotaura nezveCoronavirus	Mutungamiriri wenyika yeSouth Africa VaCyril Ramaphosa nemusi weSvondo vakatora matanho akaomarara mukuyedza kurwisa pamwe nekudzivirira kupararira kwechirwere checoronavirus chatekeshera pasi rose Vanhu makumi matanhatu nevana vabatwa nechirwere ichi munyika iyi. VaRamaphosa vakazivisa kuti South Africa kutanga nemusi weChitatu inenge yave kuvhara mimwe miganhu yayo uyo kurambidza kushanyira kana kutambira vanhu vari kubva kunyika dzabatwa nechirwere ichi dzinosanganisira Italy, Iran, South Korea, Iran, Spain, Germany, US, Britain ne China. Zvikoro zviri kuvharwawo musi uyu uye vanhu vari kurambidzwa kuungana kusanganisirawo kumiswa kwemitambo. MuSouth Africa mune zvizvarwa zveZimbabwe zvakawanda zviri kubatwa mumambure ezviri kuitwa kudzivirira chirwere ichi. VaOffice Jaka, avo vanobva kuKwekwe, vanoti vane chivimbo chekuti South Africa ichakwanisa kupedza dambudziko iri kunyange hazvo riri basa guru. Asi va Jaka vanoti varikunyanyo shungurudzika zvikuru, nevana vavo vaviri varikuita zvidzidzo zveElectrical Engineering kuChina. VaEmmanuel Mboti vanotiwo kunyangwe hazvo zvaitwa naVaRamaphosa zvakanaka, vichakanganisa hupfumi hwenyika yavo. Vaenderera mberi vachiti kumiswa kwemitambo kuchakanganisa kurarama kwevakawanda. Chimwewo chizvarwa cheZimbabwe chechidiki, chinogara muSouth Africa, VaMunyaradzi Mukanyiwa, vanoti vanowirirana nemashoko ataurwa naVaMbote. No media source currently available   	https://www.voashona.com/a/zvizvarwa-zvezimbabwe-zviri-musouth-africa-zvotaura-nezvecoronavirus-/5331060.html
business	Dare rePamusoro Rotonga Kuti Makurukota Ataurire Ruzhinji nezveMabhizimisi Avainawo	Dare repamusoro reHigh Court rinoti gurukota rezvemitemo VaZiyambi Ziyambi nemuchuchisi mukuru wehurumende, VaPrince Machaya vakatyora bumbiro remitemo nekutadza kwavakaita kudzika mutemo unosungira vakuru-vakuru muhurumende kubuditsa pachena hupfumi hwavo. Izvi zvinotevera chikumbiro chakasvitswa kudare nenhengo yeparamende inomirira Harare North, VaAllan Rusty Markham kuti bumbiro remutemo ritevedzerwe. Mutongi wedare repamusoro, VaJacob Manzunzu, nezuro vakatura mutongo wekuti VaZiyambi naVaMachaya havana kudzika mutemo unosungira vakuru-vakuru muhurumende kuti vaburitse pachena hupfumi zvavakati zvinopesana nezvavanosungirwa kunge vakaIta zviri mubumbiro remitemo renyika. Pasi pechikamu 198 (a) chebumbiro remitemo, paramende inofanira kudzika mutemo unoona kuti vakuru-vakuru muhurumende vaburitsa hupfumi hwavo pachena nguva nenguva nekutara zviga zvinofanira kuetevdzerwa nemakambani ehurumende pamwe nekurangwa kwevanenge vatyora mutemo uyu. Nokudaro, VaManzunzu vakapa VaZiyambi naVaMachaya mwedzi mitatu yekuona kuti mutemo uyu wadzikwa. VaMarkham vaudza Studio 7 kuti vari kufara zvikuru nemutongo uyu. VaManzunzu vakati zviri mubumbiro remitemo zvinofanira kuzadziswa uye hazvifanire kutora nguva kuzviita nekudaro vakakurudzira VaZiyambi naVaMachaya kuti vatore matanho ekuti mutemo unobata nyaya iyi wadzikwa. Mumiririri weHighfield West muparamende uye vari nhengo yekomiti yePublic Accounts mudare iri, VaHappymore Chidziva, vati chinhu chakakosha zvikuru kuti mutemo uyu udzikwe vachiti izvi zvinobatsira zvikuru mukurwisana nehuori uhwo hunonzi hwatambarara serunyemba munyika. Mukuru wesangano reTransparency International Zimbabwe, VaTafadzwa Chikumbu, vati zvakakosha kuti veruzhinji vazive kuti vatungamiri vavo vari kuwana sei mari dzavo kuti pasaite huori. Vanokokera bato reZanu-PF mudare reparamende VaPupurai Togarepi vaudza Studio 7 kuti mutemo unofanira kutevedzerwa asi vakati zvakakosha kuti nekune vamwe vemabhizimisi zviitwe kuti vasaite huori. VaMachaya vati titaure naVaZiyambi nezvenyaya iyi asi VaZiyambi vanga vasiri kudaira nharembozha yavo uye vanga vasati vapiundura mibvunzo yatavatumira kuti tinzwe kuti vachapikisa mutongo uyu here kana kuti kwete uye kuti matanho api avachatora. Asi pakunzwikwa kwenyaya iyi, vaviri ava vakaudza dare kuti kudzikwa kwemutemo uyu hachisi chinhu chinofanirwa kuitwa naivo chete vachiti vedare reparamende nedare remakurukota ehurumende vanofanirawo kuunzwa kudare kuti vazvipindurire sezvo vane chekuita nekudzikwa kwemutemo uyu. Hatina kukwanisa kutaura nemutauriri wedare reparamende, VaJacob Mudenda, sezvo vari kuRwanda kwavari kupinda mumwe musangano vachimirira paramende.  No media source currently available 	https://www.voashona.com/a/6795260.html
politics	Vagari vemuMasvingo Vopomera Mauto neMapurisa Mhosva yeKutyora Kodzero dzeVanhu	Vamiriri vemapato anopikisa vari kupomera mapurisa nemauto mhosva yekutyora kodzero dzevanhu. Mashoko aya akabuda pamusangano wakakokerwa neNational Transitional Justice Working Group, musi weChishanu paMasvingo Civic Center. Vemasangano akazvimirira vakati mapazi ehurumende ari kutadza basa raanofanira kuita rekuchengetedza runyararo nenyaya yekuti vari kutsigira nekushandiswa nemusangano weZanu PF. Vanokokera mabasa musangano reNational Transitional Justice Working Group VaDzikamai Bere vanoti chinangwa chavo ndechekuunza kupodzwa kwemaronda munyika uye kugadzirira kudzokazve National Peace and Reconciliation Commission iyo yakambomiswa nehurumende ichida kukwenenzverwa. Mutauriri we MDCT muMasvingo VaSimon Mupindu ndemumwe wevanhu vakashoropodza mapazi ehurumende. “Mapazi edu senyika ari kurasika zvakanyanya nenyaya yekuti vanofamba nebato rinotonga pane kuti vaite basa vakazvimirira. Havachagoni kuchengetedza runyararo kuvanhu vavanofanira kuchengetedza saka vari kukanganisa bumbiro remutemo.” Mapazi akanyanya kushorwa anoti, mapurisa, masoja, vasori pamwe chete ne madzishe ayo ari kupomerwa mhosva nyekutyora bumbiro remutemo. Muzvare Hilda Sibanda, mutungamiriri weRenewal Democrats of Zimbabwe vanoti mapurisa eZRP ari pamberi pakukonzera mhirizhonga. “Isu semusangano tinoona sekuti ndiwo anotonyanyokuwedzera mhirizhonga semufananidzo we mapurisa kuNorton aitorova vanhu vari kudivi rerimwe bato iro riri kutonga.” VaJefreson Chitando veZimbabwe People First vakashoropodza mauto vachiti vari kushungurudza vanhu. “Tinoona kuti bumbiro renyika riri kubvorongwa ne masoja ayo ari kufamba achishungurudza vanhu uye varikufamba vachimanikidza vanhu kuti vavhotere musangano we Zanu PF saka isu toona sekuti ndizvo zvakashata.” Vanoongorora zvematongerwe enyika Dr Takavafira Zhou avo vanotungamirawo sangano rePTUZ vakataurawo pamusangano uyu vakati mamwe mapazi ehurumende ari kukundikana ndee matare edzimhosva pamwe nemadzishe. “Vematare kana vaita basa ravo vapa kutonga kwavo vanoshoropodzwa saka vamwe vakutotsigira bato apowo madzishe kumaruzevha vanogova chikafu vachinyima avo vekumapato anopikisa saka izvi zvinoda kudzivirirwa kuti mapazi akadai akurudzire runyararo munyika.” Asi vaimirira Zanu PF pamusangano uyu, VaDaniel Shumba vanova nhengo yeparamende ye Masvingo Urban, vakaramba kuti musangano we Zanu PF unoshandisa mapazi ehurumende kunkonzera mhirizhonga. “Toda kugadzira kuti dai ruzhinji rwevanhu munyika rwaziva chokwadi pane kungoita ruzha pasina ruzivo, mapazi aya anofanira kutsigirwa nehurumende kana yadaro inokanganiswa nevekunze kwenyika vanoda kubvisa hurumende pachigaro chekutonga.” Asi vemasangano akazvimiririra vanoti vatungamiriri ve mauto, mapurisa pamwe nemadzishe vanogara vachitaura kuti vanotsigira mutungamiriri we Zanu PF VaRobert Mugabe nokudaro izvi zvinoita kuti vazotumwa kuita zvakaipa kuvatsigiri vemapato anopikisa. Vakatizve mhirizhonga iri kuitika munyika ichikonzerwa nemapurisa nemauto inoratidza kuti sarudzo dzekusarudza mutungamiriri wenyika muna 2018 dzinogona kuona mhirizhonga yakawanda nekudeuka kweropa. Hatina kukwanisa kubata mutauriri wemapurisa Senior Assistant Commissioner Charity Charamba kanawo vatauriri vemauto.  	https://www.voashona.com/a/zimbabwe-matongerwo-enyika/3565747.html
sports	Dynamos Yotatsurana neFC Platinum Mumutambo Wakakosha weCastle Premier Soccer League	Dyanamos iyo ine gakava mumba mayo iri kutarisirwa kutamba nechikwata chiri kutungamira gungano reCastle Premier Soccer Leagur cheFC Platinum mumutambo wakatarisirwa neveruzhinji munyika neMugovera. Nhengo yeDynamos Supporters Association Muzvare Judith Nyatsanza vanoti vateveri vechikwata ichi vanofanira kubatana vakananga kuZvishavane kuti vanokunda FC Platinum. Chikwata ichi chirikubaka moto nekudzima zvekuti vateveri vavo havasisina chivimbo nechikwata chavo mumitambo mitanhatu yasara. Muongorori wezvemitambo VaDannyboy Muneri vanoti vachitarisa matambiro anga achiita zvikwata izvi Kugona Kunenge Kudada iri kukunda. VaMuneri vanofembera zvibodzwa zvavanofunga kuti FC Platinum inokunda nazvo. Chikwata chiri pachidanho chechitatu Highlanders chiri pamusha neMutare City Rovers apo Caps United iri pamusha zvekare neTsholotsho Pirates. Mutare City Rovers irikusangana ne Ngezi Platinum Stars panguva iyo Triangle ine Chapungu. ZPC Kariba ichatamba neHarare City Chicken Inn ichivhara musangano neNgezi Platinum Stars	https://www.voashona.com/a/zimbabwe-mitambo/3522355.html
