category	headline	text	url
business	Miyetti Allah: 'Anyị ga-agbachi ụlọahịa anyị niile n'Enugwu steeti'	Ngalaba na-ahụ maka ọzụzụ nama bụ Miyetti Allah ekwuola na ha ga-agbachi ụlọahịa niile n'Enugwu n'ụbọchị iri na anọ nakwa iri na ise nke ọnwa Ọgọst. Ha kwuru na nke a bụ iji kuziere ndị Fulani bi n'Enugwu steeti maka okwu nchekwa. N'ime akwụkwọ ozi ha ziputere ha kwuru na nkuzi a dị mkpa maka ọnwụ Fr Paul Offu nakwa ndị ọzọ. Ha kwere nkwa ịnyere gọọmentị Enugwu steeti enyemaka n'ịhazi okwu nchekwa ndụ na akụnaụba steeti ahụ. BBC ghọtara na otu ụgbọelu Medview na-aga Legọs efeghachila Abuja maka nsogbu ijnin o nwere n'ụzọ. Ka a na-ekwu nke a, ndị njem ka tọrọ n'ime ya bụ ụgbọelu dịka ndị ọrụ ọdọụgbọelu ekweghi ha bata n'ime ọdọụgbọelu ahụ. Ụfọdụ ndị a gbara ajụjụ ọnụ kwuru na ha kwesiri iji Dana Air mee ya bụ njem mana emechara tinye ha n'ụgbọelu ndị Medview. Dịka ha si kwuo, o nweghi onye ọrụ Medview kọwara ha ihe na-eme maọbụ ihe na-aga aga Jeffrey Epstein bụ onye ọrụ ego anwụọla n'ime ụlọ mkpọrọ dịka ọ na-eche ka akpụpụ ya ụlọikpe maka ebubo ịgba mgbere mmadụ. Cheta na achọtara ya n'oge mgbe o nwara igbu onwe ya n'ọnwa gara aga. Asọmpi Premier Lig amalitela n'uju ya dịka Man. City ji ọkpụ goolu ise asataghị otu were chie West Ham ọnụ n'ala. Ebe otu Tottenham na Aston villa na-achịpụ ya ugbua ị ma mbe na abọ nke bụ oke. N'egwuregwu, n'abalị asaa nke ọnwa Disemba afọ a ka nwaafọ Naijiria bụ Anthony Joshua ga-enwe ohere ịnataghachị ugwu ya n'iti ọkpọ n'aka Andy Ruiz. Dimkpa abụọ a ga-ezute onwe ha ọzọ na mba Saudi Arabia. Cheta na Ruiz kụpụrụ Joshua mkpụrụ ọkwụrụ n'anya mgbe ha zutere onwe ha n'ọnwa June, ma nara ya nturuugo IBF, WBA nakwa WBO o jibu. Mana ụfọdụ ndị na-akwado Joshua na-agbarụ ihu maka na ọgụ Joshua na Ruiz ga a bụ na mba Saudi Arabia. Ha kwuru na Saudi Arabia bụ obodo na-anaghị asọpụrụ ikike dịịrị onye bụ nke a kpọrọ 'human rights'. Ndị ọzọ kwuru na obodo ahụ ga-etere ha aka ịga lelee ọgụ a ga-akpụ ọkụ n'ọnụ. Isi ụlọọrụ nchekwa Naijiria a kpọrọ Defence Headquarters ehiwela otu ga-eleba anya n'ogbugbu ndị agha gburu ndị uweojii atọ na Taraba Steeti. Nke a bụ iji mezu iwu Onyeisiala Muhammadu Buhari nyere ka e mee nyocha iji chọpụta ebe mmiri siri baa n'opi ụgbọgụrụ. Ndị kọmiti ga-eme nnyocha a gụnyere ndị agha, ndị agha elu, ndị agha mmiri, ndị uweojii, ndị  DSS na ndị Defence Intelligence Agency. Cheta na ndị uweojii na-ebo ndị agha ebubo ịgbagbu mmadụ atọ ndị otu ha ma merụọ ndị ọzọ ahụ oge ha gara nwụchie onye ntọ a ma ama na Taraba steeti aha ya bụ Alhaji Hamisu. Mana ndị agha kọwara na ha che na ndị uweojii ahụ bụ ndị ntọ n'onwe ha n'ihi na ha eyighi akwa ndị uweojii. Ndị mba Turkey a tọọrọ n'oshimiri enwerela onwe ha A tọhapụla ndị mba Turkey mmadụ iri bụ ndị a tọọrọ n'ụgbọ mmiri n'oshimiri dị nso na Naịjirịa n'izuụka atọ gara aga. Ndị ahụ nọ n'ụgbọmmiri si Cameroon aga Ivory Coast oge ndị a na-eche na ha bụ ndị ekperima wakporo ụgbọ ha ma tọrọ ha. Akụkọ kwuru na a tọhapụrụ ndị ahụ n'ụbọchị Satọdee na-akwụghị ụgwọ ọbụla. Ọkaiwu ha aha ya bụ Selcuk Esenyel kwuru na otu a kpọrọ Niger Delta Peace Advocacy Group nakwa ndị Riverine Peace Initiative in Niger Delta tinyere ọnụ n'okwu ahụ. North Korea agbaala ogbunigwe N'ofesi, mba South Korea na-ekwu na ndị North Korea gbara ogbunigwe elu abụọ n'ụbọchị Satọde, Ọ bụrụ na ebubo a bụrụ eziokwu o gosiri na North Korea e nupula isi na mkpebi iri na otu nke ndị otu United Nations Security Council manyere ha gbasara ogbunigwe elu. Akụkọ ndị ọzọ ga-amasị gị: Ihe nkiri ga-amasị gị:	https://www.bbc.com/igbo/afirika-49304476
politics	'Biafra na-enye anyị ohere ihe anyị nwereike ịbụ' - Ọkaikpe Nkemdilim Izuako	Okwu inweta Biafra bụ nke na-ewu ewu kamgbe ebe ọtụtụ ndị Igbo ọkachasị ndị ntoroọbịa na-ekwu ka e mee refarandum. Okwu a bụ nke na-ebiri ọkụ kamgbe nke mere na ọtụtụ ndị ọnụ na-eru n'okwu na Naịjirịa etinyela ya ọnụ. BBC Igbo zutere otu onye ọkaikpe na-arụ n'otu mbaụwa United Nations aha ya bụ Ọkaikpe Nkemdilim Izuako bụ onye tinyere ọnụ n'okwu gbasara Biafra. O kwuru na ya na-echeta agha Biafra, na ya na-eji obi aṅụrị echeta ya maka na agha ahụ gosiri ụmụIgbo ihe ha nwereike imepụa n'onwe ha mana o bere arịrị na agha bere, ụmụIgbo etufuo ihe niile ha mepụtara oge agha. O kwuru na ugbua, okwu Biafra ekwesighi ịbụ ịzọ oke ala kama ndị ọnụ na-eru n'okwu kwesiri ịkpa nkata ime ụlọ gbasara ya. Gịnị ka ha ga-akpa n'ime ụlọ, kirie onyonyo a ka ị chọpụta ihe ọ gwara BBC Igbo. Akụkọ ga-amasị gị:	https://www.bbc.com/igbo/50462532
sports	Arsenal vs Lyon: Ekwe akụọla Arsenal n'isi	Moussa Dembele ji goolu abụọ gbarie ndị Arsenal obi ka ha zutere ịzọ Iko Emirates. Na Pierre-Emerick Aubameyang nyere otu goolu na nkeji 35 e ji bido bọọlụ azọghị ha n'aka Lyon. Arsenal nọ na-akpa ike ka goolu mbụ ahụ wụbara na mpio, mana ha amaghị ihe chere ha n'ihu makana Dembele bịara tete n'ụra n'ọkara nke abụọ ma zuo ha ike n'ahụ. Goolu abụọ nyere Lyon mmeri 2 - 1 ha ji merie, sụbachara na nkeji 66 na nkeji 76. Gabriel Martinelli Arsenal ka zụrụ azụ chere na ọ gbakpuola goolu mbụ ọ na-enye dịka onye Arsenal ka batara ọhụrụ, mana a gụfuru ya tupu Dembele emewaa ha obi. N'agbanyeghi na ọ bụ asọmpi enyi na enyi, ọ bụ asọmpi ndị otu egwuregwu ndị ụlọọrụ Emirates na-akwado, na-agba kwa afọ. Ndị otu egwuregwu abụọ a gbachiri nkịtị ka otu nkeji gafee; iji kwanyere Jose Antonio Reyes nwụrụ anwụ n'ọnwa Juun ugwu. Ihe nkiri a ga-amasị gị:	https://www.bbc.com/igbo/egwuregwu-49146745
entertainment	Nigerian Celebrities: Lekwa ihe mere ka ndị a ama ama wuo n'ízu a	Dịka izuụka a na-abịa n'isi njedebe, anyị na-ewetara gị ihe ndị ama ama ụfọdụ mere nke dara ụda. DAVIDO Obi bụ Davido sọ anụri dịka enyị ya nwaanyị, Chioma mụrụ nwaa nwoke na Sụnde gara aga. Kama ndị osochiegbu bịara ime ya obi ọjọọ mgbe ha boro ya ebubo na ọ tụwara otu n'ime ha ime. Ụmụagbọghọ a mechara kwugharịa si na ha na-ama ya njakịrị. Ha rịọkwara Davido ka ọ gbaghara ha na ọ bụ egwuregwu. Kama Davido sị 'Njakịri laa azụ' ha ka atakwute ya kọnkịrị n'ụlọ mkpọrọ. I mara afọ ole Okey Bakkassi dị? Otụtụ amaghị mana nwoke a agbaala afọ iri ise. Bakassi mezuru ya afọ iri ise ọnọọrola n'elụ uwa n'ụbọchi Wenesde gara aga. Lekwa ụfọdụ ozi ekele ezitere ya. Meghan Markle,'Duchess of Sussex' Harry na Meghan bụ aha nọ ọtụtụ ndị mmadụ n'ọnụ n'izu a. Ha abụọ bụ Duke na Duchess nke obodo Sussex dị na mba Ịmgland. Ụfọdụ kwuru nke di mma ebe ụfọdụ kwuru njọ maka ha. Mana Meghan akatọọla etu ndị ntaakụkọ si ebu akụkọ maka ndụ ya na ezinụlo ya. Lee ihe ndị mmadụ nwere ikwu maka ya - Kanye West wuru na Sọshal Midịa maka egwu ọhụrụ o tipụtara, ọkachasị nke ọkpọrọ 'Jesus is Lord'. Lee ihe ndị mmadụ kwuru maka ya. Frodd onye ezigbo aha ya bụ Chukwuemeka Okoye gọsipụtara obi mwute o nwere dịka ọ gara leta ndị Onịcha ọkụ tanka gbara metụtara. Lee ihe ekwuru maka njem ya na Twitter CHIZZY ALICHI Nwaada a makarịrị 'mamiwọta' na mma biara nọnyere BBC Igbo n'ụbọchị Fraịde. O sonyere n'ihe omume anyị a kpọrọ 'Gịnị na-afịọ'. Lee ka o siri gaa. Akụko ga-amasi gị Ihe nkiri ga-amasi gị:	https://www.bbc.com/igbo/50186049
politics	Ghana Election 2020: Ndị pati mgbagha mba Gana ajụla mpụtara ntuliaka nyere Nana Akufo-Addo mmeri	"Pati anọghị na gọọmentị mba Gana bụ ndị isi mgbagha ajụla mpụtara ndị ọrụ ntụlịaka ha nụ Ghana Electoral Commission wepụtara bụ nke nyere Nana Akufo-Addo mmeri. Ya bụ Pati ndị mgbagha bụ National Democratic Congress sị na-enwere ọtụtụ nrụrụaka na ya bụ ntuliaka mana ha ga-agwa ụwa ebum n'obi ha mgbe adịghị anya. Ndị ụlọọrụ ntuliaka mba ahụ bụ nyere Nana Akufo-Addo mmerị ka ha mechere ntuliaka onyeisiala mba ahụ. Ndị ọrụ nnyocha ya bụ ntuliaka mba Gana nakwa ndị mba ofesi sị na enweghị ihe nruruaka ha hụrụ na ya bụ ntuliaka. Akufo-Addo nke otu 'New Patriotic Party' (NPP) ji voootu dị pasent 51.59 nke bụ  vootu dị ọnụọgụgụ 6,730,413 were merie. Ngụkọ vootu a tụrụ na na ntuliaka mba ahụ ka na-aga n'ihu dịka a gụkọchabeghị vootu nile a tụrụ na ntụliaka ahụ mana onyeisi EC bụ Jean Mensa kwuru na nke a gụrụla ezuola ịma onye meriri. Mensa kọwara na mpụtara ọ kpọpụtara enweghi vootu mpaghara ndida Techiman n'ihi na ngụkọ ka na-aga ihu ebe ahụ. E mechaala ntuliaka ọkwa onyeisiala mba Gana dịka ndị ọrụ ntuliaka si kwuo Ihe fọrọ ugbua bụ ka a gụkọọ mpụtara ntuliaka ndị a na mpaghara iri na isii ebe e mere mbinyeaka n'akwụkwọ ma kpọpụta onye meriri. Ndị uweojii Gana nwuchiri ndị ọrụ ntuliaka abụọ aka ha dị na nrụrụaka n'Awutu Senya West na Bawka Central. Onyeisi ndị uweojii Gana sị na a gbara mmadụ abụọ egbe na mpaghara Awutu Senya East. Onyeisiala ha bụ Nana-Akufo-Addo arịọla ka udo chịa na mpaghara niile. Ọ bụ n'ime otu ụbọchị ka a ga-ama onye meriri. Etu ntuliaka ọkwa onyeisiala mba Gana si gaa Akụkọ a chịkọtara ka ntuliaka nke ọkwa onyeisiala mba Ghana si aga ugbua. Onyeisiala mba , Nana Akufo Addo atụọla vootu ya na woodu Rock Ages preparatory school 1and 2 Kibi. Ọ sị na obi dị ya ụtọ etu ntuliaka ahụ si aga nke ọma na mba ahụ. John Mahama bụ onye ji ọkọlọtọ pati NDC nakwa aka chiburu Ghana atụọla vootu ya. O kwuru na oge ka pere mpe ikwu ka ya bụ ntuliaka si aga mana o ji nkeji atọ tụọ vootu ka ọ tụchara vootu na Bole. Ndị uweojii nọ na Ghana ekwuola na amabeghị ma ebubo na-afọjuru igbe ntuliaka na ndịda anyanwu Ghana abụ eziokwu. Ha kwuru ka ndị Ghana dere jụụ makana ha na-enyocha ma ebubo a abụ eziokwu ma gwa ha nchọpụta ha. Ọnụọgụgụ ndị ga-atụ vootu na ntuliaka a Ntuliaka a ga-eji họpụta onye ga-abụ onyeisiala mba Gana malitere n'ụbọchị asaa nke ọnwa Disemba afọ 2020. Ihe ruru mmadụ iri na otu gụnyere onye bụ onyeisiala aha ya bụ Nana Akufo-Addo so azọ ọkwa mba ahụ. Onye ọrụ BBC nọ n'ebe ahụ kọwara na ndị mmadụ pụtara n'ọgbọ ntụliaka kamgbe elekere abụọ nke etiti abalị ịkwụnye n'ahịrị maka ntuliaka ahụ. A ga-eme ntuliaka a n'ọgbọ ntuliaka ruru puku iri atọ na asatọ n'ogbe iri na isii dị na Ghana. Onyeisioche Ghana Electoral Commission  kwuru na ọ bụ nanị ngalaba ha nwere ikike ịkpọpụta vootu dịka iwu si kwu. Onyeisiala mba Ghana ugbua bụ Nana Akufo-Addo kwuru na ndị Ghana ekwekwala ka Covid-19 nabichie ha ipụta tụ vootu makana ndị ọrụ nchekwa ga-ememina ndị osochi egbu. Obere ọgbaghara dapụtara na ""City Engineer' polling station dị n'obodo Odododioodoo dị na Ghana Obere ọgbaghara dapụtara na 'City Engineers polling station, Odododioodoo Constituency' ka ndị na-atụ vootu malitere ịba mba maka etu ụfọdụ si akagbu vootu ha. Mana ndị ọrụ nchekwa pụtarakwara ozigbo belata ya bụ ọgbaghara. European Union Observer Union na-enyo ka ntuliaka si aga na mba n'ogbe Ofododioodoo. Ha gwara ndị ntaakụkọ okwu dịka ha na-ele etu ihe si aga."	https://www.bbc.com/igbo/afirika-55212698
entertainment	Imo Bride Price: Ihe ọ na-ewe iji lụọ nwaanyị na Mbaise	"Mbaise bụ okpuruọchịchị a ma ama n'Imo steeti n'ala Igbo. Mana ugbua, ọ bụ ihe ọzọ mere ka ha bụrụ okwu a kpụ n'ọnụ ma na-ewu ewu. O si n'ihe onyonyo otu nwa amadi wepụtara na soshal midia na-akatọ ndị Mbaise na omenala alụmdinanwunye ha. Nwa amadi a kpọrọ onwe ya Aloy kọwara etu nwanne ya nwoke si gbahapụ imeego n'isi nwunye ya maka oke ego ndị ọgọ na-ana ya. Nke a mere ka BBC Igbo kpọtụrụ ndị ma ihe na-aga na Mbaise ka ha kọwaa ihe ọ ga-ewe ịlụ nwaanyị Mbaise. Benedicta Nwokocha Akuezi gwara BBC Igbo n'ekwentị kwuru na 'list' eji alụ nwaanyị dị icheiche dịka omenala ndị sị dịkwa icheiche. N'ọnụ ya ""o nweghi iwu e debere na-ekwu ego ole e kwesiri iji lụọ nwaanyị na Mbaise"" Nwokocha mara atụ sị na ụfọdụ ụmụnna nwere ịkpa aka n'ihe e dere na 'list' ma ọ bụrụ na ha hụ na ọgọ ha ji ezigbo ego. O kwukwara na ezinaụlọ dị icheiche na-eme ihe sọrọ ha ma ọ bụrụ na ọgọ ha nwoke ji ego dịka ị nara ego ""ịkpughe ihu nwaanyị"" ""Nke ahụ esoghi na omenala ndị Mbaise, ọ bụ ịbara nọ n'egwuregwu dị na alụmdi na nwunye ka ihe ahụ bụ"" Usoro e ji alụ nwaanyị Mbaise Nke a bụ ego ndị ọgọ ga-eji kwadoo maka ọbịbịa ndị ọgọ. Ọ kọwara na ụfọdụ ezinụlọ na-etinyekwu ego na ego ma ọ bụrụ na nke ọgọ ha wetara agaghị ezu. Ọ bụ onyeisi ndị amaala ga-agụpụta ihe ndị dị na 'list' mara ma o zuru ezu. O nwere ụfọdụ ihe dị mkpa ekwesighi ifu efu n'ime List ahụ Mgbe ndị ọgọ abụọ kwetara n'ihe niile dị na 'list', ihe ọzọ bụzị ịnwebe aṅụrị Ya bụ ma oriri ma ọṅụṅụ ma ịgba egwu na ihe ndị ọzọ sọ ọlụlụ nwaanyị. Ihe aghaghị ịhụ na ""list"" n'obodo Mbaise - Mmanya ngwọ/mmanya nkwụ . - Ọjị Igbo na ose ọjị. - Mmanya 'Beer'. -Mmanya ọkụ (schnapp) - Anwụrụ, isi anwụrụ, nnu anwụrụ. - Ji (nwereike iru otu narị maọbụ iri ise). - Mmanya ọkụ. - Anwụrụ Bekee. -Ego ive efere - nke a na-emere ụmụnwanyị. - Isi ego. 'N100,000 agaghị azụta ihe niile dị na 'list' Nwokocha kọwara na ụfọdụ ụmụnwoke na-atụnye nwaanyị ime iji gbalahụ 'list' dị oke ọnụ. ""Nke ahụ bụ 'Short Method' ka a na-kpọ ya mgbe anyị nọ n'agbọghọ"" mana n'uche ya otu narị puku naịra (N100,000) agaghị ezu iji gokọta ihe e ji alụ nwaanyị na Mbaise. Dịka o si kọwaa, ego anaghị efu na ime ego isi nwanyị, kama ọ bụ site n'ihe e dere na 'list' ka e si emefu ego. ""Onye chọọ ime akụ nwanyị n'ọnwa Disemba, mmanya na ihe ndị ọzọ ga-aka dị oke ọnụ karịa n'ọnwa Mee"" Mana na ngwụcha, Nwokocha kwuru na ihe dị mkpa bụ ihe onye chọrọ ịlụ nwunye na ndị ọgọ ya kwekọrịtara. Akụkọ ndị ga-amasị gị Ihe nkiri ga-amasị gị:"	https://www.bbc.com/igbo/afirika-49720179
health	Coronavirus in Nigeria: Mmadụ ise ọhụrụ ebutela coronavirus na Naịjirịa	Mmadụ ise ọhụrụ ebutela ọrịa coronavirus na Naịjirịa. Ngalaba mgbochi ọrịa bụ 'National Centre for Disease Control' kwupụtara nke a n'ụbọchị Wenezde. Nke a pụtara na ndị butere ọrịa coronavirus na Naịjirịa eruola asatọ. Abụọ n'ime asatọ a agbakeela. Ụlọọrụ NCDC kwuru na mmadụ ise ọhụrụ mere njem gaa mba Briten maọbụ Amerịka. Ọbụghị n'aka onye mbụ bubatara ọrịa ahụ ka ha si bute ya. Ha kwukwara na ha na-agba mbọ ugbua ịchọpụta ndị niile ha na ndị ahụ mekọtara ahụ kamgbe ha lọtara. Nke a na-abịa dịka gọọmentị Naịjirịa machiri ndị si mba ebe coronavirus ka njọ ịbata na Naịjirịa. N'ọgbakọ 'Federal Executive Council' n'ụbọchị Wenezde ka a nọrọ nwee nkwekọrịta a.	https://www.bbc.com/igbo/afirika-51941033
sports	Victor Moses enyeela goolu mbu ya na Turkey	Akụkọ dị mkpa Nwaafọ Naịjirịa na-agba bọọlụ na mba ofesi bụ Victor Moses jị ọkpụ goolu gwa ndị Turkey na ya abịara. Moses si Chelsea gawa otu bọọlụ Fenerbache nyere goolu ya n'ime nkeji iri ọ batara ọgbo egwuregwu. Osote Onyseisiala Naịjirịọ bụ Ọkammụta  YemiOsibanjo jiri nwapem gbalahu onwu taa dịka ụgbọelụ helịkọpta bu ya ta dara n'ike n'ogbọ egwuregwu dị na Kabba Kogi steeti. Osinbajo ezipụla ozi na ahụ dị ya mma site n'akara Twitter ya na-ekwa kwa na o kwenyere na Chinke ga-echekwa ha n'oge a. Atiku Abubakra bụ onye na-azọ ọkwa onyeisiala n'okpuru otu PDP ezigarala Osinbajo ozi itiakanobi site n'akara Twitter ya. Igwe obodo Oko dị na Anambra steeti ekelela ndị mmadụ pụtara ị kwanyere nwanne ya Alex Ekwueme ugwu dịka a na-eme emume ncheta olili ya taa n'Oko. Obi na-achị ọnịcha nakwa Mazi Solo nọchitere anya aka na-achị steeti ahụ bụ Willie Obiano gụnyere na ndị nnukwu mmadu bịara ya bụ emume. Ndị na-akwado onye kpọrọ onqw ya onyeisiala mba Venezuela bụ Juan Guaido ebidola ngagharịwe taa dịka ụfọdụ mba ndị Yurop na-akwanye Nicholas Maduro ọkụ n'ike ka ọ mee ntuliaka ọhụrụ. Akụkọ na-eru BBC ntị bụ na nkwado Ohaneze Ndịgbo nyere onye na-azọ ọchịchị n'okpuru patị PDP bu Atiku Abubakar ebutela ogbaghara n'etiti ya bu ọtụ. Ka ọkwụ ugbua, Uche Okwukwu bụ ode akwụkwọ Ohaneze na-akọwa na enyerela onyeisi Ohaneze bu Nnia Nwodo ezumike. Mana Uche Okpaga bụ bụ ode akwukwọ mgbasa ozi si na ọbụ Okwukwu ka enyere ya bụ ezumike. Ndị Boko Haram gburu ihe ruru mmadụ iri isi n'obodo Rann di na Borno steeti ụbọchị Monde nke isu a. Nke bịara n'azụ ndị agha Naịjirịa hapụrụ ha bụ obodo ka Boko Haram wakpochara ya. Aka na-achị steeti Virginia dị na mba AmerỊka bụ Ralph Northam na-arịọ mgbaghara maka foto otinyere n'akwụkwọ mgbe ọ nọ ụlọakwụkwọ n'afọ 1984. Foto ndị na-ewe ụtụtụ mmadu iwe makana ha sị na ọ na-akwado oke agbụrụ emela ka ọtụtụ sị ka Northam rituo n'ọkwa dịka GỌVANỌ Ọ ga-akpọtụ na Legọs taa n'emume ọsọ akpọrọ Lagos City Marathon na Bekee. A na-eme Lagos City Marathon kwa afọ. Nke a bụ afọ anọ ya.	https://www.bbc.com/igbo/afirika-47088189
politics	Frank Ibezim: E duola ya n'iyi ọrụ dịka onye nnọchiteanya Imo North n'ụlọomeiwu ukwu	"Onyeisi ụlọomeiwu ukwu bụ Ahmad Lawan eduola Chukwuma Frank Ibezim n'iyi ọrụ dịka onye omeiwu na-anọchite anya Imo Nọt n'ụlọomeiwu ukwu. Ibrahim El-Ladan bụ oje ozi nke ụlọomeiwu ukwu ka Lawan nyere iwu ka o duo ya n'iyi ọrụ. Ka ọ na-edu Ibezim n'iyi ọrụ n'ụbọchị Tuzde, 27 nke ọnwa Epreelụ 2021, Lawan kwuru sị ""Site n'ịṅụ iyi ọrụ a, anọchitela Imo Nọt anya ọfụma."" Cheta na Ibezim na Ifeanyi Araraume bu okwu gbasara onye meriri na ya bụ ntuliaka gaa ụlọikpe mgbe e mechara ntuliaka n'ụbọchị ise nke ọnwa Disemba 2020, maka oche ahụ. Onwuasoanya FCC Jones onye na-ekwu na ọ bụ ya bụ onye mgbasa ozi APC n'Imo steeti, ka na-ekwusi ike na ọ bụ Ararume meriri ya bụ ntuliaka. O kwuru na ọ bụ n'Owere ka ụfọdụ ndị nọrọ gbaa izu ma kpọpụta aha Frank Ibezim dịka onye meriri ntuliaka ahụ. Onwuasoanya dọkwara aka na ntị ka ndị isi APC nọ n'Abuja nakwa Inec kpachapụ anya ma ghara iwepụta Frank Ibezim ka ọ nọchite anya ndị APC na ntụliaka ahụ. Ọ gara n'ihu kwuo na dịka Gọvanọ Hope Uzodinma kwuru na ya si ụzọ 'Ben Johnson' bata n'ọchịchị, na ha agaghị ekwe ka o mee otu a ọzọ. Okwu nke a na-abịa dịka ndị isi otu APC n'Abuja nakwa Inec kpọpụtara aha Frank Ibezim dịka onye meriri. Enyinna Onuegbu, onye sokwa na ndị isi APC n'Imo steeti, gwaburu BBC Igbo n'ekwentị na FCC Jones bụ onye ọchọnganoko. O kwuru sị: ""Onye meriri ntuliaka ime ụlọ anyị mere n'Imo North bụ Frank Ibezim."" ""Ọ bụ ya ka ndị isi pati anyị nọ n'Abuja ma."" Onuegbu kwukwara na akwụkwọ ahụ na-egosi aha Ararume dịka onye meriri ya bụ ntuliaka bụ okpotokpo asị. Oche ndị Imo North n'ụlọ omeiwu ukwu ghe oghe ugbua n'ihi na Benjamin Uwajumogu onye nọbụ na ya alaala mmụọ. Ngalaba nhazi ntuliaka bụ 'Independent National Electoral Commission' kwuru na ọ bụ na abalị ikpeazụ nke ọnwa Ọụtoba ka ha ga-eme ntuliaka iji họpụta onye ọhụrụ. Pati ndị ọzọ a ma ama emekwaala nhọpụta nke imeụlọ ma wepụta ndị ga-anọchị anya ha na ya bụ ntuliaka. Dịka akụkọ si kwuo, otu 'Peoples Democratic Party' họpụtara Mazị Patrick Ndubueze onye okpuruọchịchị Okigwe, ebe ndị 'All Progressives Grand Alliance' họpụtara Mazi Charles Onyirimba onye okpuruọchịchị Ehime Mbano."	https://www.bbc.com/igbo/afirika-54024071
politics	Miyetti Allah: Ihe mere ha ji bụrụ okwu akpụ n'ọnụ na soshal midia	Akụkọ ndị kachasị mkpa taa: Otu Miyetti Allah akpala agụ aka n'ọdụ. Ụmụ Naijiria na-ewere ha iwe maka okwu otu onyeisi ha na Benue steeti bụ Alhaji Garus Galolo kwuru ebe ọ kpọrọ oku ka Bukola Saraki tinye akwụkwọ arụkwaghịm dịka onyeisi ụlọomeiwu ma ọ bụghị otu ahụ, ha amanye ya ka ọ hapụ ọkwa ya dịka onyeisiala. Otu PDP site n'ọụ ọnụ na-ekwuchitere ha bụ Kola Ologbondiyan katọrọ okwu ahụ ma kpọọ Onyeisiala Buhari oku ka ọ nwuchie ndị ndu otu  Miyetti Allah, ma ha ikpe maka 'atụmatụ Igbo Ekulie kpọrọ oku ka gọọmenti hapụ ụmụnwaanyi a Ọgbakọ ụmụafọ Igbo maara nke ekwe na akụ na ọrụ bụ Igbo Ekunie Initiative agbarụọla ihu kpọọ oku ka ndị uweojii tọhapụ ụmụnwaanyị Igbo ruru otu narị ha ji eji. Ndị uweojii kpọchiri ụmụnwaanyị a maka na ha mere ngagharịiwe ka gọmentị etiti tọhapụ Nnamdị Kanu bụ onye ndụ Ipob ejieji kemgbe afọ gara aga. Osote onyeisi ụlọomeiwu Sineti bú  Ike Ekweremadụ akpọọla oku ọzọ ka ọnọdụ onyeisiala na nke ndị gọvanọ bụrụ otu ugboro afọ isi. Ekweremadụ, bụ onye na arụ ndị ọrụ gọọmenti etiti aka maka ọgbaghara dị ,tụrụ ariri maka tigbuo zogbuo di na ndorondoro ọchịchị ugbua ebe ejighizi ezi ọchịchị kpọrọ ihe maka ntụlịaka 2019 na abịanu. Na mba ofesi, N'ofesi, Mba Amerịka amanyela ego ruru ijeri dola iri na isii na ngwahịa si China. Ngwahịa ndị a gunyere kemical, plastik nakwa ọgbatumtum. China ekwuola na-ga ga-emekgwara. David Beckham wụsara akpụkpọ ụkwụ o ji agba bọọlụ n'afọ 2013, ga-enweta nturuugo n'aka otu UEFA. N'egwuruegwu, obi adịghị ndị na-agba bọólụ na Spain mma ebe ndị mkpokota ha bụ La Liga kwetere iburu asọmpi ha buga na mba Ameriika. Sergio Ramos na Sergio Busquets bụ ndị nọ na isi okwu a sị na aka ndị ọgbaa bọọlụ esoghị na ya bụ nkwekọrịta ma kwukwe na ha nwere ike ịgba abụbụ ọrụ maka ya. Gere akụkọ mere na mgbede a n'otu nkeji: Na agbanyeghị nsogbu dị n'etịtị ndị obodo ọzọ dị na Naịjirịa na ndị Fulani na-achi ehi, Akwuke n'Enugwu steeti na ndị na-achị ehi na-ebi n'udo.	https://www.bbc.com/igbo/afirika-45281027
