category	headline	text	url
sports	Ayavugwa mw’igura n’igurishwa ry’abakinyi: Kante, Ziyech, De Vrij, Ronaldo, Min-jae, Berge, Smalling	"Barcelona irashobora guheraheza amasezerano yo kugura umufaransa akina hagati  N'Golo Kante, mu kwa mbere, ariko bikazovana n'ingene imvune yiwe yo mw'itako izoba imeze, amasezerano afitaniye na  Chelsea akaba azorangira mu ci riza. (Sport) AC Milan ishobora guhagarika urugamba rwayo rwo kurondera umukinyi wo ku ruhande wa  Chelsea, Hakim Ziyech w'imyaka  29, kubera ivyo uyu mukinyi mpuzamakungu wa Maroc asaba, ariko uyu murwi w'Ubutaliyano ukaba ucipfuza umusatirizi wa Albania Armando Broja w'imyaka 21 na we nyene akina muri aba ba Blues. (Gazzetta Dello Sport, via Football Italia) Tottenham ishobora kuraba ingene yogura umukinyi w'inyuma, umunya-Hollande  Stefan de Vrij w'imyaka 30 akina muri Inter Milan mu kwa mbere.  Atletico Madrid nayo nyene iripfuza uyu mukinyi azoba yirebanga mu ci riza. (Football Insider) Umumenyereza wa Manchester United  Erik ten Hag yari yashatse guha uruhusha umusatirizi wa Portugal Cristiano Ronaldo akigira mu kwa munani guheze ariko imirwi itari mike yaranse ayo mahirwe yo kugura uyu musatirizi w'imyaka 37 ubu yasezeye muri uyo murwi wa Old Trafford, ku mushahara wa 80.000 vy'amapawundi ku ndwi. (Athletic) Manchester United yasubiye kurondera umukinyi w'inyuma wa Naples/Napoli Kim Min-jae ariko rero iriko imurwanira na Real Madrid, amasezerano y'uyu mukinyi w'imyaka 26 akomoka muri Korea y'Epfo akaba arimwo ingingo ivuga ko umurwi umushaka utegerezwa gutanga imiriyoni 38 z'amapawundi. (Sunday Mirror) Tottenham, Juventus, Inter Milan na  Atletico Madrid yose iripfuza umukinyi wo hagati akina muri  Brighton, umunya-Argentina Alexis Mac Allister w'imyaka 23. (Fichajes) Arsenal na Chelsea yompi yari yipfuje kugura mu mwaka uheze umusatirizi wa Côte d'Ivoire  Wilfried Zaha w'imyaka 30 asanzwe akinira  Crystal Palace. (Teamtalk) Newcastle ni wo murwi ufise amahirwe menshi yo kugura umukinyi w'inyuma akina muri Inter Milan, umunya Slovakia  Milan Skriniar w'imyaka 27. (Calciomercato) Chelsea na Liverpool yompi iripfuza umukinyi w'umunya-Norvège  akina hagati, Sander Berge, 24, akina muri  Sheffield United wo mu cicaro ca kabiri. (Jeunesfooteux). Juventus yahambije Inter Milan mu gukurikiranira hagufi  umwongereza akina inyuma  Chris Smalling w'imyaka 33, akaba ashobora kwirebanga mu ci riza mu gihe amasezerano afitaniye na Roma azoba arangiye, mu gihe yokwanka amasezerano mashasha canke akanka kwongereza ayo afitaniye n'uyu murwi w'Ubutaliyano.  (Sky Sports Italia ) Umunya-Portugal akina inyuma ku ruhande rw'ibubamfu Raphael Guerreiro w'imyaka 28, asa n'uwushobora kuva muri  Borussia Dortmund mu ci riza. (Ruhr Nachrichten) Sevilla iripfuza umukinyi wo hagati wa Angers  Azzedine Ounahi w'imyaka 22 ariko yitwara neza mu murwi nserukira gihugu wa Maroc muri rino higanwa ry'igikombe c'isi yose 2022. (Fichajes ) Borussia Dortmund ntishaka kugurisha umubirigi akina ku ruhande rw'i buryo inyuma, Thomas Meunier, mu kwa mbere, ni mu gihe Barcelona yipfuza uyu mukinyi w'imyaka 31. (Sport ) Umukuru wa Bayer Leverkusen  Simon Rolfes avuga ko uyu murwi ""ata bwoba na buke ufise"" ku bijanye na kazoza k'umukinyi wayo w'inyuma, umunya-Hollande  Jeremie Frimpong w'imyaka 22,  asanzwe yipfuzwa na  Manchester United, ni mu gihe amasezerano afitaniye n'uyu murwi azorangira mu 2025. (Sky Deutschland iciye kuri Manchester Evening News)"	https://www.bbc.com/gahuza/articles/c0vq2wp11xvo
entertainment	Joseph Shabalala wo muri Ladysmith Black Mambazo yari muntu ki?	Joseph Shabalala wo muri Ladysmith Black Mambazo yari muntu ki? Umviriza...	https://www.bbc.com/gahuza/amakuru-51463918
politics	Russia: Yerekanye ikirwanisho gishasha co mu bwoko bwa Sarmat	"Iyi 'missile' ya Russia, yataziriwe 'Satan II' n'abakeba, irashobora gushika kuri 18.000km, inyaruka ku rugero rwa 25.560 km/h. ""Yari imaze imyaka ihingurwa"", yarungitswe kuri 6.073km, kuva Plesetsk gushika i Kamchatka."	https://www.bbc.com/gahuza/amakuru-61260897
sports	Ayavugwa mu mupira w'amaguru i Bulaya kuri uyu wa gatandatu: Pogba, Zaha, Aubameyang, Lampard, Falcao, Camacho	Arsenal iriteguye kugurisha umusatirizi wayo akomoka muri Gabon, Pierre-Emerick Aubameyang w'imyaka 30, ariko atari muri Manchester United canke  Liverpool. (90min.com) Manchester United barizeye ko bazoshobora kugura abakinyi Sean Longstaff w'imyaka 21 wa Newcastle, na Bruno Fernandes w'imyaka  24  wa Sporting Lisbon ya Portugali. (Evening Standard) Umusatirizi wa Côte d'Ivoire Wilfried Zaha w'imyaka 26 asaba umurwi wiwe wa Crystal Palace kumuha uruhusha ngo yimukire muri Arsenal. Palace ivuga ko uwumukeneye ategerezwa kumugura imiliyoni 80 z'amapawundi. (Mirror) Gareth Bale w'imyaka 29 ashobora kuguma muri Real Madrid inyuma  y'aho uwo murwi uburiye uwundi murwi woshobora kumugura. (Mirror) Real Madrid itegerezwa kuzoriha imilioni 150 z'amapawundi kugira ngo ishobore kuronka umusatirizi w'umufaransa Paul Pogba w'imyaka 26 asanzwe akinira Manchester United. (Mirror) Chelsea itegura gutangaza ko Frank Lampard, yari asanzwe amenyereza umurwi Derby, nk'umumenyereza wayo mushasha imbere y'uko abakinyi bava mu buruhuko mu ndwi iza kugira ngo bitegurire amahiganwa yo mu mwaka uza. (Sun) Liverpool yashitse ku masezerano n'umurwi Sporting ku mahera ashika imilioni indwi z'amapawundi kugira ngo ishobore kugura umusatirizi Rafael Camacho w'imyaka 19. (Evening Standard) Hari inama yahuje abarongozi bakuru b'imirwi ya Atletico na Real Madrid kugira ngo bumvikane ingene umusatirizi Antoine Griezmann w'imyaka 28 yokwimukira muri Real Madrid. (L'Equipe) Umusatirizi wo mu gihugu ca Kolombiya, Radamel Falcao w'imyaka 33, aripfuza ko yokwimukira mu murwi wa David Beckham muri Amerika i Miami mu gihe amasezerano afitaniye n'umurwi Monaco yorangira. (Sun) Aston Villa iriteguye gusaba ko yogura umukinyi w'inyuma wa Southampton, Matt Targett. (Express na Star) Umumeyereza wa West Brom  Slaven Bilic aripfuza ko Julian Dicks bigeze gukinana muri uwo murwi yogaruka muri uwo murwi kugira ngo bafashanye mu vyo kuwumenyereza. (Express na Star) Umukinyi wo hagati wa Tottenham hotspur Christian Eriksen w'imyaka 27 akomoka muri Danemark aripfuza kuja muri Real Madrid, umuryango wiwe ukaba wabonywe mu gisagara ca Madrid bariko barondera inzu. ( (Times)) Manchester United iriko iraraba ko yogura umukinyi w'inyuma wa Barcelona, Samuel Umtiti w'umufaransa  w'imyaka 25. (Mundo Deportivo) Umusatirizi w'umurwi Manchester City,  Leroy Sane w'imyaka 23 akomoka mu Budagi, abandanya aronderwa cane n'umurwi wo muri ico gihugu Bayern Munich, n'aho wari wabanje gutenyenya. (Sky Sports) Umumenyereza wa Sporting Marcel Keizer abona ko kugumya umukinyi wo hagati wa Portugal Bruno Fernandez bitoroshe, Manchester United ni umwe mu mirwi yerekanye ko yipfuza uyo mukinyi w'imyaka 24. (Record, Manchester Evening News) Se w'umusatirizi wa Juventus Moise Kean w'imyaka 19, amenyesha ko umuhungu wiwe yipfuza kwimukira mu murwi Inter Milan. (Mirror) Atletico Madrid iriko yiyumvira ko yogura umukinyi wa Real Madrid, James Rodriguez w'imyaka 27 akomoka muri Kolombiya, asanzwe atagikenewe cane muri uwo murwi wa Real. (Cadena SER, via AS) Umwongereza Wayne Rooney yabaye rurangiranwa muri Manchester United arizeye ko azoteba aronka akazi nk'umumenyereza, akaba yanasavye Domenec Torrent yigeze kuba ari icegera ca Pep Guardiola ubu akaba arongoye umurwi New York City ko yotangura kumumenyereza muri ico gikorwa. (Sun)	https://www.bbc.com/gahuza/imikino-48811902
sports	Pierre Webo : uwa 08/12 uzoba umusi ukomeye mu kurwanya amacakubiri ashingiye ku rukoba	"Pierre Webo, icegera c'umumenyereza w'umurwi Istanbul Basaksehir wa Turukiya, avuga ko igenekerezo rya 08 z'ukwa cumi na kabiri rizoba umusi ukomeye mu rugamba rwo kurwanya amacakubiri ashingiye ku rukoba. Abakinyi ba Basaksehir na Paris St-Germain baravuye mu kibuga mu rukino rwo mw'ihiganwa rya Buraya rihuza imirwi yabaye iya mbere iwabo, inyuma y'aho umuhagarikizi agira kane yagirijwe ko yabwiye Webo amajambo yo kumutyoza kubera ari umwirabure. Webo w'imyaka 38  avuga ko imisi yakurikiye ""ari yo yabaye mibi cane"" kuri we mu kiringo cose amaze mu mwuga w'umupira w'amaguru. Avuga ko vyabaye ngombwa ko umuganga amufasha kugira ngo ashobore gusinzira muri rirya joro ivyo biba. Ati: ""Imisi ibiri canke itatu yakurikiye  niyo misi yambereye mibi cane mu mwuga wanje"". Uyu yahoze ari umukinyi mpuzamakungu wa Kameruni yaragirije umuhagarikizi agira kane, Sebastian Coltescu, ko yamututse mu kumuhamagara yisunze ibara y'uruhu rwiwe, aho kumuhamagara mw'izina ryiwe. Webo yabwiye BBC ko kubw'iwe, ""igenekerezo rya munani, rifise kahise na kazoza. Tuzikwama turyibuka"". Uru rukino rwahagaze ku  munota wa 14 ata murwi n'umwe wari bwinjize igitsindo, rwagiye gusubirwamwo bukeye ku wa gatatu, ruhagarikiwe n'abandi bahagarikizi bashasha. Mu gihe co kwishusha, iyi mirwi yompi hamwe n'abahagarikizi, bari bambaye udupira twanditseko ngo ""turiyamirije amacakubiri ashingiye ku rukoba"", nayo mu bwugamo habaka hariho ivyama vyo kwiyamiriza aka kabi, mbere abakinyi n'abahagarikizi bakaba babanje gupfukama hagati mu kibuga imbere 'yuko urukino rutangura. Webo yari yirukanywe mu kibuga mu gihe ivyo vyaba ariko yahavuye yemererwa kugaruka mu kibuga, maze ikarata itukura yari yahawe irafutwa. Ishirahamwe ry'umupira w'amaguru i Buraya, UEFA, ririko rirakora amatohoza ku vyabaye. Webo yamaze imyaka umunani akinira imirwi Osasuna na Majorque mw'ihiganwa rya Espagne La Liga.  Avuga ko yashigikiwe n'abantu benshi bo mu gisata c'umupira w'amaguru hamwe n'abandi bo hanze. Hagati aho, avuga ko yaronse n'ubutumwa bubi cane buvuye muri Roumanie, igihugu uyo muhagarikizi agira kane,Coltescu, akomokamwo. Ishirahamwe UEFA rivuga ko ryamaze kuronka ivyemezo, ariko ribona ko inyishu idashobora kuboneka imbere ya Noweri (Noël). Nk'uko bivugwa n'umwe mu bategetsi ba Roumanie, abari bajejwe urwo rukino rwa Champions League barahagaritswe vy'agateganyo mw'ihiganwa ry'igihugu, mu kurindira ko igisata kijejwe indero muri Uefa gifata ingingo."	https://www.bbc.com/gahuza/amakuru-55298630
religion	Vatican: Kardinali Becciu yategetswe gutanga imihoho, ibitari bimenyerewe	"Umukardinali yari mu bari bafise amabanga akomeye i Vaticano kwa Papa, Giovanni Angelo Becciu, yatanze imihoho giturumbuka ariko akavuga ko yategetswe na Papa Francis. Avuga ko yiketswe gukoresha umutungo wa Ekleziya yihera benewabo, agahakana ivyo yagirizwa. Kardinali Becciu yari umwe mu begereye cane Papa, akaba yarigeze kuba ajejwe amabanga mu bunyamabanga bwa leta ya Vaticano. Yagiye kugira uruhara mu masezerano yateye impari yo gushora imitahe mu nyubakwa nziza ya Londres mu mafaranga ya Ekleziya. Iki gikorwa kuva ico gihe kiriko kirakorwako amatohoza. Ntibikunze kuboneka aho abantu bo ku rwego rwo hejuru i Vaticano batanga imihoho, kandi na Vaticano nta vyinshi yabivuzeko mw'itangazo ryasohowe ku wa kane. Ariko uyu mu kardinali w'imyaka 72 yabwiye ikinyamakuru co ku mbuga ngurukanabumenyi Domani co mu Butaliyano ko yategetswe gutanga imihoho kuko yiketswe ko yahaye benewabo amafaranga ya Ekleziya. Avuga ati: ""Nta n'urufaranga na rumwe jewe nigeze niba. Nta matohoza ndiko ndakorwako, ariko ari nka hamwe bonshira imbere y'ubutungane, nokwisigura"". Mu kiganiro n'abanyamakuru yagiye gushikiriza mu nyuma, uyu mukardinali avuga ko ibogozwa ryiwe ryabaye giturumbuka. Avuga ko na Papa ""atari agononokewe"" igihe yatangaza iyi nkuru. Ati: ""Ni ibisigabwenge. Gushika ejo…niyumvira ko nari umugenzi pfa mpfe wa Papa, intumwa yiwe y'umwizigirwa"". ""Mu nyumn rero niho Papa yambwira ko atakinyizeye kuko yaronse amakuru yahawe n'abacamanza bamubwira ko nakoze icaha co kunyuruza umutungo"". Kardinali Becciu ashimangira ko habaye ""ukutumvikana"", akongera kandi ati: ""Nditeguye gusigurira Papa vyose. Nta caha na kimwe nakoze"". Uyu mukardinali Giovanni Angelo Becciu ni umutaliyano yamaze imyaka ya mbere akora mu gisata kijejwe imigenderanire i Vaticano. Papa Francis niwe yamugize umukardinali mu 2018, igihe aherewe amabanga mashasha yo kurongora igisata kijejwe ibijanye n'ubweranda. Yasubiwemwo n'ibinyamakuru vy'Ubutaliyano avuga ati: ""Ni uruhombo kuri jewe, umuryango wanje, abanyagihugu b'igihugu canje. Navyemeye ku bugamburutsi n'urukundo mfitiye Ekleziya na Papa"". N'aho mu vyo yagirijwe harimwo ibijanye n'amasezerano ajanye n'inyubakwa ya Londres ivugwa ko yaguzwe mu mutungo wa Ekleziya, Kardinali Becciu wewe siko abibona. Mu kiganiro n'abanyamakuru ejo ku wa gatanu, uyu mukardinali yavuze ko Papa yamwagirije ko yakoresheje nabi umutungo wa Ekleziya akawushira mu ma koperative n'urucuruza vya benewabo. Ibinyamakuru vy'Ubutaliyano kandi bivuga ko Papa atanezerejwe n'ingene imperezwa yo gufashisha abakene yiswe Peter's Pence yagiye gukoreshwa mu bindi bitari biyigenewe. Kardinali Becciu azobandanya afise iki giti n'aho yatanze imihoho. Hagati aho, nta ruhara azogira mu gutora uwundi mu Papa."	https://www.bbc.com/gahuza/amakuru-54306889
politics	Ukraine: Ibitero vya Russia vyashize abanyagihugu imiriyoni 4,5 mu kizime	"Na Alys Davies BBC News Perezida Volodymyr Zelensky wa Ukraine yagiriza Kremlin ko yahisemwo gukoresha  “iterabwoba rishingiye ku gusambura amasoko ntanganguvu” mu gihe intambwe iterwa n’ingabo z’Uburusiya ari ntoya. Perezida Zelensky avuga ko abanyagihugu imiriyoni 4.5 ata muyagankuba bafise inyuma y’ibitero vy’Uburusiya ku bigo vy’amasoko ntanganguvu. Mu ndwi nkeya ziheze, Uburusiya bwakoze ibitero bikomeye vya misire na za ndege zitagira abadereva (drones) ku bigo vy’umuyagankuba. Ibi bitero vyabaye mu gihe abategetsi bavuga ko ingabo z’Uburusiya zishobora kuva mu gisagara gikomeye ca Kherson kiri mu bumanuko bw’igihugu. Inyuma yo gutakaza bikomeye ku rubuga rw’intambara, Uburusiya bwaciye bwongereza ibitero  ku bigo vy’umuyagankuba mu bisagara biri kure y’urubuga rw’intambara. Mu kwezi guheze kwonyene, ica gatatu c’ibigo vy’umuyagankuba bivugwa ko vyasambuwe, nk’uko Perezida Zelensky abitangaza. Vyabaye ngombwa ko reta ya Ukraine isaba abanyagihugu kugerageza gukoresha umuyagankuba mukemuke kuri iyo mvo. Nijoro ku wa kane mw’ijambo yama ashikiriza buri ijoro, Perezida Zelensky  yavuze ati: ""Muri iri joro, abanyagihugu bababa imiriyoni 4,5 nta muyagankuba bafise”. Avuga ko kubona Uburusiya buhindukirira gutera ibigo ntanganguvu ari ikimenyetso “c’inguvu zabuheranye” mu gihe ingabo zabwo zananiwe no gutera intambwe ikomeye ku rubuga rw’intambara. Ati: ""Kuba Uburusiya bwahisemwo iterabwoba rishingiye ku masoko ntanganguvu vyerekana ko umwansi yatakaje inguvu. ""Ntibashobora gutsinda Ukraine ku rubuga rw’intambara, rero ni co gituma bagerageza guca intege abanyagihugu bacu muri ubu buryo”. Ubushikiranganji bwo kwivuna abansi bw’Uburusiya bwemeje ko buriko buratera ibigo ntanganguvu vya Ukraine. Ibirego vya Zelensky ku Burusiya bije mu gihe hari amakuru avuga ko ingabo z’Uburusiya ziriko zirava mu gisagara zari zarigaruriye ca Kherson, ikimenyetso c’uko Uburusiya buriko burasubira inyuma. Umutegetsi yashizweho n’Uburusiya mu ntara ya Kherson, Kirill Stremousov, yabwiye ibinyamakuru vy’Uburusiya ko Moscou “ishobora” gukura ngabo zayo muri ako karere. Hanyuma kandi nk’uko umutegetsi umwe wo mu Burengero, ariko atashatse ko izina ryiwe rimenyekana, abivuga, intwazangabo hafi zose z’Uburusiya zirongoye urugamba zamaze kuva muri ico gisagara. Hakugerageza kugumana iki gisagara, bavuga ko ingabo z’Uburusiya, mu buryo bwo kwivuna, ziriko ziriyegeranya hakurya y’uruzi Dnipro, mu gikorwa kinini co kwubaka ibirindiro vyo kwivuna umwansi neza mu bumanuko n’ubuseruko bwa Ukraine imbere y’umuzo w’urushana. Biragoye kumenya neza na neza ibiriko birabera muri ico gisagara, ariko uyo mutegetsi avuga ko ingabo ziherutse kwinjizwa muri wa mugambi wo kwinjiza ngabo z’integabizoza mu gisirikare c’Uburusiya zarungitswe muri ico gisagara kugira ngo zihagararire igikorwa ca nyuma co kuva ku birindiro biramutse bishitse. Hejuru y’ivyo, umunyamakuru wa BBC Paul Adams amenyesha ko amabanki avugwa ko yanyazwe urukombamazi co kimwe n’amazu ndangamurage. Abategetsi bashizweho n’Uburusiya nabo bamaze amayinga atari make bahungisha abasivire ibihumbi n’ibihumbi muri ako karere. Umunyamabanga wa Reta Zunze Ubumwe za Amerika ajejwe kwivuna abansi Lloyd Austin avuga ko ingabo za Ukraine zifise “ubushobozi” bwo kubohoza ico gisagara co mu bumanuko. Ariko Ukraine ivuga ko ibandanya irwana muri ako karere kandi ko ibandanya yicungereye yibaza ko Uburusiya buriko butega umutego ingabo za Ukraine. Igihe Uburusiya bwigarurira Kherson – igisagara gikomeye – mu kwa gatatu, vyabonetse ko ari imwe mu ntambwe zikomeye Moscou yari iteye muri iyo ntambara. Ariko igitero co kwivuna muri ako karere kimaze ukwezi kurenga cerekana ko Uburusiya ari ngombwa ko bwihweza gushasha intumbero z’urugamba."	https://www.bbc.com/gahuza/articles/c2vxy14ezwqo
sports	Burundi : Emmanuella aranditswe mu vyaranze inkino z’igihugu	Rukundo Emmanuella, ataranashikana imyaka 20, yagiye ariha izina mu makungu, kuva mu 2021. Mu Burundi igice c’umwaka wa 2022, nta mugore aramukoreramwo. Ati “nshimira abavyeyi”.	https://www.bbc.com/gahuza/amakuru-61682991
entertainment	Africa muri ino ndwi mu mafoto: 30 z'ukwa cumi - 5 z'ukwa cumi na rimwe 2020	Ihitamwo ry'amafoto meza yo muri ino ndwi ku mugabane no hanze yawo:	https://www.bbc.com/gahuza/amakuru-54841891
sports	Ayavugwa mu mupira w'amaguru: Ronaldo, Mbappe, Kane, Kounde, Traore, Aubameyang	Manchester City yashitse ku masezerano na Juventus yo kugura umukinyi  Cristiano Ronaldo, 36. (AS - in Spanish) Juventus ishaka imiriyoni hagati ya 25-30 z'ama euros kuri Ronaldo,  City ikaba yiteze kumuha amasezerano y'imyaka ibiri. (Guardian) Uwu murwi wo mu Butaliyano wagumye wipfuza kugumana Ronaldo ariko ubu ukaba wipfuza kugura umusatirizi wa City umunya Brésil Gabriel Jesus, 24, kugira ngo amusubirire.(Sky Sports) Ronaldo asaba umushahara wa 510.000 vy'amapawundi (yababa 698.000) ku ndwi kugira yinjire muri City, ivyomutuma aba umukinyi wa mbere ahembwa umushahara munini muri uwo murwi, ibi na vyo bigashobora gutera agashavu abandi bakinyi.  (Sun) Juventus iripfuza gusubirana nk'intizo umusatirizi w'umutaliyano Moise Kean w'imyaka 21 ubu akina muri Everton, ariko ikaronka n'akaryo ko gushobora kumugura burundu mu ci riza.  (Calciomercato in Italian) Liverpool iriko irihweza ingene yogura umukinyi wo hagati wa Brighton umunya Mali Yves Bissouma, 24, ku miriyoni zababa 55. (Express) Wolverhampton Wanderers irarahira ikarengwa ko idashobora gutiza Tottenham Hotspur umukinyi wo ku ruhande w'umunya Espagne Adama Traore, 25, kubera ikeneye kumugumana.  (Telegraph) West Ham United iriko irarondera umusatirizi wa  CSKA Moscow umunya Croatia Nikola Vlasic, 23, mu gihe ikeneye uwosubirira umukinyi wo hagati wa Manchester United umwongereza Jesse Lingard. (Sky Sports) Watford watanguye ibiganiro na Tottenham kugira irabe ko yoronka umukinyi wo hagati umufaransa Moussa Sissoko, 32. (Fabrizio Romano) Paris St-Germain iriko irarondera abakinyi batari bake, harimwo umukinyi wo hagati wa Manchester United umufaransa Paul Pogba, 28, hamwe n'umusatirizi wa Borussia Dortmund umunya Norvège Erling Braut Haaland, 21, mu gihe iriko yitegurira ihiganwa ry'uno mwaka idafise Kylian Mbappe. (L'Equipe, via Mail) Real Madrid yongereje igiciro ishaka gutanga ku musatirizi wa PSG Mbappe, 22 gushika ku miriyoni zababa 199 z'amadorari y'abanyamerika, inyuma y'aho aya mbere yababa n'imiriyoni zababa 188 bayankiye.  (Sky Sports) PSG ishobora guca irondera umusatirizi wa Everton umunya Brésil Richarlison mu gihe Mbappe yogenda, ni mu gihe abaserukizi b'uyu mukinyi bamaze gushika i Paris mu biganiro.  (ESPN Brazil - in Portuguese) Manchester United vyaranse ko ironka umukinyi wo ku ruhande w'umwongereza Noni Madueke w'imyaka 19, inyuma y'aho atereye igikumu ku yandi masezerano na PSV Eindhoven. (Mirror) Kizigenza wa Tottenham umwongereza Harry Keane  ari mu biganiro vyo kurondera amasezerano yoronkamwo akarusho. Uyu musatirizi w'imyaka 28 yiteze kuronka aya masezerano ashobora kumutuma ahembwa amapawundi 400.000 (mu madorari akaba yababa 548.346) ku ndwi, inyuma y'aho yemereye kuguma muri uyo murwi muri uno mwaka.  (Times - subscription required) Chelsea iri hafi yo kuronka umukinyi w'inyuma wa Sevilla umufaransa Jules Kounde, 22, ku giciro kingana n'imiriyoni  57.5 z'amadorari y'abanyamerika. (Sky Italia, via Star) Hagati aho, umukinyi w'inyuma wa Chelsea umufaransa Kurt Zouma, 26, yitezwe gufatwa ibipimo vyo kwa muganga kugira aje gukinira West Ham mu masezerano y'imyaka itanu, ku giciro c'imiriyoni 35.6 z'amadorari y'abanyamerika.  (Sun) Tottenham yatanguye ibiganiro vyo kurondera umukinyi wo hagati wa Juventus  umunyamerika Weston McKennie, 22 ku giciro c'imiriyoni 54.8 z'amadorari y'abanyamerika. (Independent) Umumenyereza wa Arsenal Mikel Arteta yamiriye kure ivy'uko kizigenza wayo, umusatirizi w'umunya Gabon  Pierre-Emerick Aubameyang ashobora gusezera uyu murwi.  (ESPN) Everton iripfuza umusatirizi wa Brighton  umufaransa Neal Maupay w'imyaka 25. (Sky Sports) Manchester United ishobora kurondera umukinyi wo hagati imbere y'uko ikiringo c'igura n'igurishwa kirangira, ariko bigashobora kuba ngombwa ko irindira kugira irabe ko yoronka umwongereza Declan Rice, 22 akinira West Ham. (Independent)	https://www.bbc.com/gahuza/imikino-58356382
