category	headline	text	url
sports	Maduka Okoye: How Super Eagles goalkeeper become centre of attention for Nigerians	"""I no fit wait to see Maduka Okoye on top my screen today,"" dis na comment wey one of di female fans of di Super Eagles goalkeeper post ontop social media ahead of Nigeria game against Guinea Bissau. Di Super Eagles dey face Wild Dogs of Guinea Bissau for Match Day three of di 2021 Africa Cup of Nations for di Stade Roumdé Adjia in Garoua, Cameroon on Wednesday. Di Eagles dey top of Group D afta dia 1-0 win over Egypt on Tuesday and 3-1 win over Sudan last Saturday. If dem win, dem go be di first team to gada nine points from di group stage of di 2021 Afcon tournament. As football fans for Nigeria dey anticipate di performance of di Eagles for Wednesday match, di man wit di number one jersey, Maduka Okoye na di main focus for many female fans. One twitter user say dis na anoda day plus opportunity for Nigerian ladies to crush on Maduka Okoye. Di super eagles goalkeeper wey dey make im first appearance for major tournament dey totori millions of Nigerians, Africans, most especially women probably because of im looks and im football skills. E begin trend among female fans afta e post foto of imsef afta dia first game for Afcon tournament against di Pharaohs of Egypt wey dem win 1-0. E share di foto wit di caption 'Onto di next one' Di post don since gada almost eighty thousand likes, ova seven thousand retweets and thousands of comments most especially female fans. Check out some of di tins wey dem dey tok about di Super Eagles shot stopper. Meanwhile some Twitter users feel say Okoye dey attract a lot of distraction. ""I hope di guy fit stay focus and help win dis game"", na wetin one twitter user @ok_colzy tok. Dem born di 22-year-old goalkeeper for Düsseldorf, Germany to Nigerian father and a German mama. For 2019, im pledge im international future to Nigeria. Okoye get im first call up to play for Super Eagles wen former coach Gernot Rohr invite am to di Nigerian national team setup and hand Okoye im debut for one high profile friendly game against five-time world champions, Brazil for October 2019. For di game Nigeria gbab impressive 1-1 draw against di Selecao. Na for December 2021, Super Eagles Caretaker Coach Eguavoen shortlist am for 2021 Afcon Nations Cup as part of di 28-Man Nigeria Squad. Okoye career start for Germany wia im play for di German football club, Fortuna Düsseldorf II as dia regular goalkeeper between 2017, 2018-2019 season. For 2020, Maduka Okoye join Dutch professional football club, Sparta Rotterdam wia im don be dia number one. Later for 2021, im agree to join Premier League club Watford on five-and-a-half year deal for undisclosed fee. Okoye join Watford on 1 January 2022. Di deal see dem loan Okoye back to Sparta Rotterdam until di end of di 2021/22 campaign."	https://www.bbc.com/pidgin/tori-60056677
entertainment	Grammys 2020: Burna Boy, Angelique and oda tins wey pipo dey watch out for dis night	"Di 62nd annual Grammy Awards go happun for Los Angeles on Sunday night, January 26. Dem dey call am ""music biggest night"", di ceremony na like di ""music longest day"" - wit different festivities wey dey start wit lunchtime for LA and e dey enta night time. Dem dey advise make pesin wear shoe wey go dey comfortable. Pop star Lizzo dey lead di nominations for dis year, with eight awards, including album and song of di year. Billie Eilish and Lil Nas X dey close to am with six nominations for each of dem. All dem three dey represent di new pipo wey dey lead di way for pop music and pipo wey no dey follow old ways wey dem dey use do things But, as Snoop Dogg sabi wella nominations no mean say you go win, im don go house 17 times wey im no collect trophy afta dem nominate. We no go fit predict pipo wey go win di award sake of dis reason but dis na some of di seven moments wey you go watch out for today. E no dey like shock to Nigerians wen dem nominate di Nigeria Afrobreat sensation Burna Boy among di nominees wey dey di 84 categories of di award wey be di biggest music award for di world. Di African Giant album of Burna wey im real name na Damini Ebunoluwa Ogulu, dey for di Best World Music Album category of di award wey be number 54 category. Angelique Kidjo from Benin Republic na anoda pesin wey also dey dis same award category wit Burna Boy. Oda pipo wey Burna Boy go battle di trophy wit for di category na Altin Gün, Bokanté & Metropole Orkest  and Nathalie Joachim With Spektral Quartet. Dis na di first time wey dem go nominate Burna Boy for Grammy awards. Ten days before di Grammys, di Recording Academy drop bombshell say dem dey suspend dia chief executive Deborah Dugan with immediate effect. Dugan respond as she file discrimination complaint wia she suggest say di voting process for di Grammys get mago-mago inside. Some of her claims dey confam wetin evribodi dey suspect say e dey happun say dem dey treat pipo wey perform dat night beta pass oda pipo. Dungan still confam am say dem dey represent di artists to sit on di ""secret committees"" wey dey decide who dem go shortlist and dem go chook demselves for di list. But anyone  go dey bold enough to acknowledge di claim - or refuse to collect di trophy - for di ceremony sake of dis mago-mago wey dem claim? Lana Del Rey na one of di contender for album of di year - but her record wey get swear-swear title go cause headache for di organisers dem. How dem go call am on top television and wetin dem go write for di trophy if she win? If you believe am or not, Harry Potter don already collect two Grammys - for best audiobook category - and JK Rowling boy wizard fit double di tally dis year. Dem nominate Imogen Heap song for Harry Potter and di Cursed Child for best musical theatre album category; while new recording of Hedwig Theme, wey appear for all di eight Potter films, collect nomination for best instrumental arrangement. Meanwhile, dem nominate Michelle Obama for spoken word category for di audiobook of her memoir, Becoming. Rapper Nipsey Hussle bin die last year afta dem shoot am for front of im clothing store for Los Angeles, US. Di 33-year-old dey do pass music, im be community activist, wey comit himsef to dey rebuild im neighbourhood. Afta e die, di Los Angeles Police Department hail am as a ""peacemaker"". He neva win Grammy wen im dey alive but organisers go recognise im legacy with star packed tribute wey go feature  DJ Khaled, John Legend, Meek Mill, and gospel singer Kirk Franklin."	https://www.bbc.com/pidgin/tori-51254394
entertainment	Ayo Makun: AY Comedian and wife Mabel born dia second pikin afta 13 years	"Nigeria comedian and feem maker, Richard Ayodeji Makun, wey pipo sabi as AY Comedian and im wife, Mabel don born dia second pikin. Di comedian na im announce di tori for social media say dem born 13 years afta dia first child Michelle. E reveal dis for video say di pikin na girl pikin. E tok say, ""Ayomide, thank you say you make Mabel and I, mama and papa again. Thank you say you make Michelle to be big sister."" AY and im wife bin marry for 2008 and get one pikin wey be 12 years, Michelle Makun. AY Makun na comedian wey blow for di industry wit di release of im stand-up comedy show wey im call AY Live wey start for 2010. AY also get TV drama series like AY's Crib and The AY Show. Howeva no be until 2015 e start to dey produce im own feem with 30 Days in Atlanta. Oda feems wey e don produce include 10 Days in Sun City, A Trip to Jamaica and Merry Men. E don follow plenti celebs work including Ramsey Nouah, Funke Akindele, Jim Iyke and international stars like Vivica Fox."	https://www.bbc.com/pidgin/tori-60040565
sports	Footballer wey bite im opponent penis for match chop five years suspension	One player chop five years suspension for France sake of say im bite im opponent penis for fight wey happun afta dia match. Di incident happun for France for November 17 for di second division match between Terville and Soetrich. According to one local news website for Lorraine, kasala burst wen one of di players from each of di team begin fight demself, another Terville player come join, tori be say im try to separate dem. Na so di Soetrich player respond come bite im penis. Tori be say di victim need 10 stitches and e gatz take four days off work. 'Di incident happun afta dia match for di stadium car park. Di fight start small before e worse,'  na wetin Emmanuel Saling of di Mosellan football district tok, 'im blame di two sides'. Na wetin im add put. Saling say because di 'case dey quite original', di disciplinary committee call expert witness before dem decide to suspend di Soetrich player for five years. While di injured Terville player chop six months suspension. Di match end for 1-1 draw wey for be Terville first point of di season but dem punish dem with two penalty points and fine dem 200 euros sake of say dem no meet dia safety obligations as hosts and for lack of reaction from club officials when di fight start.	https://www.bbc.com/pidgin/sport-51564945
sports	Breakdown of matchday six games for Champions League	Twelve teams don qualify for di round of 16 for Champions League so far. E mean say four teams go book dia place for di last match for di group stage of di competition. We torchlight wetin dem need to go through and breakdown wia each team stand for dia groups. Di round of 16 draw go take place for di House of European Football for Nyon, Switzerland, on Monday November 7. *Bayern Benfica *Chelsea Club Brugge Dortmund Inter Liverpool *Man City Napoli Paris Saint-Germain Porto, Real Madrid *Group winners Teams wey fit go through to round of 16 on Matchday 6: Eintracht Frankfurt, Leipzig, Marseille, AC Milan, Salzburg, Shakhtar, Sporting CP, Tottenham Teams wey don confam third place position and di Uefa Europa League knockout round play-offs: Barcelona, Sevilla Teams wey no fit reach di round of 16 but fit finish third: Ajax, Atlético, Dinamo Zagreb, Juventus, Leverkusen, Maccabi Haifa, Rangers Teams wey don confam fourth place: Celtic, Copenhagen, Plzeň Tuesday  November 1 Group A: Liverpool vs Napoli, Rangers vs Ajax Group B: Porto vs Atlético, Leverkusen vs Club Brugge Group C: Bayern vs Inter, Plzeň vs Barcelona Group D: Sporting CP vs Frankfurt, Marseille vs Tottenham Wednesday  November 2 Group E: Chelsea vs Dinamo Zagreb, AC Milan vs Salzburg Group F: Real Madrid vs Celtic, Shakhtar vs Leipzig Group G: Man City vs Sevilla, Copenhagen vs Dortmund Group H: Juventus vs Paris, Maccabi Haifa vs Benfica Napoli don qualify for di round of 16. Dem go finish first if dem avoid defeat to Liverpool by four goals or more. Liverpool also don qualify for di round of 16. Dem go finish first if dem beat Napoli by four goals or more. Ajax no fit reach di round of 16. Dem go finish third and reach di Europa League knockout round play-offs if dem avoid defeat by Rangers by five goals or more. Rangers no fit reach di round of 16. Dem go finish third and reach di Europa League knockout round play-offs if dem beat Ajax by five goals or more. Club Brugge don qualify for di round of 16. Dem go finish first if dem win, if di two games end for draw, or if Porto lose. Porto don qualify to the round of 16. Dem fit finish first if dem win and Club Brugge no win, or if dem draw and Club Brugge lose. Atlético no fit qualify for di round of 16. Dem go finish third and reach di Europa League knockout round play-offs if dem win, or if both games end for draw, or if Leverkusen lose. Leverkusen also no fit reach di round of 16. Dem go finish third and reach di Europa League knockout round play-offs if dem win and Atlético no win, or if dem draw and Atlético lose. Bayern dey through to di round of 16 as group winners. Inter too don qualify, dem finish second. Barcelona go finish third and compete for di UEFA Europa League knockout round play-offs. Plzeň finish fourth. Tottenham go qualify for di round of 16 if dem avoid defeat. Dem go finish first if dem win, or if both games end for draw. Spurs no fit finish fourth. Sporting go also qualify for di round of 16 if dem avoid defeat. Dem also fit finish first if dem win and Tottenham no win. Sporting go finish third and reach di Europa League knockout round play-offs if dem and Marseille lose. Frankfurt fit reach di round of 16 if dem win. Dem go finish first if dem win and Spurs no win. Frankfurt go finish third if both games end for draw, or if dem and Marseille lose. Marseille go also fit through to di round of 16 if dem win. Dem go finish first if dem win and di oda game end for draw. Dem go finish third and reach di Europa League knockout round play-offs if they draw and Sporting lose. Chelsea don qualify for di round of 16 as group winners. Milan go also qualify for di round of 16 if dem avoid defeat. Milan no fit finish fourth. Salzburg too fit qualify for di round of 16 if dem win. Dem go finish fourth if they lose and Dinamo win. Dinamo no fit reach di round of 16. Dem fit finish third and reach di Europa League knockout round play-offs if dem win and Salzburg lose. Real Madrid don qualify for di round of 16. Madrid go finish as group winners if dem win, or if Leipzig no win. Leipzig go also qualify for di round of 16 if dem avoid defeat. Dem go finish first if dem win and Madrid no win. Shakhtar too fit qualify for di round of 16 if dem win. Celtic go finish fourth. Man City don qualify for di round of 16 as group winners. Dortmund too don qualify afta dem finish second. Sevilla go finish third and compete for Uefa Europa League knockout round play-offs. Copenhagen go finish fourth. Paris and Benfica don qualify for di round of 16. Paris currently dey top sake of dia overall goal difference (+8 to +4) as dem plaw 1-1 wen both of dem bin meet. Juventus and Maccabi Haifa no fit reach di round of 16. Juventus currently dey third. Dia overall goal difference na (-3 to -9) both teams win dia direct home games by two-goal margin.	https://www.bbc.com/pidgin/articles/cyxr1r6154lo
sports	Ghana vs Nigeria play off: Super Eagles squad arrive Kumasi to clash Black Stars - Fotos	"Super Eagles of Nigeria arrive Kumasi for de first leg of de 2022 FIFA World Qualifier play offs against Ghana  on Friday. De first leg of de playoff go happun for de Baba Yara Sports Stadium inside Kumasi. On Wednesday de Super Eagles confam de squad wey dey play na: Goalkeepers: Francis Uzoho (AC Omonia, Cyprus); Daniel Akpeyi (Kaizer Chiefs, South Africa) Defenders:Oluwasemilogo Ajayi (West Bromwich Albion, England); Kenneth Omeruo (CD Leganes, Spain); odas include; Leon Balogun (Glasgow Rangers, Scotland); William Ekong (Watford FC, England); Olaoluwa Aina (Torino FC, Italy); Calvin Bassey (Glasgow Rangers, Scotland); Abdullahi Shehu (AC Omonia, Cyprus); Zaidu Sanusi (FC Porto, Portugal) Ghana Football Association Prez, Kurt Okraku lead di Nigeria Football Federation Prez, Amaju Pinnick together wit coach, players den technical team to dia hotel. De last time dis two kontris meet, na for 2011 but games between de two go way back as 1950. Ghana and Nigeria don meet 56 times across all competitions. De Black Stars don win 25 while de Super Eagles don win 12 and de oda 19 games end for draw. Playing Ghana away from home never really favour Nigeria as dem don lose 16 times weneva dia West African rival host dem. Six end for draw. Na only one time Nigeria win out of de 23 times wey Ghana don host. Ahead of de World Cup qualifier match between Ghana and Nigeria, Super Eagles Head Coach, Augustine Eguavoen say de team no go make di same mistakes wey dem make for AFCON 2021 wey Cameroon host. E talk BBC News Pidgin dis one afta di senior football team do press conference for Abuja on 23 March. ""E for beta make we lose one match for de group stage, den win de cup dan to win all come lose di most important match. ""We don learn from all our mistakes and e no go happun again, dis match dey important and na two-legged affair. ""We go try get sometin for dia (Kumasi) come finish am for here"" Eguavoen add say all de players dey kamkpe and ginger full dia bodi to play di match to qualify. Di return leg go happun for Abuja next Tuesday."	https://www.bbc.com/pidgin/tori-60862654
entertainment	BBNaija S6: Queen fight Whitemoney sake of Jackie B for Big Brother Naija 'Shine Ya Eyes'	Di tension between Big Brother Naija housemates Queen and Whitemoney reach anoda level on Friday afta dia gbos-gbos sake of dia relationship. Dis na how di whole mata take start. As two of dem dey Kitchen, Whitemoney go meet Queen for dem to tok but she turn am down. Na dia im tell her say im go start to avoid her completely if she continue wit her attitude. Dat tok pepper Queen for body wey make her to accuse Whitemoney say: Im no dey straightforward wit her and she also accuse am say im dey carry her mata tell oda housemates. Tori be say on Wednesday Whitemoney and Queen bin  discuss about im affection for Jackie B and Queen attitude. For dat conversation, Whitemoney bin tok about why im no enta Jackie B mata when Michael bin dey around. According to am na because of wetin im call di bro code, before im reveal to her say im dey catch feelings for Jackie B. Queen bin waka leave am but come back later wia dey two of dem sit down tok about dia wahala. Still ontop dia mata today Queen no bin happy with Whitemoney because he im share dia Wednesday conversation to oda Housemates. She also say she bin no dey comfortable wit di way Whitemoney dey get close to Jackie B since im be her friend. Cross later chook mouth for di mata and ask Queen some questions. Him ask her if Jackie B attraction to Whitemoney na problem for her. She say no but add say she go find am hard to dey free wit him if im end up in a relationship wit her. She claim say di reason why she come dey close to Whitemoney na because she see as pesin wey no get any love interest. Queen also accuse Jackie of snubbing her for di same reason, she tok how Jackie attitude completely change towards her afta Whitemoney reveal dia conversation to Jackie B and di oda Housemates. Jackie and Queen later sitdon to settle dia mata as she explain her own side of di story. Jackie B explain say di reason why she withdraw a bit from Queen na because she see say she ( Queen) bin dey moody and she bin no want ross any boundaries. Ontop Whitemoney mata  she tell Queen say im bin don share im feelings before Michael come di House  So make Queen no fear say she go lose Whitemoney. Queen also explain her side of di story. According to her she say she no dey aware say Whitemoney bin don express im  affection to Jackie B before she come inside di house. She say she bin think say Whitemoney  just start to expressing im affections afta Michael chop eviction. Something wey she say pain her. Aft her conversation wit Jackie B, Queen go meet Whitemoney for di dressing area and apologise to am for misunderstanding him and Jackie B relationship. On im part Whitemoney claim say since Michael and him from di same ethnic background, him no dey goafta im woman just because Michael don comot for di House.	https://www.bbc.com/pidgin/sport-58519835
politics	Non- Career Ambassador: Nigeria President Buhari do appoint 41 non-career ambassadors - See wetin you need to know about dem	Nigeria President Muhammadu Buhari approve di renewal of di appointments of 12 non-career ambassadors and promise say ojoro no go dey for di representation. Dis promise from di president na sake of di recent complain afta di announcement of 41 non-career ambassadors wey say some states no get representative. Di president promise Nigerians say dem go carry everybody along for all matters of governance, according to one statement from di presidential palace Aso Rock. Now pipo don dey shine torch dey look di list to know who be dis 12 non-career ambassadors wey president Buhari approve dia re-appointment. Dr. (Mrs.) Uzoma Emenike wey come from Abia state, Nigeria don be di Ambassador of di Federal Republic of Nigeria to di Republic of Ireland before President Buhari renew her appointment on Thursday. According to di Nigeria Embassy Dublin website, she get two Bachelor degrees, two Master degrees, and one Doctorate Degree. Dr. Emenike wey be 55 years old, get B.Sc Sociology and Anthropology from University of Maiduguri and LL.B from University of Reading, U.K. She also get Master degree for International Law and Diplomacy from University of Lagos, Nigeria and anoda Master for International Management from University of Reading, U.K. Ambassador Emenike dey married to Chief Ikechi Emenike and dem born four children. Amb. Yusuf Maitama Tuggar wey come from Bauchi state, Nigeria na di Ambassador of Nigeria to Germany since 2017 before im reappointment. Dem born am for 1967 and e be former member of Nigeria house of representative from 2007 to 20011 wey e represent Gamawa Federal Constituency and also don contest twice for Governor of Bauchi State. Oga Tuggar get bachelor degree of Arts International relations from United state international University, San Diego, plus master degree from University of Cambridge. Oga Muhammad Madugu wey also come from Bauchi state, Nigeria na di ambassador of Nigeria to Switzerland before di renewal of im appointment. Dem born am for 1957 and e start im im career with Darazo local government area on di 1st of July 1997 as Community Development Supervisor. From Feb 2008- Oct 2009, e be permanent secretary for di civil service of Bauchi state  and retire for dat office afta 33 years of service . Oga Madugu attend different seminars and workshop on management/Administration, planning, uilding and financial control. Baba Ahmad Jidda wey come from Borno state na Nigeria Ambassador to China. E don first serve as Secretary to Borno State Government (SSG) during di days of former Governor,  Ali Modu Sheriff and then during di first tenure of Governor Kashim Shettima. E get B.Sc.  Political Science from Ahmadu Bello University, Zaria and also attend University of Manchester, UK wey e for get M.A Development Economics plus  Post Graduates Advanced Diploma in Development Administration. Oga Jidda don first be di Ambassador of Nigeria to Burkina Faso and also don contest for governorship election inside Borno state. Oga Uyigue Oghogho wey come from Edo state na High Commissioner of Nigeria to Mauritius. E start im career as supervisor for VESA FOOD AGENCIES LIMITED for 1986 before e come be honourable me=mber of di Edo tate House of Assembly and later RT Hon speaker Edo state House of Assembly from 2011 to 2015. Dr Eniola Ajayi wey come from Ekiti state na Optometrist/Ocular Pathologist by profession and na she be di current Nigeria Ambassador to Hungary. She start her career as with clinical duties inside di eye clinic of 445 Nigerian Air Forces Hospital but later leave dia for 1997 to start her private practice. Dem appoint her commissioner of Education , Science and Technology for Ekiti State from 2010 to 2013 and commissioner for environment from 2013 to 2014. Madam Deborah Iliya wey come from Kaduna state, na Nigerian Ambassador to Congo. She son attend plenti training wey involve cost and financial management, conflict management and resolutions, administrative management and efficiency, negotiation and leadership skill plus odas. Amb. Iliya don contest for primary election for senate inside Kaduna Southern Senatorial District for 2007 and 20015. She also don contest for General election for Senate, Southern Kaduna senatorial district and carry second for 2011. Oga Mohammed Rimi wey come from Katsina state, na di Nigerian Ambassador to di United Arab Emirates and e start im career with di Kaduna state Civil Service for 1977 as Economic planning Officer for di states Ministry of Economic Planning. E don attend plenti national and  international course and seminars. Prof Tijjani Muhammad-Bande wey come from Kebbi state, na ogbonge scholar and diplomat wey be Permanent Representative of Nigeria to di United Nations and for June 4 2019, di United Nations General Assembly elect oga Tijjani as President of dia 74th session. Oga Tijjani get B.Sc for Political Science from Ahmadu Bello University, Nigeria in 1979,  MA Political Science from Boston University, USA for 1981 and Ph.D Political Science from University of Toronto, Canada for 1987. Madam Modupe Irele wey ome from Lagos state, na Nigeria Ambassador to France. She start her career as teacher for di Teacher International School, Ibadan and she don also hold plenti oda position for differnet organizations and associations wey include di position of translator. She get Bachelor degree in English with small understanding of French from University of Ibadan, then continue with her masters for di same school. Plus second masters in education from University College Dublin and doctorate from Penn State University. Oga Adeyinka Asekun wey come from Ogun state, na business management professional wey be di Nigerian High Commissioner to Canada. E be graduate of University of Wisconsin, wey e for get Bachelor of Business Administration, focusing on Marketing. E also get MBA from California State University. E also sabi well-well  for di banking industry and don work for International Merchant Bank, United Bank of Africa(UBA), and Oceanic Bank Plc (now Ecobank). Senator Goni Bura wey come from Yobe state, na member of di 4th senate from 1999 to 2003. E chaired di denate committee on Poverty Alleviation and na also member of different standing committee of di senate. E work as civil servant with Gedam Local Government Area from 1980 to 1987 and become chairmo of di local government from 1988-1989, then Deputy Governor of Yobe State from 1992 to 1993, Commissioner of works for Yobe state from 1992- 1993, senate elect for 1998 and senator for 1999-2003.	https://www.bbc.com/pidgin/53275542
entertainment	Big Brother Naija 2021 housemates: Africa Magic reveal BBNaija Shine Ya Eye housemates	"Di 2021 edition of di biggest reality TV show for Nigeria, Big Brother Nigeria don officially start. According to di show host Ebuka Obi-Uchendu di show go last for 10 weeks. Dis year, di title of di show na 'Shine Ya Eye' and for di first night, na only di boys dem reveal. Dem go reveal di girls for di Sunday part of di show. Dis season get two launch shows. Di first launch happun on Saturday 24 July, di second go be on Sunday 25 July. Di launch show go start by 7pm West African time. BBNaija na di biggest reality show for Africa, ova 49 kontries for di continent tune in to watch di season launch wey start by 7pm West African time, according to di show organizers. Boma Im be 34-years-old mixologist wey also don do some modelling and be former footballer. Raised by im single mother and grandmother, Boma bin don marry before. Boma suffer injury during football try-outs, im dey determined to ""never, ever, give up"" and hold onto im faith. Okusaga Dis 28-years-old engineer come from Lagos State. Okusaga aka Saga say im go ""bring vibe to di house"". Im say di lowest point for e life na wen im hear say e mama - wey im describe as e best friend - don die. Yousef Dis bi-racial Nigerian be teacher come from Jos, Plateau State and plan to bring lots of entertainment for di show. Im sey e go like make pipo dey call am Yousef. Pere Drama and gbas-gbos, na one of di housemates wey Ebuka announce as housemate on di show. Pere say im be actor and plan to ""bring spontaneity to di audience on di show"". Im say e be businessman wey dey into import of shoes. Multitalented Whitemoney describe imself as open-minded ""jolly good fellow"" wey like to catch fun. Di 29-year-old Lagos based Whitemoney originally come from Enugu State. Niyi Dis former basketballer come from Oyo State and e don marry wit one pikin. Im also be businessman wey dey run fantasy game platform and event business for Cape Town, South Africa. Niyi dey 6'6'' in heigth and likely go be di tallest housemate on dis season edition of di show. Yerins Im be medical doctor wey say ""e like to eat even though e no dey show for im body"". E describe imsef as 'polymath' wey get undying love for many creative things. 29-years-old Jay Paul come from Calabar, Cross River state, e describe imsef as ""social butterfly"". Im be complete entertainer wey dey run tourism business. Jay Paul dey act, sing and dance as well. Im be 24-year-old model wey come from Akwa Ibom State. Emanuel na model wey dey into pageantry and be winner of Mr Africa. E dey single and say possibility dey say im go fit ""mingle"". Sammie Sammie na final-year student wey dey study Guidance & Counselling for Ahmadu Bello University, Zaria. Im come from Kaduna State and plan to enjoy imsef for di show. Cross 31-years old Ikechukwu love clubbing, dancing and girls wey also like to see ""women fight over am"". E dey into yoga and plan to bring drama ""Wey concern boys and girls fight"". Big Brother Nigeria 1 Katung Aduwak$100,000 Big Brother Naija 2 Efe Ejeba N25,000,000 Big Brother Naija 3 Miracle Igbokwe N45,000,000 Big Brother Naija 4 Mercy Eke N60,000,000 Big Brother Naija 5 Olamilekan Agbeleshe N85,000,000"	https://www.bbc.com/pidgin/57946016
entertainment	BBNaija: Erica and Kidd 'ship' for Big Brother Naija show dey make fans heart cut - See di reason why	Fans of Big Brother Naija dey react to Kiddwaya and Erica relationship afta she tell am say make dem continue as friends and nothing more inside di house. On Wednesday August 5, afta dia Wager rehearsals, Erica and Kiddwaya do two aside tok wia she tell am say she wan to focus on di game without any man distraction. She say she dey enjoy all dia cuddles and intimate moments wey dem dey share togeda but going forward she go like focus on her game and career. Afta she tok finish, Kiddwaya no fight or tok too much e just say ok and carry on with im normal activity for di house. E no reach complete 24 hours afta two of dem discuss about dia relationship mata say make dem just be friends, dem begin play love again. Kiddwaya and Erica hold each oda for chair for parlour, eat from di same plate and even kiss too join. Many fans enta social media to react to di couple relationship mata for inside di Big Brother Naija lockdown house. Dem use di #kiddrica to express how dia relationship dey go so far. Dis week, 16 housemates dey up for possible eviction on Sunday, na only di head of house Ozo and Deputy head of house Dorathy dey safe from eviction. Voting go end on Thursday August 6.	https://www.bbc.com/pidgin/tori-53685835
