category	headline	text
business	250 Account Probe: Gọọmentị Imo na-akpa agwa ụmụaka ọtaakara - Rochas Okorocha	Ndị ụlọomeiwu Imo steeti enyela ikike ka enyocha akara ọba ego narị abụọ na iri ise emepere mgbe Rochas Okorocha bụ Gọvanọ Imo steeti. N'aka nke ọzọ, lekwa ihe Rochas Okorocha nwere ikwu maka nyocha Gọọmenti Imo steeti na-enyocha ya. Onyeomeiwu Imo steeti bụ Uche Ogbuagu kwuru na nyocha a bụ ka achịkọtaa ọba akụ ndị a ka ha bụrụ otu. Ihe nke a pụtara bụ na ha ga enyocha ọba ego ndia niile ka ha mara nke ego dị ma nke ego na adịghi. Ogbuagu kwuru na mgbe ha mechara ka ha ga-achịkọta ọba ego ndị a n'ihe ndị bekee na-akpọ 'Single Treasury account'. Ndị omeiwu a rịọrọ ka ndị Ụlọakụ nwe oba egoi ndị a nyere aka ka atụmatụ a gaa nke ọma.
business	Ọgba Mbọ: Ọtụtụ ndị enyi m gbara m ọsọ maka na m na-ebu ozu - Adaeze Okosi	"Adaeze Okosi bụ otu n'ime ndị ntoroọbịa gụchara mahadum na Naijirịa ma ha enwewghị ọrụ. Kama Adeze onye gụrụ 'Anatomy' na Mahadum malitere tinyewe ihe ọ gụrụ na mahadum n'ọrụ; o bidoro ịnya ụgbọala eji ebu ozu. Abia na mpaghara ọwụwa anyanwụ Naijirịa, ịnya ụgbọala eji ebu ozu nke bụ Hearse n'okwu bekee bụ ọrụ a na-ahụ dịka ọrụ ụmu nwoke. Kama nke a egbochighị Adaeze ịbanye ya bụ ọrụ ma na-eme ya nke ọma. Adaeze kwuru na ọtụtụ ndị enyi ya gbaara ya ọsọ kamgbe o bidoro ịnya ụgbọala eji ebu ozu. O kwukwara na nne na nna ya kwadoro ya kama na ụfọdụ ndị mmadụ anaghị ekwe enye ya ọrụ maka na ọ bụ nwaanyị. Ụfọdụ na-ekwu na oge ụfọdụ ndị mmụọ na-enye ndị na-anya ụgbọala e ji ebu ozu nsogbu, mana Adaeze kwuru na ụdị ihe ahụ emetụbeghị ya. ""Enwebeghị mgbe ụdịrị ahụmihe dị otu a kamgbe m malitere ọrụ a,"" Adaeze kwuru. ""Ana m arụ ọrụ m, gaa ụka, ma bidokwa ọrụ m ọzọ. Anaghị m ahụ ihe ọbụla dịka ndị mmụọ maọbụ ihe gbara gharị"". Adaeze kwuru na ya malitere ọrụ a na mbido afọ 2022 ma kwukwaa na ọ na-enyere ya aka. Ọ bụ Chigozie Ohaka na Chiemela Mgbeahuru mere akụkọ a"
business	Anambra Sit at Home: Onitsha 'Main Market' o mepere taa bụ Mọnde? Lee ihe anyị hụrụ	Onitsha Main Market dịka ebe agbara ọsọ n'ụtụtụ taa bụ Monde, March 28, 2022. Ndị ahịa apụtaghị maọlị belụsọ ndị mmadụ na-agara onwe na nke nke n'okporoụzọ. Ọdọ ụgbọala ebe ndị ọkwọ ụgbọala na-eme njem aga-ebe dị iche iche n'ala Igbo mechichara emechi. Okporoụzọ Upper Iweka na-ekwokarị ekwo dịka ebe ndị mmụọ chụsasiri ndị mmadụ ọsọ makana ị ga-agụtalị mmadụ olemole nọ ebe ahụ n'ụtụtụ taa. Nke a na-abịa agbanyeghị nzukọ ndị isi ahịa na aka na-achị anambra steeti bụ Charles Soludo nwere n'izu ụka gara aga. Na nzukọ ahụ, ha kwekọrịtara na ndị ahịa ga-emepe ahịa ụbọchị Mọnde ọbụla agbanyeghị na ndị mmadụ na-anọbụ n'ụlọ ụbọchị ahụ. Lee ụfọdụ foto anyị setere ebe ahụ. Ọdọ ụgbọelu dịketere Upper Iweka dị n'Onitsha tọgbọọ chakoo Na Jerome Udorji ebe Secretariat nke Anambra steeti dị , onye ntakụkọ anyi hụrụ ndị ọrụ ka na-abịa edenye aha ma tụgharịa azụ lawa. Lee ka ihu na anya dị ụfọdụ ebe n'Awka dị n'Anambra steeti. Ndị na-akwọ ụgbọala ndị ọrụ ji aga ọrụ na secretariat apụtaghị bia buru ụgbọala kwọga ndị ọrụ n'ụtụtụ a. Ọtụtụ ọdọ ụgbọala tọgbọkwa chakoo agbanyeghị na ndị ọkwọ ụgbọala biara  ya bụ nzụkọ gọvanọ Soludo na ndị ahịa mere. Anambra steeti Judiciary dị n'Awka tọgbọọ chakoo. A hụghị kama otu onye ebe ahụ. A hụtụrụ mmadụ n'Aroma junction. Ndị mmadụ apụtaghị etu ha si apụtabu n'Eke Awka n'ụbọchị ndị ọzọ. Unizik Junction Awka N'Abakaliki dị n'Ebonyi steeti, Ndị ọgbatum tum na-agagharị mana ahụghị ndị na-eme njem tere aka na-agba n'ụzọ taa. N'Enugu, Ọtụtụ okporoụzọ dị n'Enugu tọgbọọ chakoo dịka ndị mmadụ nọ n'ụlọ taa bụ Mọnde March 28, 2022. N'Umuahia, okporoụzọ Akara - Uturu n'okpuru ọchịchị Ovim Isuikwuato dị n'Abia steeti. Okporoụzọ Osusu a na-esi aga Faults, ahia Ariaria nakwa ebe a na-esi amapụta okporoụzọ Port Harcourt na Enugu tọgbọọ chakoo. Ụlọahịa ndị dị n'okporoụzọ Wethral dị n'Owerri mechichara emechi. Gịnị butere 'sit at home' ndị Ipob hibere? Ndị otu Ipob malitere ịnọ n'ụlọ ha kpọrọ 'sit at home' mgbe gọọmentị etiti Naịjiria nwụchiri Kanu bụ onyendu ha, n'afọ 2021. Ha tinyere ya bụ ịnọ n'ụlọ na mpaghara Ọwụwa Anyanwụ Naịjiria iji gosi nkwado ha maka ikpe Kanu. N'afọ 2021, ha tinyere ya bụ ịnọ n'ụlọ kwa Mọnde ọbụla, mana ha mechara na-eme ya mgbe ọbụla Kanu kwesịrị ịpụta n'ụlọikpe. Cheta na gọọmetị Naịjirịa nwụchiri Nnamdi Kanu bụ onye ndụ otu Ipob na na mba Kenya n'afọ 2021 ebe ọ gbara ọsọ n'afọ 2017 mgbe ndị agha Naịjirịa wakporo ụlọ ya n'Afaraukwu Abia steeti. Kamgbe e si mba Kenya kpọlata ya Naịjirịa, a na-ekpe ya ikpe maka ebubo iyi ndụ egwu nke gọọmentị Naịjirịa na-ebo ya.
business	CBN BDC: 'Mmachị Bureau De Change ga-ebutere anyị agụrụ' - Onye na-agbanwe ego	Ndị na-agbanwe ego akpọrọ Bureau de Change na bekee na Najirịa na-akwa arịrị gbasara etu gọọmenti etiti si machie iresi ha ego mba ofesi ụnyahụ. Chukwuemeka Arinze bụ onye na-agbanwe ego na Legọs kamgbe afọ iri abụọ kwuru na mmachị a ga-akwanye ya na ndị otu ya na-emekwa udiri azụmahịa ahụ n’agụrụ ma mee ka ọtụtụ ndị ha na-enye ọrụ laa ụlọ ga-anọdụ ala. Cheta na ụlọakụ ukwu NaỊjiria bụ “Central Bank of Nigeria” kwuru na ha machiela iresi ndị na-agbanwe ego, ego mba ofesi ọbụla. Gịnị kpatara mmachị a? CBN kwuru na ọ bụ maka etu ndị nkịtị na-agbanwe ego si eji ohere e nyere ha were na-akwado nrụrụaka ego dị iche iche. Onyeisi CBN bụ Godwin Emefiele kwuputere nke a ụbọchị Tusde(Julaị 27,2021) ma kwukwa na CBN agaghị enyezi ndị mmadụ akwụkwọ ikike e ji agbanwe  ego na Naịjirịa. Emefiele kwuru na CBN ga na-eresizi ụlọakụ dị ịche iche na Naịjirịa ego mba ofesi. O kwuru na ọtụtụ ngalaba mba ofesi kụpụrụ nti gbasara  ime mgbanwe ego iwu akwadoghị. Ihe gọvanọ CBN kwesiri ime karịa ma ịmachị iresi ndị BDC ego mba ofesi Arinze bụ onye na-eme mgbanwe ego kwuru na CBN kwesiri itinyekwu ego n’ahịa mgbanwe ego karịa ma ịmachị ndị nkịtị ime ya. O kwuru na ndị otu ya ahụghị ego mba ofesi zuruoke ha na-eresi ọtụtụ ndị na-agbanwe ego n’aka ha ma ya fọdụzie iji ohere ha mee nrụrụ aka. Arinze kwuru na ọ dị mma etu CBN si kwuo na ha ga-akwụsị inye ndị na-achọ akwụkwo ikike ọhụrụ ime mgbanwe ego. Ihe ndị ọzọ ọ kọwara dị n'ihe nkiri a dị ebe a.
business	David Malpass ga-anọchị anya Jim Yong Kim n'ụlọakụ mba ụwa niile	N'ozi ụlọakụ ụwaniile bụ World Bank na Bekee zipụrụ site n'akara Twitter ha, ha kwuru na Malpass ga-ebido ọrụ n'ụbọchị Tuusde. Ha kwuru na mmadụ niile jịkoro aka họpụta ya dịka onye ndụ ụlọakụ ahụ. Ọ pụtara na David Malpass bụ onye mba Amerịka ga-anọchi anya Jim Yong Kim dịka ọ rituru n'ọkwa n'ọnwa Febụwarị. Ụmụakwụkwọ LUTH ebee arịrị Ndị uweojii na Legọs ekwuola na ha anwụchiela mmadụ abụo bụ ndị aka ha dị n'ọnwụ Stephen Urueye. Ndị uweojii kwukwara na ha amalitela nyocha banyere ọnwụ nwoke ahụ. Cheta na ọ bụ n'abalị ụnyaahụ ka ndị ohi zuru Stephen ohi ma sụọ ya mma n'ihu ụlọakwụkwọ LUTH dị na Legọs. Ha kwukwara na ọ bịara otu ụbọchị dịka o mechara mmemme ngụcha Mahadum. Ụmụakwụkwọ ahụ na-eme ngagharịiwe maka na ha na-ekwu na ọ bụghị taa ka ndị omekome bidoro ịmaja na ịwakpo ha. Dịka Hadiza Usman, onyeisi ngalaba n'ahụ maka ọdọụgbọmiri sị gwa ụlọakụkọ Bloomberg, Naijirịa na-arụ  ọdọụgbọmmiri miri emi nakwa ọdọ ngwaahịa abụọ iji belata kpachikpachị dị na ọdọụgbọmmiri dị n'Apapa Legọs. Otu na Lekki Free Trade Zone  dị na Legọs. Nke ọzọ na Badagry dịkwa na Legọs, ebe nke atọ bụ ọdọụgbọmmiri Ibom dị na Akwa-Ibom. Ụgwọ Naijiria gbazitere arịala elu site na  tarịị Naira iri abụọ na otu na ụma(N21.73trn)ọ bụ n'afọ 2018 gbaruo tarịị iri abụọ na anọ na ụma(N24.39trn) dịka ngalaba na-ahụ maka ijikwa ụgwọ nke a kpọrọ debt Management office siri kwupụta ụbọchị Tọsde n'Abuja. O jiri pasent 12.25 gafe nke afọ 2018. Otu APC ekwuola na mmeju ntuliaka Inec mere na Bauchi, Sokoto nakwa Adamawa adanyeghị na anya ya  dịka ha boro ebubo wuruwuru, tigbuo-zogbu na igo vote, ma kwuo  na ha ga-aga ụlọikpe ịdọgha mpụtara ntuliaka ndị ahụ. Ha kwukwara na ebubo na onye nke ha bụ onye meriri na ntuliaka Gọvanọ na Kwara steeti Abdulrahman Abdulrazaq ji asambodo secondịrị adigboroja bụ akụkọ Mike ejeagha nke ndị e meriri emeri na-akọ. Ndị uweojii Legọs atuọla alo ha achụọ Inspector Olalekan Ogunyemi n'ọrụ uweojii ka e kpechara ya ikpe imeụlọ maka ogbugbu otu nwata nwooke a kpọrọ Kolade Johnson bụ  onye a gbagburu ebe ọ na-ekiri oolu na Mangoro na Legos. Mana a hapụrụ ogbo ya bụ  Sergeant Godwin Orji  sị ya lawa na ikpe amaghị ya. Na egwuregwu, Danny Rose nke Tottenham kwuru na ike egwu bọọlụ  agwụwala ya dịka ikpa oke agbụrụ na-ari ibe ya elu na bọọlụ. Rose, onye so ndị egwu ball England akwara emo na asompi e ji akwado Euro 2020 nke a gbara na Montenegro tụrụ arịrị na o nweghị ezi ahụhụ  a na-enye ndị  kpara oke agbụrụ na bọọlụ.
business	Personal Finance: Ebe asaa i nwereike itinye ego ị tụkọtara	Ichekwa ego na kom-kom, okpuru akwa maọbụ n'ụlọakụ maka echi dị mma, mana itinye ego n'ebe ọ ga-amụtara gị ihe kacha mma. Ihe nke a jị dị mkpa bụ maka na mbuli ọnụahịa (inflation) na-eme ka uru ego gị gbadaa ma ọ bụrụ n'ị hapụ itinye ya n'ọrụ nke na ihe ọ zụtanwuru n'afọ a, ọ gaghị azụtanwu ya n'afọ ọzọ. Ọmụmaatụ: N'afọ 2015, otu akpa osikapa na-ada puku naira 12 mana n'afọ 2019, onye dowere puku naira iri abụọ na kom-kom n'afọ 2015 agaghị eji ya zulie otu akpa osikapa dịka ọnụahịa ya kwụzị naira puku 17. Dịka NBS siri kwụọ, mbuli ọnụahịa dị pasent 9.02 n'afọ 2015 mana ọ gbaliri rue pasent 11.08 n'afọ 2019. Na nkọwa ya, onye  ọkachamara n'ihe gbasara nhazi ego onye bụ Uche Iheanacho rụtụrụ aka n'ebe asaa mmadụ nwereike itinye ego o chekwatara ka ọ mịtara ya ezi mkpụrụ. 1. Iji ego achụ ego maọbụ ịgbakwụnye ihe ọzọna abụghị isi ọrụ gị na-ewetara gị ego Ị na-arụ ọrụ Bekee ma ị na-azụ ahịa, i nwereike izipụ ego gị ka ọ na-agara gị ozi ịchụ nta ego. Ihe dịka itinye ego n'ịgba 'Keke', ụgbọala maọbụ ọkada, ire ahịa maọbụ ịtụbata ahịa so na ihe i nwereike ime ego i dokwara ana-agbalite. Nke a bụ akwụkwọ ego gọọmenti na-azụ n'aka ọha  ọnwa issi maọbụ otu afọ iji nweta ego ha ji arụ ọrụ. Nke dịkwa ka 'treasury bill' mana ọ na-ewe ọtụtụ afọ  bido afọ abụọ maọbụ iri abụọ. 4. 'Fixed deposit' Nke a bụ itinye ego gị n'ụlọakụ ọnwa atọ, isii maọbụ otu afọ maọbụ oge ole gị na ụlọakụ kwekọrịtara, na akpaghị ya aka maọlị. Uru dị ya bụ na ọ ga-amụtara gị nwa karịa ego ichekwara n'ụlọakụ nke ị na-adobiri oge ọbụla ọ masịị gị. 5. Itinye ego n'ego mba ndị ọzọ(Forex) Itinye ego n'ego igwe dịka paụnds maọbụ dọla ga-echekwa ego gị ọ gaghị ada rue ka ego gị ma ọ bụrụ na ị hapụrụ ya n'ụlọ maọbụ n'ụlọakụ. Igba ala bụ ezigbo ebe i weere ike iji gị a bara gị ezigbo uru. Ịgakwu akwụkwọ maọbụ ọmụmụ ga-enye gị ohere ịmụta nka maọbụ iwelite amamihe n'ihe nke ị ma na-eme maọbụ ọrụ ị na-arụ ga-eme ka ị na-enweta karịa ihe ị na-enwetabu na mbụ. Gee ya n'ụju n'ihe onyonyo dị n'elu: Davido egechiela Chioma! Foto ndị si na mkwanye ugwu ikpeazụ Robert Mugabe
business	African Eye: Nwoke Chaịna na-akpa ego site n'ime ụmụaka Afrịka akaja	E nwere mgbere ihe onyonyo na-ewu n'ụfọdụ ebe n'ụwa ọkachasị na mba Chaịna. Ọtụtụ ya bụ ihe onyonyo na-egosikarị ụmụaka eji ezi ozi mgbe ndị mmadụ na-eme emume pụrụiche dịka ụbọchị ncheta ọmụmụ ha. A na-ere ihe onynyo ndị a ihe dịka dọla iri asaa. Kama enwere nke kpaliri iwe ndị mmadụ mgbe ihe onyonyo gosiri ụmụaka na-ekwu na ha bụ ajọ anụ dị ojii ma kwuo na ha enweghị ọgụgụ isi. Nke a mere ka BBC African Eye zọpụ njem iji mata ndị na-eme ihe onyonyo a na ihe ha bu n'obi were eme ya. Akụkọ a bụ maka ihe ha chọpụtara.
business	Insurance in Nigeria: Uru dị n'ikpuchi azụmaahịa gị maka ọdachi	Igbo tụrụ ilu sị 'Agha a gbara ama ya, a dịghị eri nwa ngwọrọ', nke a bụ ka ọ dị n'ihe banyere ikpuchi akụnaụba (Insurance) mmadụ maka ọdachi. Akụkọ a kọwara uru dị nakwa usoro onye azụmaahịa ọbụla nwereike iji chekwaa ngwaahịa ya maka ọdachi ndị gụnyere ọkụ ọgbụgba, mmiri oriri maọbụ izu ya n'ohi. Nke a na-abịa dịka ọtụtụ ngwaahịa ndị mmadụ lara n'iyi n'ọkụ gbara n'ahịa Ọchanja, Ọnịcha n'izuụka gara aga. Otu onye ọkacha n'okwu banyere ikpuchi akụnaụba bụ Golden Akukwe, kọwara uru ndị a ma nye ntuziaka etu e si eme nke a. Ọ sị na uru gbara ọkpụrụkpụ dị na mmadụ ikpuchi azụmaahịa ya bụ na ụlọorụ na-ahụ maka nke a (insurance company) ga-akwụghachị ya ụgwọ ngwaahịa ndị ahụ ma ọ bụrụ na ihe mee ha. O nyere ndị na-achụntaego ndụmọdụ ka ha gbalịa kpuchie ngwaahịa ha maka 'ihe Ọnịcha gwara Obosi'. Akukwe sị na ọ hụbeghi ọghọm dị na mmadụ ikpuchi ngwaahịa ya ma ọ bụrụ na onye ahụ mere ya n'ụzọ ziri ezi. Kedụ usoro mmadụ ga-eji kpuchie azụmaahịa ya? Akukwe kọwara ụzọ onye azụmaahịa nwereike iji kpuchie ngwaahịa ya maka ọdachi. Ọ sị na onye ahụ ga-eme ihe ndị a; Akụkọ ndị ga-amasị gị: Ihe nkiri ga-amasị gị:
business	Forbes: Dangote kachasị, Adenuga na-eso ya na ngụkọ onye ka nwe ego n'Afrika	"Akụkọ dị mkpa: Dịka ngụkọ akwụkwọ akụkọ Forbes siri gosi, Dangote bụ onye kachasị nwee ego n'Afrịka dịka o nwere ihe ruru ijeri dọla iri na ụma ($10.3b). Ebe onye na-eso ya bụ Mike Adenuga, onye nwere ijeri dọla itoolu na ụma. Mana Dangote ji ijeri dọla abụọ gbatuo n'ihe ọ dara n'afọ gara aga, n'ihi ọnụ Dangote Cement n'ahịa ego Naijiria dara ada, mana Mike Adenuga si na ijeri dọla ise ọ dara n'afọ gara aga gbalite ihe ọ dara. 3. Nicky Oppenheimer - $7.3 billion 4. Nassef Sawiris - $6.3 billion 5. Johann Rupert - $5.3 billion 6.  Issad Rebrab- $3.7billion 7. Nagruib Sawiris $2.29 Billion 8. Koos Bekker $2.3 billion 8. Isabel dos Santos $2.3 billion 8.Strive Masiyiwa $2.3 billion 8. Patrice Motsepe $2.3 billion Akụkọ kpọtụrụ ụbọchị Wenezde bụ alụmdịnanwunye mere n'etiti otiegwu Adekunle Kosoko a ma ama dịka Adekunle Gold, nakwa ogbo ya bụ Simisola Bolatito Ogunleye, onye ama dịka Simi. Adekunle Gold na Simi mere alumdinanwunye nzuzo ebe ha kpọrọ naanị ndị enyi ha mmadụ narị atọ oku gụnyere ndị ama ama na Naijiria. E ji egwu, ""Sade"" nakwa ""Orente""  mara Adekunle Gold, ebe e ji ""Jamb Question"" na ""Love Don't Care"" mara Simi. Ozi pụtara bụ na ndị egwu abụọ a hiwere ụbọchị agbamakwụkwọ ha n'otu ụlọoriri dị na Victoria Island, Legos ebe ha kpọrọ naanị mmadụ narị atọ bịa soro ha nụrịa. Akụkọ alumdinanwunye ha kpanyere ọkụ na soshal midia. Ụfọdụ na-ekwu na alumdinanwunye ha ga-agbawa Falz, onye ọzọ na-eti egwu, obi. Falz n'onwe ya tinyere foto nwata anyammiri na-apụ n'anya n'igwe ogwu Twitter ya dịka akụkọ ahụ na-ewu. Ndị mmadụ na-esi imi n'ala ịhụta foto maọbụ onyonyo ihe mere n'emume ahụ. Ndị ihe ha na-amasị dịka @ịamogpaschal na-ekwu na o meghị ha na mberede n'ihi na ha matara na o nwere ihe na-aga n'etiti ha. #Amaechitapes Gọọmentị etiti ekwuola na iwepụta ihe e kwuru bụ olu Rotimi Amaechi bụ minista na-ahụ maka njem, ebe ọ na-akatọ gọọmentị, agaghị ebute ọgbaghara n'etiti ndị APC. Ebe ndị otu na-ahụ maka ndị ọrụ na Naịjirịa na gọọmentị etiti enweela nkwekọrịta na Onyeisiala Buhari ga-ezigara ndị ụlọomeiwu akwụkwọ ha ga-etinye n'iwu, nke ga-eme ka a malite ịkwụ puku naịra iri atọ dịka ụgwọ opekatampe, n'ụbọchị iri abụọ na atọ nke Jenụwarị a. N'akụkọ ọzọ, Osote onyeisiala bụ Yemi Osinbajo ekwuola na ọ ga-adị mma iwepụta iwu ga-achịkwa igwe okwu soshal midia iji beleta nsogbu akụkọ ụgha. Osinbajo onye kwuru nke a n'ọgbakọ akụkọ ụgha nke BBC hiwere n'Abuja n'ụbọchị Wednesde kwuru, ""ọ bụrụ na o nweghị ihe e mere gbasara akụkọ ụgha, o nweghịzị ihe a ga-ekweta na ọ bụ eziokwu n'obodo Naịjirịa."" Ngalaba na-ahụ maka ule ịbanye mahadum bụ Jamb enyela iwu na ụmụakwụkwọ nwere nsogbu banyere ihe e jiri mara onye nke a kpọrọ biometric data' ga-eme ule nke ha n'isi ụlọọrụ ha dị n'Abuja. Ọnụ na-ekwuru ndị Jamb bụ Fabian Benjamin kwuru na nke a bụ iji gbochie ndị ji aghọghọ na-ekwu na ha enweghị nwụ ike idebanye aha ha iji nwe ohere iti mkpu ka e higharia ule nke ha. N'ofesi, Ụlọọrụ Kọmishiona mgbasaozi nke mba Briten adaala ụlọọrụ Cambrige Analytical nha maka kpụ ụkwụ n'ala na'ịkwụ nha puku paụnds iri na ise maka ịda iwu ichekwa akara ndị mmadụ (data protection Act. Ebee ka Victor Moses kwụ akwụ? Dịka ọgba bọọlụ Naijiria bụ Victor Moses gara ezumuike site n'ịgba bọọlụ mba ụwa, ọnọdụ ya edozighị anya dịka o nwere ike ịhapụ otu Chelsea. Moses gbara Chelsea ofuma na afo  bọọlụ abụọ gara aga oge Antonio Conte na-achịkọta Chelsea. Mana n'afọ ọhụrụ a, ọ pụtara naanị ugboro abụọ n'ime asọmpi iri abụọ na otu nke premier league,dịka onye nchịkọta ha ugbua bụ Maurizio Sarri, sị na ya amaghị ije ya. Ndị agha Naịjirịa atọghapụla onye ntaakụkọ Daily Trust bụ Uthman Abubakar, ha nwụchiri n'ụlọọrụ ha na Maiduguri, mana ọ ka fọrọ. Onyeisi ụlọọrụ Daily Trust bụ Mannir Dan-Ali, kwuru na ndị agha ka ji ekwentị Abubakar nakwa kọmputa ya. N'ofesi, Onyeisiala mba Amerịka bụ Donald Trump ka na-ebe akwa ego o ji arụ mgbidi ahụ aja ọ chọrọ iji egbochi ndị mbịarambịara ịbata na mba ya. N'ihe bụ okwu mbụ ọ na-agwa ndị mba ya n'ihe nkiri n'afọ a, Trump kwuru na a ga-esi n'ihe a kpọrọ North American Free Trade Agreement kwụọ ụgwọ mgbidi a. N'egwuregwu, Mohamed Salah nke Ijipt atụrụla ugo dịka ọkaibe n'egwu bọọlụ Afrịka. Ebe otu egwu ụmụnwaanyị Naịjirịa zọrọ Naịjirịa ihu site n'inweta nturu ugo mba bụ ọkaibe n'Afrịka na nturugo CAF. Gere akụkọ BBC Igbo na nkeji Ihe nkiri ga-amasị gị Chukwuemeka Afigbo na-arụ na Facebook chọrọ ka ị mụta etu esi abụ ọkaibe n'ihe gbasara teknụzụ."
business	Marksman Chinedu Ijiomah: Ejịghị m ego ndị mmadụ mee 'dorime'	"Onyeisi ụlọọrụ Chinmark Group bụ Marksman Chinedu Ijiomah ekwuola na ihe mere ya ji ghara imezu nkwa ịkwụ ndị tinyere ego n'ụlọọrụ ya bụ n'ihi na ngalaba na-ahụ maka itinye ego n'azụmahịa a kpọrọ Security Exchange Commission(Sec) natara ikike gbachie akpaego ya na nke ụlọrụ ya dị n'ụlọakụ. Chinmark na Chinedu Ijiomah na-ewu kemgbe na soshal midia maka etu ndị mmadụ si pụta na-ekwu na o kweghị akwụ ha ụgwọ o ji ha dịka ụfọdụ n'ime ha tinyere ego ha n'ụlọahịa ya iji nweta isi ego na ọmụrụnwa. Ọtụtụ ndị a na-eti mkpu ego ha kwuru na mbọ niile ha gbarala maka nke a dara mmiri dịka Ijiomah gbachiri ekwentị ya ma were ndị agbero wujuo n'ụlọọrụ ya dịga na mpaghara di iche iche na Naijiria nakwa na Dubai. Na mkparịtaụka ya na BBC Igbo nwere, Ijiomah kwuru na ọ bụghị ọsọ ka ya gbara kama na SEC gbachiri akpaego ya, nke nwunye ya na nwa ya. O kwuru na o nweela ndị ya kwụrụ ụgwọ n'ime ihe ruru mmadụ 400 tinyere ego n'ụlọahịa ya. ma kwekwa nkwa na ya ga-anwụ ndị fọrọ afọ ma ọ bụrụ na ha nye ya ohere ọnwa asaa na-abịa. Ngalaba Securities & Exchange Commission (SEC) nke Naịjirịa depụtara n'ọba ozi webụsaiti ha akwụkwọ ozi katọrọ atụmaatụ oji ego achụ ego nke ụlọahịa Chinmark Group. Akwụkwọ ozi ahụ bu deeti December 25, 2021 dọrọ ndị mmadụ aka na nti ka ha mata na Chinmark group nke nọ n'okpuru aha Fin Africa Investment Limited edenyeghị aha azụmahia ya n'akwụkwọ SEC ma na-ekwu na onye ọbụla ya na ha na-emekọ ihe, ihe ọ hụru ya jiri isi ya buru. Ụlọọrụ Chinmark Group dịka ha siri kọwa na websaiti ha bụ ụlọọrụ nwere ọtụtụ alaka nke gụnyere ewumewu ụlọ (Chinmark Homes and Shelter) ọrụugbo ( Chinmark Farms, njem (Chinmark Rides), erimeri(Chinmark Restaurant & Foods services) wdgz. Isiụlọọrụ ahụ dị na 162 Ogui Road, Enugwu. Udiri ihe a ometụla mbụ na Naịjiria? Ihe na-eme n'ụlọ ọrụ Chinmark ugbua yitere atụmaatụ MMM nke a na-akpọ ""Mavrodi Mundial Moneybox"" na bekee. Ndị nwe atụmaatụ a kwuru na ha ji ya enyere ndị mmadụ aka  mana ụlọakụ ukwu (Central Bank of Nigeria) gọọmenti Naịjirịa dọrọ ndị mmadụ aka na ntị ka ha gbara ya bụ atụmaatụ ọsọ. N'ọnwa Aprelu nke afọ 2018 ka ndị nwe ya bụ atụmaatụ gwara ndị mmadụ na ha gbachiri ọnụ ụzọ ha maka onyeisi ha bụ Sergie Mavrodi anwụọla. Ọtụtụ ndị mmadụ si mba Ghana, Kenya nakwa Naijirịa tufuru ọtụtụ ego mgbe aka bidoro gbajiwe atụmaatụ a n'afọ 2016."
