category	headline	text
business	Ko kun san bashin da ake bin ku a matsayinku na 'yan Najeriya?	Latsa hoton sama domin kallon bidiyon: Shugaban Najeriya Muhammadu Buhari na Najeriya ya nemi majalisa ta ba shi dama ya ranto bashin kusan Tiriliyan biyu. Shugaban na neman damar rancen ne domin domin cike gibin kasafin kudin kasar na shekarar 2021. A Maris din 2021 ne Ofishin Kula da Basussuka na Najeriya DMO  bayyana cewa bashin da ake bin kasar ya kai naira tiriliyan 32.915 daga ƙarshen watan Disamban 2020. Ofishin ya ce sabon bashin da Shugaba Muhammadu Buhari zai karɓo zai sa bashin da ake bin kasar ya kai naira tiriliyan 36.3.
business	Yadda ake shirin farfaɗo da sufurin motocin bas a Abuja	Yayin da babban birnin tarayyar Najeriya Abuja ke ci gaba da bunkasa da mutane, wata matsala da ake fuskanta a birnin ita ce ta sufuri musamman na motocin haya. Sufuri a birnin dai na da matukar muhimmanci saboda yawan ma’aikatan da ake da su kama daga na gwamnati da ma na kamfanonin masu zaman kansu, wannan ne ya sa sufuri ke da muhimmancin gaske a Abuja. Bisa la’akari da muhimmancin na sa ne hukumar babban birnin tarayyar, ta karfafa wa kamfaninta na harkokin kasuwanci da masana'antu da sauransu, wato Abuja Investment Company Limited, gwiwa a kan ya farfado da kamfaninsa na motocin sufuri, ta yadda zai rika gudanar da harkokin sufuri a yankin babban birnin tarayyar yadda kamata, kuma da inganci. Abubakar Maina Sadiq, shi ne babban jami'in kamfanin harkokin kasuwanci da masana'antun na Abuja, ya shaida wa BBC cewa bisa la’akari da muhimmancin sufuri a birnin, ya sa aka fara tunanin farfado da kamfanin sufurin. Ya ce haka ne  ya sa a yanzu suka fara bincike domin  gano yawan mutanen da ke birnin da kuma matsalolin da shi kansa sufurin ke fuskanta wajen gudanar da ayyukansa. Jami’in ya ce za su kuma duba layuka da manyan hanyoyin da ke cikin Abuja, don gano inda jama’a suka fi yawa musamman wadanda ke bukatar motocin sufuri don zirga-zirgarsu ta yau da kullum. Ya ce yawancin motocin sufurin da ke zirga-zirga a Abuja manya ne, to yawanci rashin hanyoyin da za su rinka bi na da ga cikin abin da ke durkusar da harkar. Abubakar Maina Sadik ya ce “A yanzu suna nazari a kan yadda za a warewa su kansu motocin hanyoyin da za su rinka bi, da kuma tashoshin da za su rinka tsayawa.” Jami’in ya ce yawanci talakawa ko kuma wadanda ba su da abin hawa ne suka fi amfani da motocin sufuri, kuma sune suka fi yawa a birnin, shi ya sa ake son farfado da harkar sufurin sosai don taimakawa mutane. Abubakar Maina Sadik, ya ce idan har ana so a samu nasara wajen farfado da wannan bangare a Abujan, dole sai na samar wa da irin motocin da ke zirga zirga a birnin titunan da za su rinka bi kasancewar su manya ne. Sannan kuma a janyo masu zuba jari su shiga cikin harkar ta sufuri sai abin ya fi tafiya yadda ake so. Ya ce, suna kuma duba yiwuwar kawo mtocin sufuri na zamani wanda ba sa amfani su dizel. Jami’in ya ce tuni shirye-shirye suka yi nisa na fara inganta harkar sufurin a Abuja kuma nan ba da jimawa ba za a fara ganin canji. A﻿na hasashen yawancin rabin ma'aikatan da ke birnin tarayyar ba a cikinsa suke zaune ba, su na zama a unguwanni da garuruwan da ke wajen birnin Abuja, har da jihohi makofta saboda tsadar gidan haya.
business	Taron G7: Mene ne taron, kuma me ya sa ake yin sa a Cornwall?	"Shugabannin kasashen duniya ciki har da na Amurka Joe Biden da shugabar Jamus Angela Merkel, za su yi wata ganawa a London ranar Juma'a 11 ga watan Yuni. Taron na kasashe bakwai mafiya karfin tattalin arziki da ake kira G7 a takaice, zai kasance ido da ido. Menene G7? Kungiyar ta G7 dai ta kunshi manyan kasashe 7 na duniya da suka fi karfin tattalin arziki, da suka hada da Canada, da Faransa, da Jamus da Italiya da Birtaniya da Amurka da kuma Japan. Rasha ta sake shiga kungiyar a shekarar 1998, abin da ya sa ta zama G8, sai dai daga bisani an sake cire ta a shekarar 2015, saboda kwace iko da yankin Crimea. Ƙasar China ba ta taba kasancewa mamba a kungiyar ba, duk da karfin tattalin arzikinta, da kuma yawan jama'ar da ubangiji ya huwace mata. Kasashen na da ra'ayin cewa arzikin daidaikun 'yan kasar bai kai yadda za a kira ta a matsayin wadda ta dace ta shiga sahunsu don hada kafada da kafada ba. Akwai wakilan kungiyar Tarayyar Turai da ke halarta taro, baya ga kasashen Indiya, da Koriya ta kudu da Australia, wadanda dukkansu aka gayyace su a bana Me ya sa za a yi taron a Cornwall? Kasar Birtaniya ce ke rike da shugabancin kungiyar G7 a shekarar 2021 kuma ta sanar a watan Janairu cewa taron zai gudana a Otal din Carbis Bay. Ana ganin yankin a matsayin tsakiyar cibiyar fasahar kere-kere ta Birtaniya. Nuna alamun kere-keren kuma na da muhimmanci ga gwamnati gabanin taron sauyin yanayi na COP26 a Glasgow a watan Nuwamba. Ba wannan ba ne karon farko da shugabannin duniya ke haduwa a gabar teku. Taron G7 na ƙarshe a cikin 2019 an gudanar da shi a garin Biarritz da ke gabar tekun Faransa. To sai dai taron zai shafi rayuwar yau da kullun ga mazauna garin da masu yawon bude ido a cikin Cornwall, saboda za a rufe hanyoyi don tabbatar da tsaro. Gwamnatin Burtaniya ta ce yana da mahimmanci shugabannin duniya su hadu da kansu kuma za a yi gwajin korona a kai a kai. Me G7 ke yi? A cikin shekara guda ministoci da jami'ai daga ƙasashe membobin kungiyar na yin tarurruka, da kulla yarjejeniyoyi da buga bayanan haɗin gwiwa kan al'amuran duniya. Ministocin kudi na kasashen sun yi taro a London, don tattaunawa kan yiwuwar sanya haraji kan manyan kamfanonin fasahar zamani da kuma daukar mataki kan canjin yanayi. Babban taron shi ne taron shekara-shekara inda shugabannin kasashen ke zama don tattaunawa game da manyan batutuwa a ranar. An soke taron na shekarar da ta gabata, wanda ya kamata Shugaba Donald Trump ya jagoranta saboda annobar korona. Shekarar ce kuma ta zamo shekara ta farko da ba a gudanar da irin wannan taro ba tun bayan kafa kungiyar da aka yi a shekarar 1975. Me zai faru a taron kolin na bana? Babban batun da tattaunawar za ta mayar da hankali a kai dai shi ne duba yadda za a farfado da harkokin da annobar korona ta durkusar, kamar bangaren lafiya da kuma kare aukuwar wata annoba a nan gaba. Har ila yau ajandar ta kunshi matsalar canjin yanayi da kasuwanci. Shugabannin za su isa Landan ranar Juma'a 11 ga Yuni kuma tarurruka za su fara washegari, tare da ƙasashen baƙi waɗanda za su zo a wannan yammacin. Yawancin tattaunawar dai ana yinta ne cikin sirri, amma akwai lokutan da ake yi a bayyana a gaban yan jarida, baya ga daukar hoto da shugabannin ke yia tare. A karshen taron, Burtaniya a matsayinta na kasar da za ta karbi bakuncin  za ta wallafa wata takardar sanarwar hadin guiwa, wannan ce ke nuna abin da shugabannin suka yi yarjejeniya a kai. Ana sa ran Firaiministan Birtaniya Boris Johnson zai yi wani taron manema labarai a ranar Lahadi. Shin za a yi zanga-zanga ? Zanga-zanga a wannan lokacin abu ne mai wahala, saboda sauye sauyen da aka kawo sakamakon zuwan annobar korona. 'Yan sanda sun yi hayar jirgin ruwan yawo don taimaka wa jami'an yan sandan wajen fiye da 5,000  da za su yi aikin bayar da kariya a wajen. An gaya wa masu zanga-zangar cewa za su iya taruwa a wuraren da aka amince da zanga-zangar guda hudu, ciki har da daya a Exeter sama da mil 100 daga inda ake taron. 'Yan sanda sun ce ""ba za su yi kwance da sirdi, bisa tunanin cewa duk wata zanga-zanga za ta gudana ne kawai a wadannan wurare hudu ba"". Kungiyar masu rajin kare muhalli ta ce tana sa ran mutane 1,000 a zanga-zangar da za su yi a Cornwal. Shin G7 na da wani iko? Ba za ta iya fitar da kowace doka ba saboda ta ƙunshi ƙasashe daban-daban tare da tsarin dimokiradiyya na kansu. Sannan wasu matakan na iya shafar duniya ne baki daya. Misali, kungiyar G7 ta taka muhimmiyar rawa wajen kafa asusun duniya don yaki da zazzabin cizon sauro da Cutar Aids a 2002. An sha caccakar G7 din da cewa tsare tsarenta basu dace da zamani ba, musamman rashin sanya China da Indiya da suka fi yawan jama'a a duniya a cikinta. Ko a shekarar 2020 sai da shugaban Amurka Donald Trump ya kira ƙungiyar a matsayin wadda ta tara 'yar gargajiya' a cikinta."
business	Najeriya na yunkurin hana shiga da abincin waje kasar	"Shugaban Najeriya Muhammadu Buhari ya umarci Babban Bankin kasar da ya daina bai wa masu shigo da abinci kasar kudaden kasar waje a wani mataki na bunkasa harkar noma. Ya ce kamata ya yi a adana kudaden da ke asusun kasar na kasashen ketare domin amfani da su wurin fadada tattalin arzikin kasar ""maimakon daure wa masu shigo da abinci daga kasashen waje gindi."" ""Ka da ku bayar da ko taro ga mutanen da ke son shigo da abinci kasar nan,"" kamar yadda mai magana da yawunsa ya ambato shi yana cewa a lokacin wani taro da wasu gwamnonin kasar a mahaifarsa ta Daura ranar Talata. Tattalin arzikin Najeriya shi ne mafi girma a nahiyar Afirka amma tana shigo da abinci mai yawa daga kasashen ketare domin ciyar da jama'arta. Shugaba Buhari, wanda ya lashe zabe karo na biyu a farkon bana, ya yi alkawarin bunkasa tattalin arzikin kasar, wanda ya shiga halin La-haula a wa'adin mulkinsa na farko. Najeriya ce kasar da ta fi kowacce hako danyen mai a Afirka kuma kudaden da ke fitowa daga fannin su ne kashin-bayan tattalin arzikinta. Sai dai kaso mai tsoka na tafiya ne a tallafin shigo da abinci da sauran kayan bukata na yau da kullum da kuma manyan injina. Hukumar Kididdiga ta kasar (NBC), ta ce a watanni ukun farko na bara, kasar ta kashe dala miliyan 503 wurin shigo da kayan abinci. Sai dai wannan adadin ya karu da kashi 25.84 a watanni ukun farko na bana. A wa'adin mulkinsa na farko, Shugaba Buhari ya dakatar da shiga da shinkafa ta iyakokin kasar na tudu da kuma hana masu shigo da ita samun kudaden kasashen waje daga gwamnati. Matakin dai wani yunkuri ne na bunkasa noma a kasar, sai dai kuma hakan ya sa kasuwar masu fasa-kwauri ta bude a wasu iyakokin kasar. Makwanni biyu da suka wuce ma babban bankin ya daina sayar wa da masu shigo da madara da sauran nau'ikanta kudaden waje, yana mai cewa akwai bukatar a bunkasa kamfanonin da ke samar da ita a cikin gida. Bankin dai yana zaman kansa ne, a don haka za a zuba ido a ga yadda zai tunkari umarnin shugaban. Idan har ya amince da umarnin, to akwai yiwuwar farashin abinci ya karu saboda masu shigo da shi za su koma sayen kudaden waje a kasuwannin bayan fage, inda suke da tsada fiye da farashin hukuma. Wasu 'yan Najeriya da dama sun dora alhakin matsin tattalin arzikin da aka samu a wa'adin farko na shugaban kan wasu matakai da ya dauka da suka shafi kasuwar musayar kudi. Sai dai wasu sun yaba masa suna masu cewa ta haka ne kawai za a bunkasa kamfanoni da kuma karfafa gwiwar 'yan kasuwa na cikin gida."
business	Abin da ya sa sojojin Faransa suka bar Mali da abin da zai samu nahiyar bayan haka	"Shugaba Emmanuel Macron ya sanar da cewa zai janye dakarun Faransa daga kasar Mali, inda suke fafatawa da mayaka masu tsattsauran ra'ayin addinin Islama tun a shekarar 2013. Akwai dakarun Faransa 5,000 a kasar ta Mali da kuma kasashen da ke kewaye da ita, suna fafatawa da kungiyoyi kamar su -Qaeda da kuma IS. Amma a cikin sama da shekaru takwas, kasancewar Faransa ya kara rashin tagomashi a tsakanin gwamnati da 'yan kasar. Duka kungiyoyin IS da na al-Qaeda sun yanke shawarar mayar da hankulasu kan yankin Sahel na Afirka, bayan da aka gasa musu aya a hannu a yankin Gabas ta Tsakiya. Sahel zirin yanki ne mai yanay da ke karkashin Hamadar Sahara da ya mike zuwa fadin nahiya daga- gabashi -zuwa -yammaci. Ya hada da bangaren kasashen Chadi,da Nijar, da Mali, da Burkina Faso da kuma Mauritania. Kungiyar Kasar Musulunci da ke yankin Sahara (ISGS) da kuma bangaren kungiyar al-Qaeda da ake kira Jamaat Nusrat al-Islam wal-Muslimin (JNIM), sun kai hare -haren ta'addanci a yankin wanda ya hallaka dubban mutane, tare da haddasa rasa matsugunan sauran daruruwan mutane, da kuma rufe makarantu. Akwai sauran kungiyoyin masu jihadi biyu da ke cigaba da kai hare-hare a yankin na Sahel: Ansaroul Islam da Boko Haram. Me yasa Faransa ta shigo ciki? A shekarar 2013, Faransa ta aike da dakaru 5,000 zuwa kasar Mali a bisa amincewar gwamnati saboda suna fuskantar hare-haren 'yan tawaye masu rike da makamai. Bayan hambararwa tare da kashe shugaban kasar Libya Muammar Gaddafi, Buzaye sojojin hayar da suka dade suna taya shi yakin suka koma gida Mali tare da jajircewa kan neman 'yancin cin gashin kan arewacin kasar. Tare da yin amfani da makaman Gaddafi, sun hada kawance da kungiyar da ke da alaka da al-Qaeda. Sun kuma karbe ikon arewacin tare da barazanar karbe ikon daukacin kasar. Faransa ce ta mulki kasar Mali har ya zuwa shekarar 1960. Gwamnatin kasar Faransa ta ce tana bukatar ganin ta kare al'ummar kasar Mali da kuma 'yan kasar Faransar 6,000 da ke zaune a can. Daga cikin wadancan dakaru, an kai 2,400 zuwa arewacin Mali; sauran kuma sun rika amfani da jiarge marasa matuka da jirage masu saukar angulu wajen farautar sansanonin mayaka masu jihadin da ke kai hare-hare a yankin Sahel. Akwai kuma dakarun wanzar da zaman lafiya na Majalisar Dinkin Duniya 14,000 da ke aiki tare da dakarun gwamnati, suna sintiri a fadin hamadar yankin Sahel. Lokacin da dakarun Faransa suka isa kasar Mali a karon farko shekaru tara da suka gabata, sun samu kyakkawar tarba, amma tuni angantakar ta yi tsami. Adadin kai hare-hare a kasar sun karu matuka, haka ma yawan 'yan kasar Mali da ke shiga kungiyoyin masu tayar da kayar baya. A cikin shekaru tara da suka gabata, barazanar hare -haren mayaka masu tsattsuaran ra'ayin addinin Islama ya kuma bazu zuwa sauran kasashe kamar su Burkina Faso da Nijar, inda wasu mau tayar da kayar bayan ke kai samame a yankin daga sansanoninsu a cikin Hamadar Sahara. Mazauna yankin da dana da ganin cewa kamata ya yi Faransa a matsayinta na kasar da ta cigaba a karfin soji, a ce ta iya shawo kan matsalar ta'addanci kana cewa ta fice daga kasar idan ba za ta iya ba. Wasu sun yi kiran zaman dakarun kasar da ta mulke su, a matsayin ''kama-wuri-zauna'' Akwai kuma kace-nace tsakanin gwamnatin Faransa da tawagar sojin ta ta karbe mulki a watan Agustar shekarar 2020 - karo na biyu da aka hambarar da gwamnatin farar hula a cikin shekaru takwas. Rundunar sojin ta sake dawowa da yarjejeniyar gudanar da zabuka a cikin wannan wat ana Fabrairu kana ta ce za ta cigaba da mulki har ya zuwa shekarar 2025. A lokacin da Jakanadan kasar Faransa yan una adawa da hakan ne aka kore shi. Shugaba Macron ya ce: ""Ba za mu cigaba da kasancewa cikin aikin soji tare da haramtattun hukumomin da tunani da tsarinmu ba iri daya ba. Faransa ta ki ta amince da zaman tattaunawar zaman lafiya da kungiyoyin masu tsattsauran ra'ayin addinin Islama, wanda manufa ce da 'yan kasar Mali da dama ke goyon baya. Faransar ta kuma nuna fushinta kan matakin sojojin juyin mulki na gayyatar sojojin haya daga kamfanin Wagner na kasar Russia, don taimakawa wajen yaki da kungiyoyi masu jihadi. Minsitar harkokin sojin kasar Faransa Florence Parly ta bayyana cewa ''za za mu iya mu'amala da sojojin haka ba''. Za a janye dakarun kasar Faransa da ke aiki a rundunar Operation Barkhane nan da watanni hudu masu zuwa. Faransa za ta aike da dakaru a sauran kasahen yankin Sahel, tare da dakarun sauran kasashen Turai, da ke aiki da rundunar Takuba. Kasashen da ke cikin tafiyar sun ce za su bullo da tsare-tsare kan yadda za su rika aiki a yankin na gaba. Gwamnatocin kasashe makwabta sun damu matuka cewa janyewar Faransa daga kasar Mali ka iya haifar da karin tashen-tashen hankula a yankin. Shugaban kasar Ivory Coast Alassane Ouattara ya yi gargadin cewa hakan zai haifar da gibin siyasa. ""Zai zama wajibi mu kara yawan dakarunmu, tare da kara kare kan iyakokinmuu, ya ce. Shugaban kasar Ghana Nana Akufo-Addo ya yi kira ga Majalisar Dinkin Duniya da ta bar dakarunta na wanzar da zaman lafiya a cikin kasar Mali duk kuwa da ficewar kasar Faransa. Wasu 'yan kasar Mali sun yi lale marhabun da zuwan rundunar sojojin haya na kamfanin Wagner, da suke kallonta a matsayin 'yan ba ruwanmu. Amma kuma, kasashen Yammaci da dama sun nuna rashin yarda da ita, kana sun zargi gwamnatin kasar Russia da taimaka mata cin galabar aikinta a kasar ta Mali. Kamfani Wagner ya dade yana gudanar da aiki a sauran kasashen Afirka da dama, da suka hada da Mozambique, da Sudan da Jamhuriyra Tsakiyar Afirka. Ana kuma danganta ta da aikata laifukan yaki a yakin basasar kasar Libya."
entertainment	Dangantakar Sarauniya Elizabeth II da Afirka	A﻿ ranar 8 ga watan Satumban 2022 ne Fadar Buckigham ta sanar da rasuwar Sarauniya Izabel ta Ingila. A﻿ cikin jerin rahotannin da BBC ke fitarwa don waiwaye kan rayuwarta, wannan bidiyo ya yi duba ne a kan ziyarar da ta kai wasu ƙsashen Afirka tun zamanin da take Gimbiya.
entertainment	Ana takaddama tsakanin Baban Chinedu da hukumar fina-finai ta Kano kan marigayi Ibro	"Wata sabuwar takaddama ta kunno kai tsakanin shugaban hukumar tace fina-finai ta jihar Kano da kuma jarumin fina-finan Kannywood, Yusuf Haruna, wanda aka fi sani da Baban Chinedu. Takaddamar ta samo asali ne bayan da aka aike wa Baban Chinedu wata takarda a kan wani bidiyo da ya wallafa a shafinsa na Instagram yana zargin cewa gwamnatin Kano ta bai wa shugaban hukumar tace fina-finan N5m domin mika su ga iyalan marigayi Rabilu Musa Ibro. Baban Chinedu dai makusancin Ibro ne,  kuma ya ce gwamnatin Abdullahi Umar Ganduje ta bai wa Isma'il Na'abba Afakallah kudin ne a matsayin gudunmuwar bikin 'yar gidan marigayi Ibro kusan shekaru biyu da suka wuce. Lauyoyin Malam Afakalla ne suka aike wa Baban Chinedu takardar inda suka nemi  ya janye kalaman da ya yi a bidiyon ko kuma a gurfanar da shi a gaban kuliya. Lauyan Afakallah, Barista Abdullahi Musa Karaye, ya shaida wa BBC cewa duk abin da Baban Chinedu ya fada a cikin bidiyon ba gaskiya ba ne. Ya kara da cewa ya wallafa bidiyon ne da zummar bata sunan shugaban hukumar tace fina-finan. Amma Baban Chinedu ya shaida wa BBC cewa ""Ba zan janye kalaman da na yi ba, kuma ina da hujjojin da na dogara da su kan zargin da nake yi wa Afakallahu ya karbi kudi."" Baban Chinedu ya ce ""Bashi aka sa iyalan  Ibro suka karbo na kayan dakin da suka kai N700,000 ga shi tsawon shekara biyu shiru ba wani bayani, sai daga baya ne iyalan marigayin suka sayar da wani gidan gado sannan suka biya masu kayan kudin."" Ya kara da cewa: ""Ko da na yi wa Afakallah tuni kan batun kudin, sai ya ce takardar amincewar gwamna a biya kudin na dab da fitowa, amma shiru kake ji kamar an aiki bawa garinsu."" Afakallah ya ba wa Baban Chinedu awa ashirin da hudu da ya janye kalaman nasa, sannan ya bayar da hakuri idan bai yi haka ba zai gurfanar da shi a gaban kuliya."
entertainment	...Daga Bakin Mai Ita Tare da Azeema ta Gidan Badamasi	Ku latsa hoton da ke sama don kallon bidiyon: Daga bakin mai ita wani shiri ne na BBC Hausa da ke kawo muku hira da fitattun mutane kan wasu abubuwan da suka shafi rayuwarsu zallah. A wannan kashi na 37, shirin ya tattauna da 'yar fim Azeema ta shirin Gidan Badamasi, inda ta amsa tambayoyin da suka shafi rayuwarta. Ta amsa tambayoyi a kan yadda aka yi ta shiga harkar fim da tasirin da mahaifiyarta a kanta. Ɗaukar bidiyo: Yusuf Yakasai Tacewa: Fatima Othman
entertainment	Tunawa da Gimbiya Diana shekara 25 bayan rasuwarta	"Ana yi wa Diana, tsohuwar gimbiya a masarautar Birtaniya laƙabi da ""wacce ta fi kowa yawan ɗaukar hoto a duniya."" A yayin da take cika shekara 25 da mutuwa, mun yi waiwaye kan rayuwarta a cikin hotuna, ta hanyar zaƙulo wasu hotunanta masu ban sha'awa. An haifi Diana Frances Spencer ranar 1 ga watan Yulin 1961 a Park House kusa da Sandringham, Norfolk, Ingila. Ita ce ƙaramar ƴar Viscount and Viscountess Althorp. Bayan mutuwar auren iyayenta a shekarar 1969, tana yawan yin tafiye-tafiye tsakanin gidajen iyayen biyu a Northamptonshire da Scotland. Diana ta yi karatun firamarenta a makarantar Riddlesworth Hall a Diss da ke Norfolk, sannan daga bisani ta koma makarantar kwana ta West Heath a kusa da Sevenoaks a Kent a 1974. Ta bar West Heath a 1977 sannan ta wuce makarantar Institut Alpin Videmanette da ke Rougemont a Switzerland, inda ta bari a shekarar 1978. Bayan kammala karatunta sai ta fara aiki a Landan, da farko a matsayin mai renon yara, da aikin girki, daga bisani kuma ta koma aiki wata kamarantar yara ta Young England Kindergarten da ke Knightsbridge a Landan. An fara yaɗa jita-jitar cewa ta zama budurwar Yariman Wales. A wannan gaɓar ne idanun duniya da na kafafen yaɗa labarai suka koma kanta. A ranar 24 ga watan Fabrairun 1981 ne aka sanar da baikon Yarima Charles da Lady Diana Spencer a Fadar Buckingham. A wancan lokacin an kashe fam 30,000, (wato daidai da fam 36,000 na yanzu) da kuma tsadadden zobe mai daiman 14 a jikinsa. An yi ta zancen zoben baikon nata saboda tsadarsa kuma a yanzu Catherine, Duchess ta Cambridge ce ke amfani da shi. An yi wa auren nasu laƙabi da ""bikin da ya fi kowane a ƙarnin"", an ɗaura auren Lady Diana da Yarima Charles a Mujami'ar St Paul Cathedral ranar 29 ga watan Yulin 1981, aka kuma watsa shi kai tsaye a talabijin, inda miliyoyin mutane daga faɗin duniya suka kalla. A matsayinta na ƴar shekara 20 a lokacin, babu abin da ya rikitata sai sanda za ta faɗi jerin sunayen mijin nata. Mahaifinta Earl Spencer ne ya yi mata rakiya zuwa dandamalin da aka ɗaura auren. Rigar aurenta wacce David da Elizabeth Emanuel suka ɗinka tana da tsayin kamu 25 kuma an yi ta da wani tsadadden leshi ne. Mutum 600,000 ne suka yi dafifi a hanyar zuwa cocin daga Fadar Buckingham don kallon wucewar ango da amaryar. Ma'auratan sun yi ta ɗagawa cincirindon mutanen hannu daga saman benen fadar (kamar yadda ake iya gani a hoton nan na sama) tare da ƴan yara da suka yi mata ƴan amarya da kuma Gimbiya Elizabeth II. Diana ta daɗe tana fatan yin aure a babban gida. A cikin shekara ɗayar farko ta aurenta ne ta haifi ɗanta na fari ranar 21 ga watan Yunin 1982, Prince William, wanda shi ne na biyu a jerin wadanda za su iya gadar sarautar. Ta yi wa ƴaƴanta tarbiyya bisa irin tsarin da masarauta ta yarda da shi. A ranar 15 ga watan Satumban 1984 ne aka haifar wa William ƙani. An saka masa suna Henry, amma an fi saninsa da Yarima Harry. Ba a ɗaukarwa jikokin gidan sarautar malamai na musamman don koyar da su ba, an saka su ne a makarantun da sauran yara ke zuwa. Diana ta zama abar so a wajen ƴaƴanta maza biyu. Prince Harry ya ce Diana ta kasance ""ɗaya daga cikin iyaye marasa dattako"", kafin ya ƙara da cewa: ""Ta nuna mana soyayya, wannan kam babu haufi a ciki."" A ziyararta ta farko zuwa Amurka, gimbiyar ta yi rawa da wani ɗan fim John Travolta a Fadar White House. Diana ta ci gaba da yin fice da suna. Ta fara jan hankalin mutane da irin adonta, inda aka dinga mayar da hankali kan suturar ƙawa da take sakawa. An yi ta ganinta a al'amuran da suka shafi aiki a hukumance, kuma ayyukan jin ƙan da ta dinga yi sun jawo mata soyayyar mutane da kuma mamaye kanun labarai a faɗin duniya. Ta taka muhimmiyar rawa wajen dinga nuna muhimmancin mutanen da ke fama da cutar Aids. Jawabanta sun dinga ƙalubalantar halayyar nuna bambanci. Shan hannun da ta dinga yi da masu ɗauke da cutar Aids ya tabbatarwa da mutane cewa babu wata illa a yin hakan. Yarima da Gimbiyar Wales sun sha aiwatar da wasu al'amura tare kuma sun yi tafiye-tafiye tare. Sai dai a shekarun 1980 an fahinci irin zaman doya da manjar da suka fara yi. Wata tafiya da suka yi zuwa Indiya a 1992, an ga Diana ita kadai ta yi hoto zaune a gaban ginin Taj Mahal, ginin da ake alaƙantawa da soyayya. Hakan ya nuna cewa duk da ma'auratan suna tare, amma zaman doya da manja ake yi. A tsawon rayuwarta, Diana ta kasance tana da kyakkyawar alaƙa da Mother Teresa, wata fitacciyar malamar addinin Kirista ta ɗarikar Katolika. Tsakanin mituwarsu kwana shida ne kacal. Bayan shafe shekara shida ana zaman ƴar marina, a ƙarshe dai a ranar 28 ga watan Agustan 1996 sai Charles ya saki Diana. A watan Yunin shekarar da ta biyo bayan hakan ne ta yi gwanjon rigunanta 79 da aka tallata a shafukan farko na wasu mujallu a faɗin duniya. An sayar da kayan dala miliyan 4.5 aka kuma yi amfani da kuɗin wajen ayyukan jin ƙai. A ranar 31 ga watan Agustan 1997, bayan kammala cin abincin dare a Ritz Paris tare da Dodi Al Fayed, ɗan hamshaƙin attajirin nan Mohamed Al Fayed, sai suka bar wajen cin abincin tare a motar limozin. Masu ɗaukar hoto sun yi ta bin su a kan babura don son ɗaukar hoton gimbiyar da sabon saurayinta. Rububin bin nasu ya yi sanadin da suka yi mummunan hatsari a wani titin ƙarƙashin gada. Fiye da mutum miliyan ɗaya ne suka jeru a layi reras a hanyar zuwa wajen jana'izar zuwa Westminster Abbey. Kamar yadda ake gani a hoton da ke sama akwatin gawarta ne ake ɗauke da shi sai masu biye da gawar mijinta Yarima Charles da ƙaramin ɗantaYarima Harry mai shekara 12 a lokacin da ɗan uwanta Earl Spencer, da babban danta Yarima William da kuma Duke na Edinburgh. Shekara 25 bayan rasuwarta, har yanzu ana tunawa da ita cikin shauƙi a fadin duniya."
entertainment	Ibrahim Maishunku ya tsallake rijiya da baya a wajen ƴan fashi a hanyar Kaduna-Abuja	"Fittacen jarumin fina-finan Kannywood Ibrahim Maishunku ya ce ya tsallake rijiya da baya a hannun ƴan fashi masu satar mutane. Jarumin ya bayyana halin da ya shiga da shi da wasu abokanansa a shafinsa na Instagram inda ya bayyana cewa a makon da ya gabata sun gamu da ɓarayi a kan hanyarsu daga Abuja zuwa Kaduna. Maishunku ya ce ɓarayin sun shafe minti 30 suna ɓarin wuta inda suka kashe mutum 10 tare da yin awon gaba da mutum 15. ""Sun kuma yi awon gaba da abokina kuma ɗan uwa Abdullahi Abubakar Wali shugaban ƙungiyar matasa ta NYO,"" in ji shi. Jarumin ya ce lamarin ya faru ne misalin ƙarfe 7:16 na dare. Kafin sanar da abin da ya faru da shi, Maishunku ya jefa mabiyansa cikin shakku bayan ya wallafa hoto a Instagram da ke nuna alamun tashin hankali tare da rubuta ""Innalillahi wa'inna ilaihirraju'un."" Amma a saƙon da ya wallafa daga baya ya ce bai yi niyyar faɗin abin da ya same shi ba. ""Amma dole na fada domin neman addu'ar ƴan uwa,"" a cewarsa. Jarumin ya yi wa abokinsa addu'ar Allah ya kuɓutar da shi tare da cewa ɓarayin sun buƙaci a biya su kuɗi. Hanyar Kaduna zuwa Abuja ta shahara sosai wajen fama da matsalar tsaro na satar mutane don neman kuɗn fansa."
