category	headline	text
business	FTX former boss Bankman-Fried say  e no try 'commit fraud'	"Story by Ben Derico & James Clayton BBC News, San Francisco Sam Bankman-Fried, di former boss of collapsed cryptocurrency exchange FTX, say im no move any personal money out of FTX imsef. Di man wey pipo once hail as di 'King of Crypto'  add say presently now, e dey left with ""close to nothing."" Oga Bankman-Fried also deny committing fraud. During im first public appearance since di collapse, Bankman-Fried tell di New York Times say e get ""bad month"" and get almost no money wey remain. FTX fall apart last month, afta dem bin dey valued at $32bn (£26.5bn). Many investors no dey able to withdraw dia funds from di global exchange wey now dey bankrupt. Bankman-Fried wey be 30 years old, also tok say im lawyers don advise am not to speak publicly, but e ignore dem. Speaking from di Bahamas, e tok say im get one credit card remaining wey get around $100,000 of debt inside. For di interview e tok say im no deliberately mislead investors, adding say: ""I no ever try to commit fraud."" However, wen dem ask am plenti times about details of money movements between FTX and oda entities, including di trading firm wey im own, Alameda Research, im at times no too dey clear in detail. E also tok say di company bin put body for ""greenwashing"" where firms dey engage in environmental projects for publicity. Plenti pipo bin see Bankman-Fried as a young version of legendary US investor Warren Buffet, and as recently as late October im get net worth wey dem estimate at more than $15bn. However, e tok say, e underestimate di sheer amount of cash wey dem need to cover FTX customers' withdrawals - leading to a run on di exchange. Many crypto firms don try struggle with di downturn for di broader economy and as concerns dey ground about di viability of crypto currencies. FTX declare bankruptcy soon afta Bankman-Fried step down as CEO on 11 November. According to one court filing earlier dis month, FTX currently dey owe dia 50 largest creditors almost $3.1bn. Bankman-Fried don become well known for Washington DC as political donor, supposedly supporting pandemic prevention and improve crypto regulation. But for im tok with Times reporter Andrew Ross Sorkin, Bankman-Fried confess say much of im Washington DC work don be PR ""masquerading as do-gooderism."" Bankman-Fried tok say for now e no dey concerned about potential criminal or civil liability. ""Time and place go dey for me to think about mysef and my own future,"" e tok afta starting and stopping several times. ""I no think say dis na di time."" Wen dem ask am if e dey truthful for im responses, Bankman-Fried tok say e dey as truthful as e knowledgeably fit be. ""I no know of times wen I lie,"" e tok. Though e no provide evidence to support am, SBF tok say e believe FTX US bin dey kampe and fit in fact pay back American investors."
business	Gas prices increase as Russia cut German supply	"Gas prices don increas afta Russia further cut gas supplies to Germany and oda central European kontries afta dem draw ear wit warning say dem go do am early dis week. Europe gas prices dey up by like 2% trading above one earlier all-time high afta Russia invade Ukraine. Critics accuse di Russian goment say dem dey gas as political weapon. Russia don dey cut flows through di Nord Stream 1 pipeline to Germany, and now e dey operate at less dan a fifth of dia normal capacity. Germany dey import 55% of im gas from Russia and most of am dey come thru Nord Stream 1 - with di rest coming from land-based pipelines. Russian energy firm, Gazprom dey try justify di latest cut by say dem need am to allow maintenance work on one turbine. Di German goment, however, tok say no technical reason for dem to limit di supply. Ukraine dey accuse Moscow say dem dey do ""gas war"" against Europe and to cut supplies dey inflict ""terror"" on pipo. Di UK no dey directly affected by gas supply disruption, as dem dey import less dan 5% of dia gas from Russia. Howeva, dem go dey affected by prices wey dey increase for di global markets as demand for Europe increase. UK gas prices rise 7% on Wednesday so di price now dey more than six times higher than a year ago. However, e still dey well below di peak wey dey notice during di aftermath of Russia invasion of Ukraine. UK energy bills increase by £700 for April, and dey expected to rise again as one management consultancy dey sama warning say typical energy bill fit hit £3,850 a year by January, much higher than wetin dem forecasts early dis month. BFY tok say dia forecast reflect di increase in wholesale prices ova di past few weeks with di ongoing tensions with Russia wey dey increase concerns ova winter supplies. Di latest reduction in flows put pressure on EU kontries to reduce dia dependence on Russian gas even further, and e go likely make am more difficult for dem to refill dia gas supplies ahead of winter. Since di invasion of Ukraine, European leaders don do tok-tok ova how to reduce dia dependence on Russian fossil fuels. On Tuesday, di European Union agree to cut gas use in case Russia stop supplies but some kontries go get exemptions to avoid rationing. EU members now don agree to by demsef to reduce 15% of gas use between August and March. Howeva, di deal dey watered down afta e previously no get exemptions. Di EU don tok say dia aim from di deal na to make savings and store gas ahead of winter, warning say Russia dey ""continuously using energy supplies as a weapon"". Di voluntary agreement go become mandatory if supplies reach crisis levels. Di EU agreed for May to ban all Russian oil imports wey dey come in by sea by di end of dis year, but one deal ova gas ban don take longer. Since Russia invade Ukraine for February di price of wholesale gas don already go up, with serious impact on consumer energy bills across di world. Di Kremlin dey blame di increase in price on Western sanctions, insisting say dem be reliable energy partner and no dey responsible for di recent disruption to gas supplies."
business	Ghana Presidency blow Ghc70 million on foreign trips den ‘item 13’, minority want probe	"Minority for Ghana parliament dey call for probe into how Ghana Presidency blow Ghc70 million on foreign travels, hotel accommodation den item 13 between January den September, 2019. De figures emerge after documents on operations expenses of de Presidency go before Parliament, but some minority members start dey question how dem fit blow that kind of money within 9 months. ""What sort of operational expense be dis? He dey buy new plane from 62.5 million cedis. Refreshment, partying, tea 1.980 almost 2 million Ghana cedis on refreshment. De Vice President en office too be similar. We for demand accountability"" Cassiel Ato Forson explain. But government say de minority dey make noise sake of dem no overspend dema budget for de Chief of Staff office. According to Deputy Chief of Staff, Abu Jinapor ""dis no any leak or something, but e be dem send that document go Parliament for de sake of transparency on how dem spend money for de 2019 period."" ""We do dis to demonstrate to de finance committee say de amount dem approve nu, dem stay within de budget"" Mr Jinapor add. Dem spend Ghc 62 million on foreign travels, Ghc 5.8 million on hotel accommodation den Ghc1.9 million item 13 den stuff. Dis be how some of de operational costs wey de Presidency incur."
business	Budget: Five tins to know about Nigeria 2021 budget of N13.588 trillion wey di senate pass	"Di  two chambers of di Nigeria National Assembly don pass di sum 13.588 trillion Naira as budget for 2021 fiscal year. Dem pass dis budget during dia special plenary ahead of di Christmas and New Year break, as plenary go dey adjourned till 26 January, 2021.For October 8, President Muhammadu Buhari  bin present di first estimate of di 2021 budget of N13.08 trillion to a joint session of di national assembly. Senator Stella Oduah say she dey impressed wella for di way di budget dey focus to address di issue of infrastructure for di kontri. ""...I believe say di Armed Forces, don dey highly considered for dis Budget and if security no dey for dis kontri, di whole of dis budget dey good for nothing."" na wetin Senator Sani Musa tok as dem pass di budget. Di upper chamber of di National  Assembly pass di appropriation bill afta Jibrin Barau, chairman of di committee on appropriation, present dia report for di special session."
business	Coronavirus: ‘Free market dey allow make traders overprice hand sanitizers, despite over 300% increase – Consumer Protection Agency	"Ghanaians dey complain about de sudden increase in cost of hand sanitisers after de country record six cases of coronavirus. Ghana goment impose ban on all public gatherings like conferences, funerals, festivals, political rallies, Church services, Islamic worship for 4 weeks starting Monday, March 16 sake of de outbreak. President Nana Akufo-Addo plus health officials for de country direct citizens, supermarkets, shopping malls, restaurants den stuff say dem for observe enhanced hygiene, ensure regular use of hand sanitizers and running water plus soap for washing of hands. Coronavirus: See how to make your own hand sanitizer After dis announcement, price of sanitisers shoot up across de country. One consumer, Abigail Lamptey talk BBC Pidgin say ""I go ask for small hand sanitiser wey dem dey sell at Ghc3, but now dem dey sell am Ghc15. I ask dem say why, dem say sake of coronavirus"" Another consumer, Sarah talk reveal say ""if you go Kaneshie and Makola markets de Ghc2 sanitisers dey cost Ghc10 now."" Per calculations wey BBC Pidgin make de prices wey retailers charge de two consumers increase by over 300 percent. Dis reality be the same for most parts of de country. Chief Executive of Consumer Protection Agency, Kofi Kapito explain give BBC Pidgin say despite say de price increase no sheda fair, free market dey allow make traders sell like that. ""We dey inside free market, de markets no be regulated by goment. People for use fair judgement but sake of free market e go be very difficult to regulate prices"" ""I be consumer, I no go like many anybody take advantage of me but that be de reality of wanna market"" he add. Ghana record six cases of coronavirus but officials say dem dey work hard to prevent community outbreaks which go be hard to deal with. De country ban all travellers wey visit any country wey kontri wey record at least 200 cases of COVID-19 from entering Ghana unless dem be Ghanaian citizens no go."
entertainment	Victony: Davido, Laycon, odas pray for Victony as di Nigerian rapper wan undergo major surgery afta car crash - See di latest	Nigerian celebrities don start GoFundMe to raise money for rapper Victony wey involve in one major accident on Monday. One Mr Dafe, wey be talent manager, break di news on Tuesday for one series of tweets l, say di incident happun early hours of Monday. Dafe reveal say one pesin - im call Doyin - die for accident and 3 oda pipo seriously wunjure. “Victony was unfortunately severely injured he dey set to undergo a surgery today.” he tok for di tweet. Wit a target of $50,000, friends of Victony don create a GoFundMe account to support im medical bills. “We dey start dis on behalf of Victony wit im family authority. All funds donated to dis course go dey directed into his medical bills, post surgery recovery and therapy. “ dem write as di description under di funding account. As at the early hours of Wednesday 28 April, dem don raise $3550. Celebrities don also react to Victony accident as dem ask for support and also pray for dia colleague. See some of dia reactions: Victony na Nigerian rapper. Im be one of di newest artist for di music industry. Victony real name na Anthony Victor. He dey signed to MainlandBlockParty, one record label owned by Tobi Mohammed. Di musician, also known by fans as di Outlaw King, bin release in debut EP last year, titled ‘Saturn’. He feature popular artiste like Falz di bad guy for di EP. Two days to di accident, im bin just release new music video ‘Euphoria’ wey im collabo sing wit Hoodini, anoda fast rising Nigerian act. .
entertainment	Poco Lee and Portable: Zazu Zeh star settle with Poco Lee and Kogbagidi say na 'promo'- See wetin bin cause di kasala	"Fast rising Nigerian musician, Portable Omolalomi don reunite with dancer, Poco Lee and promoter, Kogbagidi afta e bin rant and accuse Poco Lee for social media. To prove say all dey well, Portable share fotos of imsef togeda with Poco Lee, Kogbagidi and Musician, Olamide wey im dey call e benefactor for im Instagram handle. Also, di Zazoo Zeh star tok for one recent viral video with Poco Lee say everything wey bin happun between both of dem na 'promo oh.' Then Poco Lee reply for di say e no carry 'Potable money oh' contrary to di accuse wey di Zazoo Zeh musician bin accuse am before. But Poco Lee later come share one video of singer Burna Boy as e dey mimic Portable and write say; ""Funny how I gatz to accept wetin no dey true for peace to reign, I show love oooo."" Kogbagidi post for im social media handle with video of dem all say dem be one happy family. ""ONE HAPPY FAMILY: True leaders understand say we become stronger pulling odas up,  Kogbagidi write. ""Big respect and love to di Big Fish for dis game, Olamide and my day one brother Poco Lee , you know I go stand by you , come rain come shine."" ""Time don show you be true leaders . Your son Portable Omolalomi knows better now . E dey ready to learn and tap from your wealth of experience for di industry ."" On Tuesday 21 December, Portable bin share one videos online where e accuse Poco Lee say e dey show am love but e just dey try to cheat am. Portable claim say Poco Lee dey try to steal e 'Zaazoo Zeh' song and hala say di song no belong to Poco Lee E say afta Poco Lee allegedly pick di $3,000 wey Wizkid spray am for stage, e only give am $600 out of di money. Dis accuse come result to serious tok-tok for social media sotey e come make Portable music promoter Kogbagid vex for am. Later dat day, Kogbagidi share video of wen e dey drive portable comot from hotel room and write say:""Unruly and unprofessional conduct dey always expected from upcomings."" ""You never fit tell wetin dey go on for dia mind or head. I dey shock and embarrass at dis point. Do I need to fix your career and your head at di same time? Kogbagidi ask. Afta all di gbas-gbos for social media and reactions from Nigerians, Portable come apologize give e benefactor, Olamide and all di pipo wey im sama accuse give. ""My sincere apologies dey go out to my benefactors Olamide, Poco Lee and Kogbagidi,"" Portable post for e Instagram handle togeda with video. ""I dey di learning process, I know better now . Kindly forgive me and pardon di street in me. Much love and appreciation to all my fans, words cannot express my feelings right now . ""Thanks for di intervention and words of comfort. Now I know say I no dey alone for dis . Love you guys . I no ever let you down again. Expect more from your boy. Zeh nation."" Di latest for di mata be say Portable and Poco Lee togeda with Kogbagid don reunite and settle dia difference afta Olamide chok mouth for di mata. Portable Omolalomi real name na Habeeb Okikiola be rapper, singer and songwriter. Di self-proclaimed Son Of Shaku Shaku, don climb di ranks of di kontri fastest-rising singers. Portable Olalomi come from Ogun State, South West of Nigeria. For one video wey im share for im tiktok page, e tok say na Nigeria rap star, Olamide bring am to limelight. Dem bin also share video of wia im meet wit di Nigeria rap star."
entertainment	Bridgerton Season 2: Regé-Jean Page, di 'Duke of Hastings' no go show for di Netflix series next chapter - See wetin di actor tok	"Bridgerton actor, Rege Jean Sean, don announce im exit from di popular Netflix series on Friday. For im Instagram page, im share a very short post wey im title , ""Di ride of a life time."" ""Na absolute pleasure and privilege to be your Duke. to join dis family - no be just on screen, but off screen too. Our incredibly creative and generous cast, crew, outstanding fans - e dey all beyond anything wetin I fit have imagine. Di love dey real and go just keep growing."" E tok. Bridegerton on Netflix also confam di exit of Rege-jean Page , wey play di role of Simon, di Duke of Hastings for di feem. ""We go miss Simon presence on screen"", dem tok. ""Daphne go remain a devoted wife and Sister, she go help her brother navigate di upcoming social season and wetin e get to offer. All eyes go turn to Lord Anthony Bridgerton quest to find a Viscountess."" di feem join-body give hint on wetin go be di focus of di next season. Di Netflix latest drama trend as number one for Nigeria for more dan two weeks, some say because of di 'fine' actor Regé-Jean Page wey dem use as di star actor for di movie. Page, play di role of Simon Basset, Duke of Hastings for di movie. Simon na di Duke of Hastings wey swear say im no go marry. Dis no be di first film wey Regé-Jean Pagee don act, but dis one sweet pipo belle sotey dem begin wonder who be dis guy wey handsome like dis?"
entertainment	Mercy Aigbe: Movie Producer Kazim Adeoti open up about im marriage to di nollywood actress	"Chairman of Ibaka TV, Kazim Adeoti and husband to popular Nollywood actress, Mercy Aigbe don open about dia relationship and marriage afta tori of dia relationship bin go viral a while back. Oga Adeoti inside one interview e gada do wit im new wife clear di air about some controversy wey surround dia relationship. First na di mata of separation from im first wife because e wan marry di actress. Di movie maker for di interview clear am say im no separate from im first wife as dem still dey together. E explain say although some issues bin dey but dem don settle am and everything dey okay now and under control. Oga Adeoti add join say as Muslim, im get right to marry more than one wife, so now im dey married to two wives and im dey comfortable wit im decision. E also clear di rumour wey bin go viral at di time say im and Mercy ex-husband, Lanre Gentry na friends. Di business mogul say dem no be friends. Oga Lanre Gentry bin share one foto of all of dem togeda wey make am look like say dem be family friends before di divorce but Adeoti say di foto wey go viral na foto wey dem take during im 40th birthday. E say im invite plenty Nollywood stars for im party and some of dem come wit dia partners and dem take foto wit am as per celebrant, na there di foto bin comot from. Mercy Aigbe also deny tori say im marry di movie marketer sake of im money. She say she dey very rich and comfortable even before she agree to marry Adeoti. ""I be ambassador, brand influencer, I dey do business and di biz dey thrive, I dey make good money and I dey bring something come di table."" She add. Di couple say dem don sabi each oda for more than 10 years but strictly on business level. Oga Adeoti say Mercy be im business partner as dem dey do movie togeda but wetin attract him to her na her transparency and openness. Wen she dey go through issues for her previous marriage, e bin dey part of dos wey advise her to dey calm and patient and remain for di marriage as things go work out. E say im even dey for America dat time and no too dey involved wen she leave her husband. But as time go back, dem see say dem like each oda, complement and find comfort in each oda company, dem tok. Mercy wey express her love for her new husband say she believe she don reach her final place in marriage. She also add say she dey reason to change to Muslim because di reception she dey get from Muslims dey overwhelming. Although her husband no mind as e believe say dem dey serve di same God. Di 49 year old movie maker hail from come from Oro, Kwara state. E go boarding school for im nursery and primary education. He get degree for Business Management from di University of Jos before e relocate go USA. Adeoti say im bin work as security man for a while, come go school to obtain mortgage licence. e practice for Minnesota for almost a decade before e relocate come Nigeria to start di business of movie productions. Di Yoruba filmmaker na movie marketer and founder of Adekaz Productions. E dey popular for Yoruba movie industry as e dey behind some of di biggest movies for di sector. E bin don marry and e get four children wit im wife Funsho. Mercy Aigbe na Nigerian actress, director and businesswoman. She dey popular for Nigerian Yoruba films. Dem born her for January 1, 1978 for Edo state southern Nigeria. She come from Benin City, di capital of Edo state. She get OND for financial studies from di Polytechnic of Ibadan. She come further her education and graduate wit degree for Theatre Arts for University of Lagos. Mercy Aigbe start her acting career wen she feature for some soap operas. Di popular TV drama series Papa Ajasco na one of am. She join Nollywood industry fully for 2016. She don act many feems and collect plenty ogbonge awards."
entertainment	Police order singer Portable to report to dia station	Police for Ogun state southwest Nigeria don order popular singer Okikiola Habeeb A.K.A. Portable di 'Zazu' coroner to report to dia office or dem go declare am wanted. For statement, police say dem see one trending video wia Portable allegedly oda im boys to beat up one boy and give am injury. Police say such violent act no good and dem no go tolerate am, especially wen e dey come from pesin wey suppose be role model. Portable neva respond to di police invitation as at di time of publishing dis tori and e never tok about am. Di recent video incident no be di only time portable don trend. For anoda video wey trend last week, pipo sight Portable wey e dey do hot argument and almost begin cry. Di short video be like incident wey go lead to fight. Same last week, di Zazu coroner call out Grammy award winner Burna Boy say e dey copy some of im styles. For im Instagram handle, Portable tell Burna say make dem collabo, say e no go good for di Grammy award winner to rip am off. Portable dey notorious for being outspoken and fit dey careless for some of im comments. Some weeks ago, dem nominate Portable for di headies award. As di tori begin fly upandan, di singer release video wia e dey canvass for votes from pipo.  Im real name na Habeeb Okikiola, im be rapper, singer and songwriter.\nDi self-proclaimed Son Of Shaku Shaku, don climb di ranks of di kontri fastest-rising singers. Portable Olalomi come from Ogun State, South West of Nigeria.\nFor one video wey im share for im tiktok page, e tok say na Nigeria rap star, Olamide bring am to limelight. Dem bin also share video of wia im meet wit di Nigeria rap star. Portable Omolalomi social media following don increase well-well since e release di new single.\nCurrently, im get plenti followers on Instagram.
