id,sentence_id,text,category,preannotation,created_at,updated_at,user
673,No sequence ID (upload ID: 19464),"Muhimman abubuwa 10 da suka faru a duniya a 2019. 
    Wannan shafi zai yi waiwaye kan abubuwan da suka faru a wasu kasashen duniya da ba za a manta da su ba, daga kasashen Turai da Afirka da yankin Asiya, har zuwa Gabas Ta Tsakiya A ranar 31 da watan Oktoba ne majalisar wakilan Amurka ta kada kuri'a domin ci gaba da yunkurin tsige Shugaba Donald Trump...",politics,No preannotation,2023-01-05 08:31:18.940606+00:00,2023-01-05 08:31:18.940634+00:00,tajgwadabe
674,No sequence ID (upload ID: 19465),"Masarautu 10 mafiya ƙarfin tattalin arziki a duniya. 
    Babu shakka duniya ta tara hamshakan masu arziki, sai dai kuma akwai wasu rukunin mutane ko zuri'a da arzikinsu abin jinjinawa ne, hakazalika karfin ikonsu da faɗa aji a duniya Daga tsarin mulki irin na soja zuwa tsari na dimokraɗiya har zuwa masarautu...",politics,No preannotation,2023-01-05 08:31:42.250586+00:00,2023-01-05 08:31:42.250616+00:00,tajgwadabe
676,No sequence ID (upload ID: 19466),"Harin Masallaci a Christchurch: Brenton Tarrant zai shafe rayuwarsa a kurkuku. 
    Wata kotu a New Zealand ta yanke hukuncin daurin rai da rai ga maharin da ya kashe musulmi masallata 51 yayin da suke ibada a Chrischurch Alkalin kotun Cameron Mander, ya ce Brenton Tarrant, ya shirya sosai kafin kai harin kan wasu masallatai biyu...",uncategorized,No preannotation,2023-01-05 08:32:29.572300+00:00,2023-01-05 08:32:29.572329+00:00,tajgwadabe
677,No sequence ID (upload ID: 19467),"Click Challenge: Tallar 'wulaƙanta' gashin matan Afrika da ya jawo ɓacin rai. 
    Ku latsa hoton da ke sama don kallon bidiyo: Wani tallan kayan TRESemmé - ya bayyana gashin kan matan Afrika da cewa a cukurkuɗaɗɗe yake yayin da aka nuna na matan Turawa kuma a matsayin mafi kyau - ya jawo cacar baki da zazzafar muhawara kan yadda ake ''wulaƙanta'' gashin baƙaƙen mutane da tarihin nuna wariya a Afrika Ta Kudu Da TRESemmé da kamfanin Clicks, waɗanda suka yi tallan sun ba da haƙuri...",uncategorized,No preannotation,2023-01-05 08:33:27.726721+00:00,2023-01-05 08:33:27.726750+00:00,tajgwadabe
678,No sequence ID (upload ID: 19468),"'Yan wasan Real Madrid da suka je Amurka wasan sada zumunta. 
    Real Madrid za ta buga wasan sada zumunta uku a Amurka, domin shirin tunkarar kakar tamaula ta bana da za a fara cikin watan Agusta Real Madrid za ta yi wasannin a birnin Las Vegas da San Francisco da kuma Los Angeles...",sports,No preannotation,2023-01-05 08:33:37.142603+00:00,2023-01-05 08:33:37.142631+00:00,tajgwadabe
679,No sequence ID (upload ID: 19469),"Rahama Sadau na tara wa almajirai kayan sanyi. 
    Yayin da al'umma a kasashen Afirka ta yamma musamman Najeriya ke fama da matsanancin sanyi da masana yanayi suka ce an yi shekaru ba a fuskanci irinsa ba, wasu fitattun mutane a Najeriyar da kungiyoyin sa kai sun yunkuro domin tallafawa marasa galihu musamman almajirai wadanda ba su da halin kare kansu daga yanayin hunturun da ake ciki Sanyin bana ya zo da ba-zata kasancewar lamarin ya shafi wuraren da ba su saba fuskantar matsanancin sanyin ba...",entertainment,No preannotation,2023-01-05 08:33:44.782066+00:00,2023-01-05 08:33:44.782124+00:00,tajgwadabe
680,No sequence ID (upload ID: 19470),"Bayern Munich vs Villareal: Wasu batutuwa da ya kamat ku sani kan fafatawar. 
    Bayern Munich za ta karbi bakuncin Villareal a wasa na biyu a quarter finals a Champions League da za su fafata ranar Talata A wasan farko da suka kece raini a Sifaniya, Villareal ce ta yi nassara da ci 1-0, kuma Arnaut Danjuma ya ci mata kwallon a minti na tara da fara wasan...",sports,No preannotation,2023-01-05 08:33:49.492906+00:00,2023-01-05 08:33:49.492934+00:00,tajgwadabe
681,No sequence ID (upload ID: 19471),"Yawan duba wayar maza na iya jawo rabuwar aure - Laylah Othman. 
    A tattaunawar da BBC ke yi da fitattun mutane a shafin Facebook da Instagram, mun tattauna da Laylah Ali Othman, wata 'yar kasuwa a Najeriya, kuma ɗaya daga cikin masu dumbin mabiya a shafukan sada zumunta a Najeriya A cewarta, me ya sa waya ke yawan kawo rabuwar aure? ""Mene idan matarka ta ɗauki wayarka ta yi waya da ita ko ta ɗauki hoto...",entertainment,No preannotation,2023-01-05 08:34:01.300707+00:00,2023-01-05 08:34:01.300734+00:00,tajgwadabe
682,No sequence ID (upload ID: 19472),"Harin 11 ga watan Satumba: Minti 102 da suka sauya Amurka da duniya. 
    Latsa hoton da ke sama domin kallon bidiyon: Ranar 11 ga watan Satumba na shekara ta 2001 aka kai hari a Amurkawa Kungiyar da ke tsattsauran ra'ayin Musulunci ta al-Qaeda ta kwace wasu jirage hudu sannan ta yi amfani da su a matsayin wasu makamai don tarwatsa wasu manyan gine-ginen Amurka...",politics,No preannotation,2023-01-05 08:34:15.014339+00:00,2023-01-05 08:34:15.014398+00:00,tajgwadabe
683,No sequence ID (upload ID: 19473),"Portugal za ta kara da Morocco a Quarter Finals a Qatar. 
    Portugal ta caskara Switzerland da ci 6-1 a wasan zagaye na biyu a Gasar Cin Kofin Duniya da suka buga ranar Talata a Qatar Minti bakwai da fara wasa Goncalo Ramos ya fara cin kwallo a karon farko da Porugal ta saka shi a wasa a kuma gurbin Cristiano Ronaldo...",sports,No preannotation,2023-01-05 08:34:20.980800+00:00,2023-01-05 08:34:20.980831+00:00,tajgwadabe
