id,sentence_id,text,category,preannotation,created_at,updated_at,user
707,No sequence ID (upload ID: 19864),"I bi na Kaduna? Ị nwere ohere ịgagharị ugbua. 
    Akụkọ dị mkpa taa Ebuliela iwu na Kaduna Kaduna steeti ebuliela iwu ""onye apụla ezi"" e tinyere na steeti ahụ kemgbe ụbọchị iri atọ na otu nke ọnwa Ọktoba Mana ndị bi na Kujama, Kasuwan Magani nakwa Kachia, ka nọ n'okpuru iwu a...",uncategorized,No preannotation,2023-01-05 08:40:52.666196+00:00,2023-01-06 20:01:52.925212+00:00,itsDonmonc
712,No sequence ID (upload ID: 19865),"Bandits Drone Video: Onyonyo 'drone' gosiri ndị bu egbe nọrọ n'ime ọhịa, ọ bụ na Naịjirịa?. 
    Nnyocha BBC egosila na onyonyo fesara na soshal midia Naịjirịa nke gosiri ndị bucha egbe nọrọ n'ime ọhịa abụghị na Naịjirịa ka ya bụ onyonyo si Onyonyo ahụ e si n'elu see gosiri ihe dịka ndị ntorobịa ruru ise n'ọnụ ọgụgụ, jicha akwa uhie uhie kee n'isi ha, buruchaa egbe dịka AK47, na-esi ihe n'ọkụ ha kwanyere n'otu akụkụ...",uncategorized,No preannotation,2023-01-05 08:41:31.752042+00:00,2023-01-06 20:03:21.590205+00:00,itsDonmonc
716,No sequence ID (upload ID: 19866),"Igbo Cuisine: Ji a hụrụ ahụ, nri ụtọ na-eme ka a tabie aka. 
    Ọbụghị sọ sọ mmadu ka Igbo nwere Igbo nwekwere nri ndị mmadụ a na-eri! Ọ bụ onye amaghị maka Igbo na-agbagha okwu a...",uncategorized,No preannotation,2023-01-05 08:42:08.994275+00:00,2023-01-06 20:03:04.265493+00:00,itsDonmonc
723,No sequence ID (upload ID: 19867),"Nsukka Mosque: A chabiri ihe onyonyo Bishop Godfrey Onah n'ụdị o ji riri ghọọ ihe ọzọ- Nsụkka Catholic Diocese. 
    Ụka Katọlik nke Diayọsis Nsụka ekwuola na ihe onyonyo Bishop Godfrey Igwebuike Onah nke na-efegharị na soshal midia nke  ụfọdụ na-arụ aka sị na ọ bụ ya butere ọgbaghara mere e jiri gbaa ụlọụka Alakụba ọkụ na Nsụka bụ nchabi ka a chabiri ya n'ụdị ka ọ ghọọ ihe ọzọ Otu jịkọrọ ndị ụka Alakụba na Naijiria bụ 'Nigerian Supreme Council for Islamic Affairs (NSCIA) na Bekee nọrọ na nso nso a degarala onyeisi ndị uweojii Naijiria nakwa Onyeisi ndị uweojii nzuzo(DSS) akwụkwọ mkpesa sị ka e jichie Bishopụ Ụka Katọlik na Nsuka bụ Rt Rev Godfrey Onah...",religion,No preannotation,2023-01-05 08:43:23.381811+00:00,2023-01-06 20:03:39.190926+00:00,itsDonmonc
728,No sequence ID (upload ID: 19868),"Birth Control: Etu ọgwụ 'contraceptives' si chọọ idula m mmụọ. 
    Mgbe Vanessa Centeno chọpụtara na o nwere mkpụkọ ọbara na ngụgụ ya, ọ gbara ya gharịị Mana oge ndịọrụ ahụike gwara ya ihe kpatara ụdị ihe a, ọ gbagwojuru ya anya karịa...",health,No preannotation,2023-01-05 08:44:00.095044+00:00,2023-01-05 08:44:00.095074+00:00,itsDonmonc
730,No sequence ID (upload ID: 19869),"Carbon Monoxide: Tupu i gbanye igwe i ji amụ ọkụ, lee etu ị ga-esi chekwaa onwe gị. 
    Kwa ụbọchị ka akụkọ na-apụta etu gaasị Bekee kpọrọ ""Carbon Monoxide"" si egbu ndị mmadụ n'ụra Gaasị a na-esi n'igwe na-enye ọkụ enweghị usi nke o ji enwe agwa ""color"", nke mere na ị nwereike ikuru ya na-amaghị ama...",health,No preannotation,2023-01-05 08:44:20.339766+00:00,2023-01-05 08:44:20.339825+00:00,itsDonmonc
732,No sequence ID (upload ID: 19870),"'Ihe onyonyo na-efegharị na soshal midia egosighị ebe mu na Uche Maduagwu kpere udo' - Jim Iyke. 
    Na mkparịtaụka BBC Igbo na onye ejije ""Nollywood"" a ma ama bụ Jim Iyke mere ọ kọwara na ihe onyonyo na-efegharị na soshal midia egosighị ebe ya na Uche Mmaduagwu kpere udo Jim Iyke kwuru na ya gara zute Maazị Maduagwu maka ihe o mere kpasuru ya ịwe n'ihe ọ bụ ihe nwere ikike imetọ aha ọma ya ma meetọ ihe ejije ọhụrụ ya...",entertainment,No preannotation,2023-01-05 08:44:30.699463+00:00,2023-01-05 08:44:30.699493+00:00,itsDonmonc
735,No sequence ID (upload ID: 19871),"Uzodinma: Mkpebi Ụlọikpe Kachasị enweghị ebe ọ gbadoro ụkwụ - PDP. 
    Otu pati PDP akpọọla oku ka ỌkaikpeTanko Mohammed rịtuo n'ọkwa dịka ọkaikpe Ukwu Naijiria nakwa onyeisioche otu na-ahazi ikpe bụ 'National Judicial Council' PDP kpọrọ oku a ka ha nwechara ọgbakọ imeobi n'ụbọchị Tọzde n'ihi mkpebi Ụlọikpe kachasị nke napụrụ Emeka Ihedioha nke PDP ọkwa Gọvanọ Imo steeti ma nyefee Hope Uzodịnma nke APC...",politics,No preannotation,2023-01-05 08:44:47.154138+00:00,2023-01-05 08:44:47.154166+00:00,itsDonmonc
737,No sequence ID (upload ID: 19872),"Delta State: Anyị abọpụtala ozu mmadụ itolu ndị ọchịehi gburu - LGA Chairman. 
    Akụkọ na ndị ọchiehi wakporo ndị obodo Uhwerụ nke dị n'okpuru ọchịchị Ughelli ebutela ọtụ kepukepu na nghọtahe Nke a na-eme dịka ndị obodo sị na ndị uweojii ekwuputaghị na-ezie mmadụ ole ndị ha si bụ ndị ọchiehi gburu...",politics,No preannotation,2023-01-05 08:45:14.651951+00:00,2023-01-05 08:45:14.651980+00:00,itsDonmonc
741,No sequence ID (upload ID: 19873),"Akụkọ kachasị n'abalị a: Salah ọ ga-aga iko mbaụwa?. 
    Akụkọ ndị kachasị mkpa mere taa: Mo Salah tụnyere aka ya na-mmeri emeriri ha ụnyahụ Ị ma na Iko mbaụwa afọ a nwere ike ịcha Mohammed Salah? Onye nlekọta otu egwu bọọlụ Liverpool bụ Jurgen Klopp ekwuola na mmerụ ahụ Mohamed Salah nwere abụghị obere ihe, na ọ dịka ọgbajiri ọkpụkpụ olu ma ọ bụ nku aka Ndị uweojii adọọla aka na ntị maka ogbunigwe dị n'ala Ndị uweojii akpọkuola ndị ọrụugbo na ndị ọrụụzọ ka ha saa anya miri maka ogbunigwe e liri n'ala oge agha...",sports,No preannotation,2023-01-05 08:45:29.592813+00:00,2023-01-05 08:45:29.592840+00:00,itsDonmonc
