id,sentence_id,text,category,preannotation,created_at,updated_at,user
659,No sequence ID (upload ID: 20864),"Tshisekedi asengi mbulamatari kotiya bomoto ya moto lokola likonzi ya misala minso. 
    Mbulamatari ya sika ya ekolo Congo démocratique ezalaki o'mokolo ya minei na likita lya lyango lya yambo, ya kafukafu na bokambami ya president Félix Tshisekedi na Premier ministre Sylvestre Ilunga Ilunkamba Président Tshisekedi ayebisi na baye banso bazali na mbulatari batiya moto lokola likonzi lya misala manso bako kosala, eyebisi ministre ya mambi ya bapaya Marie Tumba Nzeza...",politics,No preannotation,2023-01-05 08:19:06.642996+00:00,2023-01-05 08:19:06.643024+00:00,ukimanuka
660,No sequence ID (upload ID: 20865),"Ba FARDC basikoli bato 70 bamemamaki na ba ADF na Mafifi (Ituri). 
    Mampinga ma Ekolo Congo démocratique (FARDC) masakoli ete masikoli bato 70 bamemaki na basimba minduki ya ba ADF na mboka Mafifi, na Ituri, elobi mbulamatari mpe na FARDC “Mbulamatari epameli na makasi manso ekala eye, ekaboli maw ana mabota ma baye bazwi mpasi mpe ekundoli na banso molende ya ba FARDC ya kokangola baye banso batikali kati na baye bamemamaki lokola ba otages mpe kosuki bato ba yawuli baye (ba barabares) baye bazali ya kobanzana,” ekomi minist♪8re ya Communication mpe media na Twitter...",politics,No preannotation,2023-01-05 08:19:54.531874+00:00,2023-01-05 08:19:54.531901+00:00,ukimanuka
662,No sequence ID (upload ID: 20866),"François Beya atindami na Makala (CPRK). 
    François Beya, mopesi toli ya lokumu ya kala ya président Félix Tshisekedi atindami na boloko bonene ya Makala (CPRK) nsima na bokangami wuto sanza mibale na ANR , misala mya bokengi ya RDC François Beya azali na Makala wuto mpokwa ya lelo, esakoli Asadho, lingomba lya makoki ma bomoto, Jean-Claude Katende...",politics,No preannotation,2023-01-05 08:20:11.008818+00:00,2023-01-05 08:20:11.008849+00:00,ukimanuka
663,No sequence ID (upload ID: 20867),"Tshisekedi na Kagame balobi bakosala mpo na integration régionale. 
    Président Félix Tshisekedi ya RDC na mokokani wa ye ya Rwanda, Paul Kagame, balobi na milulu ya suka ya bokutani Africa CEO Forum, ete bakosala lisanga mpo na intégration régionale (bosangisami mpo ya bolamu) Bakonzi mibale baye bazwaki maloba liboso ya ba investisseurs, ya bato ya mombongo mpe ya bakambi ya ba companies mpe bayanolaki na mituna...",politics,No preannotation,2023-01-05 08:20:19.787076+00:00,2023-01-05 08:20:19.787104+00:00,ukimanuka
664,No sequence ID (upload ID: 20868),"Koffi Olomide atikami na bosambisami ya kozwa babini ba ye na makasi na France. 
    Koffi Olomide atikami na bosambisami na ye na kozwa babini baye ba na makasi, na France Cour d’appel ya Versailles ekateli nde alanga nzembo mokambi ya Quartier latin, Antoine Agbepa Mumba oyo amibengaka ""Koffi Olomide"" sanza zomi na mwambe ya boloko na sursis probatoire ya mibu misato mpo akangaki babini baye ba ndako kasi akosala boloko te...",entertainment,No preannotation,2023-01-05 08:20:33.489499+00:00,2023-01-05 08:20:33.489528+00:00,ukimanuka
665,No sequence ID (upload ID: 20869),"Greffier ya Cour ya cassation abwakisi appel ya Dr. Oly Ilunga (Avocats). 
    Ba avocats ya Dr Oly Ilunga, ministre ya kala ya bokolongono, bapameli bgreffier ya Cour ya cassation mpo na abwkisi bosenga na bango ya koboya mokona mokweyisa client na bango na etumbu ya mibu mitano ya misala makasi mpo na kanyaka...",politics,No preannotation,2023-01-05 08:21:12.740658+00:00,2023-01-05 08:21:12.740700+00:00,ukimanuka
667,No sequence ID (upload ID: 20870),"Tshisekedi apesi losako ya suka na Lugi Gizenga. 
    Lugi Gizenga, mwana ya nkondo Antoine Gizenga mpe mokambi ya PALU (Parti lumumbiste unifié) akundami jeudi na Kinshasa, na Ekolo Congo démocratique Yambo na bokundami na ye, président Félix Tshisekedi alekaki kopesa losako na nzoto na ye na clinique Ngaliema...",politics,No preannotation,2023-01-05 08:21:42.526438+00:00,2023-01-05 08:21:42.526479+00:00,ukimanuka
668,No sequence ID (upload ID: 20871),"Mboso, Katumbi na basusu bapameli bomomi ya bato na Noël na Beni. 
    Bayi politiki bayike balakisi mpasi o’mitema nsima na bombe koboma koleka bato motoba bakufi na bombe na Beni, na Nord-Kivu, na o’mokolo mwa Noël ""Na nkombo ya baninga ban gai bakeli mibeko, na pameli makasi bobomi badongolomeso basali nab ana ba Beni ntango tozalaki banso kokanisa mbotama ya Kristu,"" ekomi na Twitter mokambi ya Assemblée nationale, Christophe Mboso...",politics,No preannotation,2023-01-05 08:22:11.828292+00:00,2023-01-05 08:22:11.828321+00:00,ukimanuka
2375,No sequence ID (upload ID: 20872),"Bayi politiki bazalaki na nsima ya bobomani ya Yumbi, elobi Mme Mushobekwa. 
    Bayike na bayi politiki mpe ya misala ya administration bazalaki nsima ya bobomani ya Yumbi, endimi lelo mpo na mbala ya yambo ministre ya mambi ya makoki ya bomoto ya RDC, Marie-Ange Mushobekwa Ministre ya makoki ya bomoto alobi yango o’boso ya Conseil ya makoki ya bomoto ya Lisanga ya bikolo ya molongo, Nations unies, na nzela Web TV...",politics,No preannotation,2023-01-05 18:15:51.871414+00:00,2023-01-05 18:15:51.871443+00:00,ukimanuka
2379,No sequence ID (upload ID: 20873),"EXETAT 2021: Bayekoli bapanzi mpe batie moto na sous-division ya EPST ya Manono (Tanganyika). 
    Bayekoli baike bapanzi mpe batie moto na bureau ya Sous-division ya Enseignement primaire secondaire mpe technique (EPST) ya Manono, na Tanganyika, nsima na bobandi ya momekano ya examen d'Etat Mobulu mobimaki na etuka Tanganyika nsima na bobandi ya momekano ya ba examns d’Etat ya bayekoli ya suka ya secondaire...",uncategorized,No preannotation,2023-01-05 18:17:13.233577+00:00,2023-01-05 18:17:13.233606+00:00,ukimanuka
2382,No sequence ID (upload ID: 20874),"RDC ezali komilengele mpo na kozongisa ba Congolais bakangami libanda mpo na COVID19. 
    Ambassade ya Ekolo Congo Démocratique na Ouganda esengi na ba Congolais banso bakangami na mobembo na mboka eye kokomisa nkombo na bango na ntina ya mabongisami bwa bozongisami na bango Mbulamatari esakoli mikolo mibale mileki ete ezali komibongisama mpo na yango...",politics,No preannotation,2023-01-05 18:18:39.525421+00:00,2023-01-05 18:18:39.525450+00:00,ukimanuka
2384,No sequence ID (upload ID: 20875),"Mbeba ya makoki ya bomoto emati na 10% na septembre na RDC. 
    Kotambola likolo ya makoki ya bomoto emati na koleka bilembo 10 to 10% na sanza ya libwa na ekolo Congo démocratique eyebisi Nations unies Mokambi ya Bureau Conjoint ya Nations unies mpo na makoki ya bomoto Abdoul Aziz Thioye alobi yango na bokutani na bapanzi sango na Kinshasa...",business,No preannotation,2023-01-05 18:19:06.613749+00:00,2023-01-05 18:19:06.613778+00:00,ukimanuka
2411,No sequence ID (upload ID: 20864),"Tshisekedi asengi mbulamatari kotiya bomoto ya moto lokola likonzi ya misala minso. 
    Mbulamatari ya sika ya ekolo Congo démocratique ezalaki o'mokolo ya minei na likita lya lyango lya yambo, ya kafukafu na bokambami ya president Félix Tshisekedi na Premier ministre Sylvestre Ilunga Ilunkamba Président Tshisekedi ayebisi na baye banso bazali na mbulatari batiya moto lokola likonzi lya misala manso bako kosala, eyebisi ministre ya mambi ya bapaya Marie Tumba Nzeza...",politics,No preannotation,2023-01-05 18:38:31.215725+00:00,2023-01-05 18:38:31.215753+00:00,Kandapatrick19
2450,No sequence ID (upload ID: 20865),"Ba FARDC basikoli bato 70 bamemamaki na ba ADF na Mafifi (Ituri). 
    Mampinga ma Ekolo Congo démocratique (FARDC) masakoli ete masikoli bato 70 bamemaki na basimba minduki ya ba ADF na mboka Mafifi, na Ituri, elobi mbulamatari mpe na FARDC “Mbulamatari epameli na makasi manso ekala eye, ekaboli maw ana mabota ma baye bazwi mpasi mpe ekundoli na banso molende ya ba FARDC ya kokangola baye banso batikali kati na baye bamemamaki lokola ba otages mpe kosuki bato ba yawuli baye (ba barabares) baye bazali ya kobanzana,” ekomi minist♪8re ya Communication mpe media na Twitter...",politics,No preannotation,2023-01-05 19:02:05.486919+00:00,2023-01-05 19:02:05.486949+00:00,Kandapatrick19
2451,No sequence ID (upload ID: 20866),"François Beya atindami na Makala (CPRK). 
    François Beya, mopesi toli ya lokumu ya kala ya président Félix Tshisekedi atindami na boloko bonene ya Makala (CPRK) nsima na bokangami wuto sanza mibale na ANR , misala mya bokengi ya RDC François Beya azali na Makala wuto mpokwa ya lelo, esakoli Asadho, lingomba lya makoki ma bomoto, Jean-Claude Katende...",politics,No preannotation,2023-01-05 19:02:25.317965+00:00,2023-01-05 19:02:25.317995+00:00,Kandapatrick19
2452,No sequence ID (upload ID: 20867),"Tshisekedi na Kagame balobi bakosala mpo na integration régionale. 
    Président Félix Tshisekedi ya RDC na mokokani wa ye ya Rwanda, Paul Kagame, balobi na milulu ya suka ya bokutani Africa CEO Forum, ete bakosala lisanga mpo na intégration régionale (bosangisami mpo ya bolamu) Bakonzi mibale baye bazwaki maloba liboso ya ba investisseurs, ya bato ya mombongo mpe ya bakambi ya ba companies mpe bayanolaki na mituna...",politics,No preannotation,2023-01-05 19:02:36.577813+00:00,2023-01-05 19:02:36.577843+00:00,Kandapatrick19
2453,No sequence ID (upload ID: 20868),"Koffi Olomide atikami na bosambisami ya kozwa babini ba ye na makasi na France. 
    Koffi Olomide atikami na bosambisami na ye na kozwa babini baye ba na makasi, na France Cour d’appel ya Versailles ekateli nde alanga nzembo mokambi ya Quartier latin, Antoine Agbepa Mumba oyo amibengaka ""Koffi Olomide"" sanza zomi na mwambe ya boloko na sursis probatoire ya mibu misato mpo akangaki babini baye ba ndako kasi akosala boloko te...",uncategorized,No preannotation,2023-01-05 19:04:01.461321+00:00,2023-01-05 19:04:01.461351+00:00,Kandapatrick19
2454,No sequence ID (upload ID: 20869),"Greffier ya Cour ya cassation abwakisi appel ya Dr. Oly Ilunga (Avocats). 
    Ba avocats ya Dr Oly Ilunga, ministre ya kala ya bokolongono, bapameli bgreffier ya Cour ya cassation mpo na abwkisi bosenga na bango ya koboya mokona mokweyisa client na bango na etumbu ya mibu mitano ya misala makasi mpo na kanyaka...",politics,No preannotation,2023-01-05 19:04:36.551542+00:00,2023-01-05 19:04:36.551594+00:00,Kandapatrick19
