id,sentence_id,text,category,preannotation,created_at,updated_at,user
140777,No sequence ID (upload ID: 67698),"Omulugube gusse eby’obufuzi bya wano – Wasswa Lule. 
     Bya Gladys Nanyombi Lubaga Munnabyafaayo era omutunuulizi w’ensonga z’ebyobufuzi Wasswa Lule, arabudde bannayuganda ku mulugube mu bannabyabufuzi  wakati nga beetegekeera akalulu ka 202i nti guno gwe gwonoonye ebyobufuzi bye Uganda   Bino Lule yabyogeredde mu mboozi eyakafubo gyeyabaddemu ne GAMBUUZE ku Lwokusatu lwa wiiki eno nategeeza nti abantu abasoba mu asatu bonna okuvaayo nga baagala kuyitira mu Lubaga South bagende mu Palamenti kiraga kuggwamu nsa...",politics,No preannotation,2023-01-24 17:57:03.429817+00:00,2023-01-24 17:57:03.429848+00:00,jonmuk7
140778,No sequence ID (upload ID: 67699),"Omusumba w’e South Afirika asisinkanye  Owek. Kaawaase. 
      Omusumba w’obusumba bwa Aliwal mu ggwanga lya South Africa,Omusumba Joseph Kizitoagenyiwaddeko ku mbuga y’Obwakabaka e Bulange -Mmengo n’asisinkanaOmumyuka Asooka owa Katikkiro era Minisita w’obuyiiya n’enzirukanya y’emirimu, Assoc Prof...",religion,No preannotation,2023-01-24 17:57:59.798999+00:00,2023-01-24 17:57:59.799027+00:00,jonmuk7
140792,No sequence ID (upload ID: 67700),"Abakozi mu Bwakabaka babanguddwa ku ndwadde z’omutima. 
       Abakozi mu Bwakabaka basabiddwa bulijjookwekuuma endwadde z’omutima nga beekebeza buli luvannyuma lw’ebbanga eggere, kibayamba okutuukiriza obuvunaanyizibwa obwabaweebwa Ssaabasajja Kabaka Obubaka buno baabufunidde mu musomo gw’ebyobulamu ogwayindidde ku mbuga enkulu e Bulange-Mmengo nga gwategekeddwa aba Healthy Heart Foundation n’Obwakabaka...",health,No preannotation,2023-01-24 18:03:30.683887+00:00,2023-01-24 18:03:30.683915+00:00,jonmuk7
140795,No sequence ID (upload ID: 67701),"Museveni nga tannalumba ttaka lya Mayiro atulage gye yateeka ery’ebibira n’entobazzi – Omubaka Nambooze. 
     Omubaka w’ekibuga kya Mukono era akulira ekibiina kya National Unity Platform (NUP) mu Mukono, Betty Nambooze Bakireke, atabukidde Pulezidenti Museveni olw’okwera ku ttaka lya Mayiro n’amusaba okugenda empola ensonga eno Bino Omubaka Nambooze abyogeredde Kayunga mu kuziika abadde Ssentebe wa disitulikiti y’e Mukono, Owek...",politics,No preannotation,2023-01-24 18:04:28.815197+00:00,2023-01-24 18:04:28.815242+00:00,jonmuk7
141659,No sequence ID (upload ID: 67698),"Omulugube gusse eby’obufuzi bya wano – Wasswa Lule. 
     Bya Gladys Nanyombi Lubaga Munnabyafaayo era omutunuulizi w’ensonga z’ebyobufuzi Wasswa Lule, arabudde bannayuganda ku mulugube mu bannabyabufuzi  wakati nga beetegekeera akalulu ka 202i nti guno gwe gwonoonye ebyobufuzi bye Uganda   Bino Lule yabyogeredde mu mboozi eyakafubo gyeyabaddemu ne GAMBUUZE ku Lwokusatu lwa wiiki eno nategeeza nti abantu abasoba mu asatu bonna okuvaayo nga baagala kuyitira mu Lubaga South bagende mu Palamenti kiraga kuggwamu nsa...",politics,No preannotation,2023-01-25 08:39:08.377286+00:00,2023-01-25 08:39:08.377349+00:00,172.18.0.1
141660,No sequence ID (upload ID: 67699),"Omusumba w’e South Afirika asisinkanye  Owek. Kaawaase. 
      Omusumba w’obusumba bwa Aliwal mu ggwanga lya South Africa,Omusumba Joseph Kizitoagenyiwaddeko ku mbuga y’Obwakabaka e Bulange -Mmengo n’asisinkanaOmumyuka Asooka owa Katikkiro era Minisita w’obuyiiya n’enzirukanya y’emirimu, Assoc Prof...",religion,No preannotation,2023-01-25 08:39:44.234860+00:00,2023-01-25 08:39:44.234920+00:00,172.18.0.1
141661,No sequence ID (upload ID: 67700),"Abakozi mu Bwakabaka babanguddwa ku ndwadde z’omutima. 
       Abakozi mu Bwakabaka basabiddwa bulijjookwekuuma endwadde z’omutima nga beekebeza buli luvannyuma lw’ebbanga eggere, kibayamba okutuukiriza obuvunaanyizibwa obwabaweebwa Ssaabasajja Kabaka Obubaka buno baabufunidde mu musomo gw’ebyobulamu ogwayindidde ku mbuga enkulu e Bulange-Mmengo nga gwategekeddwa aba Healthy Heart Foundation n’Obwakabaka...",health,No preannotation,2023-01-25 08:40:06.560487+00:00,2023-01-25 08:40:06.560521+00:00,172.18.0.1
141662,No sequence ID (upload ID: 67702),"Taata asse muwalawe lwakugwa bibuuzo. 
      Omwogezi wa  Poliisi ya Kampal n’emirirwano Patrick Onyango Omwana Helena Nambalirwa abadde asoma ekibiina eky’okubiri ku ssomero lya Elea Primary School e Kawempe afudde oluvanyuma lw’okukibibwa kitaawe  Ono yabadde amulanga kugwa bibuuzo ebyamuweereddwa ku ssomero...",uncategorized,No preannotation,2023-01-25 08:40:47.038890+00:00,2023-01-25 08:40:47.038948+00:00,jonmuk7
141664,No sequence ID (upload ID: 67703),"Omutaka Namwama asabye gavumenti enoonyereze ensibuko y’ebijambiya. 
       Omukubiriza w’abataka ba Buganda, Omutaka Augustine Mutumba asabye gavumenti ekozese obukugu bwonna okulaba nti enoonyereza era ezuule ensibuko y’ebijambiya mu ggwanga Okusaba kuno Jjajja Namwana akukoledde mu Bulange -Mmengo ku Lwokubiri mu lukung’aana lwa bannamawulire...",uncategorized,No preannotation,2023-01-25 08:41:18.676922+00:00,2023-01-25 08:41:18.676950+00:00,jonmuk7
141665,No sequence ID (upload ID: 67704),"Omubaka wa Yitale mu Congo Attanasio attiddwa. 
     Omubaka wa Yitale mu Democratic Republic of the Congo, Luca Attanasio 44, n’abantu abalala 2 battiddwa enkya ya leero mu bulumbaganyi obukoleddwa ku luseregedde lw’emmotoka z’amawanga amagatte ezibadde zitambula Omubaka wa Yitale mu Democratic Republic of the Congo, Luca Attanasio Obutemu bubaddewo ku ssaawa nga nnya ez’okumakya abatamanyang’amba bwe babadde bagezaako okumuwamba mu kabuga k’e Kanyamahoro, kkiromita ntono nnyo okuva ku kibuga Goma mu Virunga National Park...",uncategorized,No preannotation,2023-01-25 08:41:55.555019+00:00,2023-01-25 08:41:55.555049+00:00,jonmuk7
