id,sentence_id,text,category,preannotation,created_at,updated_at,user
1133,No sequence ID (upload ID: 20064),"Walgaarreffannaan daangaa Itoophiyaafi Sudaan hanga maaliitti?. 
    Sudaaniif Itoophiyaan nannoo daangaa Alfaashiqaa lafa umamaan misoomaaf mijaawaa ta'etti erga gara wal dhabdeetti seenanii baatiiwwan lakkaa'amaniiru Biyyoonni lamaan kunneenis sababii waldhabdee daangaa kanaatiin gara waraanaatti seennu akka hinbarbaannee ibsan illeen, warraanni biyyoota lamaan garuu yeroo garaa garaatti walitti bu'un ni dhagahama...",politics,No preannotation,2023-01-05 10:16:32.195094+00:00,2023-01-05 10:16:32.195123+00:00,taddeekb
1159,No sequence ID (upload ID: 20065),"Manneen barnootaa Niiw Zilaand moodesii bilisaan kennuufi. 
    Waxabajjii irraa eegalee, 'hiyyummaa yeroo laguu' hir’isuuf jecha manneen barnootaa biyya Niiw Ziiland hundi meeshaalee qulqullinaa yeroo laguu bilisaan kennuuf jiru Aanga’oonni barattoonni dubaraa tokko tokko meeshaaleen qulqullinaa yeroo laguu kan akka moodesii bitachuu waan hin dandeenyeef baruumsarraa hafaa jiraachuu isaani yaadda’aniiru...",health,No preannotation,2023-01-05 10:19:31.782391+00:00,2023-01-25 08:37:13.448425+00:00,taddeekb
1189,No sequence ID (upload ID: 20066),"Dooniin Faransaay bara 1968 achi buuteen dhibe argamte. 
    Dooniin Faransaay namoota 52 fe'attee galaana jala imalaa osoo jirtuu achi buuteen ishee dhabame waggaa 50 booda argamte Dooniin achi buuteen ishee dhibee maatiifi firoota namoota waliin badaniif hibboo waggaa 50 taate kun naannoo odola Tuulon jedhamutti hojii dirqamaaf yeroo bobbaatee ture...",uncategorized,No preannotation,2023-01-05 10:23:42.966827+00:00,2023-01-21 17:36:23.821259+00:00,taddeekb
1200,No sequence ID (upload ID: 20067),"FIFAn 'gocha badaa' sheefii beekamaan Waancaa Addunyaarratti agarsiise qorataan jira jedhe. 
    FIFAn tapha xumura Waancaa Addunyaa 2022 Qaataar booda sheefiin beekamaa, Soolt Bay fi namoonni kaan gara dirree seenun 'gocha badaa' akka raawwatan qorachaan jira jedhe Maqaan sheefii kanaa inni sirriin Nuusirat Gookkisee jedhama...",sports,No preannotation,2023-01-05 10:24:26.618884+00:00,2023-01-05 10:24:26.618912+00:00,taddeekb
1218,No sequence ID (upload ID: 20068),"Yunvarsiitiin Amboo Bara kana maqaa Haacaaluu Hundeessaatiin sagantaa carraa barnoota Tolaa (Scholarship) jalqabuufi. 
    Seeneetiin Yunvarsiitiin Amboo Kaampaasii isaa kan amma dura Awwaaroo jedhamuun beekamu maqaa Artisti Haacaaluu hundeessaatiin moggaasuun alattis sagantaa barnoota tolaa (scholarship) akka jalqabamuuf murteesseera Pirezedaantiin Yunvarsiitichaa Dr...",uncategorized,No preannotation,2023-01-05 10:25:54.487360+00:00,2023-01-05 10:25:54.487389+00:00,taddeekb
1224,No sequence ID (upload ID: 20069),"Dargaggoonni qo'annoof jecha osoo beekanuu irra deebiin Covid qabsiifamuuf. 
    Dargaggoonni fayyaa guutuu qabaniifi amma dura Covid-19n qabamanii dandamatan, qorannoo irra deebiin vaayirasicha isaan qabsiisu keessatti fedhiin akka hirmaatan gaafatamaa jiru Ogeeyyiin qo'annoo ji'a kana jalqabu duuba jiran, sirni madiinummaa qaamaa marroo lammeessoof akka dandamatu baruu barbaadu...",health,No preannotation,2023-01-05 10:26:34.373190+00:00,2023-01-05 10:26:34.373219+00:00,taddeekb
1233,No sequence ID (upload ID: 20070),"Dhuguma barri faranjootaa darbe baayyee badaa turee?. 
    Barri 2020 namoota hedduuf bara rakkina hedduun itti mudateedha Kanaafu namoonni barichaan ''kan abaarame'' jechuun waamaniiru...",religion,No preannotation,2023-01-05 10:27:39.365452+00:00,2023-01-21 19:05:00.732484+00:00,taddeekb
1240,No sequence ID (upload ID: 20071),"Waraana Tigraay: :Yeroo humnoonni TPLF Maqalee galan maaltu ta'e?. 
    Humnoonni naannoo Tigraay waraana baatiiwwan saddeetiin ol tureen booda Waxabajji 28, 2021 magaalaa Maqalee yeroo deebisanii qabatan ummanni hedduun gammachuu ibsachuuf daandiitti bahan Jiraattoonni magaalattii alaabaa mirmiirsaafi richiitii dhukaasaa miira gammachuu isaanii akka ibsatan dubbatu...",politics,No preannotation,2023-01-05 10:27:59.800864+00:00,2023-01-05 10:27:59.800893+00:00,taddeekb
1250,No sequence ID (upload ID: 20072),"Reebichi poolisiin Muslimoota Indiyaarraan ga'e ijoo dubbii ta'e, maatii dheekkamsiise. 
    Wayita poolisoonni Indiyaa Muslimoota mana hidhaa keessatti reeban viidiyoon agarsiisu namoota miiliyoonaan lakkaa'aman bira erga ga'ee booda mufii cimaa kaasiseera Viidiyoon kun jalqaba miseensa paartii biyya bulchaa jiruu, BJP, jedhamuun maxxanfame...",religion,No preannotation,2023-01-05 10:28:59.953559+00:00,2023-01-25 08:39:46.020615+00:00,taddeekb
1267,No sequence ID (upload ID: 20073),"Ambotti abbeera Haacaaluu dabalatee yoo xiqqaate namoonni shan ajjeefaman. 
    Magaalaa Amboo keessatti har'a hokkora dhalateen yoo xiqqaate lubbuun namoota shanii darbuu fi namootni jaha ta'an rasaasan rukutamuu Ogeessi Fayyaa Hispitaala Amboo BBC'tti himan Ogeeessi Fayyaa Hospitaalichaa Dr...",politics,No preannotation,2023-01-05 10:30:04.804488+00:00,2023-01-25 08:40:00.137873+00:00,taddeekb
