id,sentence_id,text,category,preannotation,created_at,updated_at,user
1107,No sequence ID (upload ID: 20663),"Cardi B don cause anoda #GhanavrsNaija war for social media. 
    Ogbonge American musician Cardi B say she dey miss Nigeria Di music star do show for Nigeria for 7 December and for Ghana on Sunday 8 December wia she perform some of her hit songs to her fans...",entertainment,No preannotation,2023-01-05 09:47:20.029148+00:00,2023-01-05 09:47:20.029178+00:00,Nenshiejames
1108,No sequence ID (upload ID: 20662),"France Macron dey Cameroon to begin Africa trip - Dis be what to expect. 
    France president Emmanuel Macron arrive Cameroon late Monday night on im first trip to Africa since im re-election last April Macron visit also include Benin and Guinea-Bissau...",politics,No preannotation,2023-01-05 09:48:23.289993+00:00,2023-01-05 09:48:23.290050+00:00,Nenshiejames
1109,No sequence ID (upload ID: 20661),"Facebook: Mark Zuckerberg net worth hit $100bn afta im launch TikTok rival. 
    Facebook founder Mark Zuckerberg don see im personal wealth rise to $100bn (£76bn) afta di launch one new app for short videos On Wednesday, Facebook announce di US rollout of Instagram Reels, wey be rival to di controversial Chinese app TikTok...",technology,No preannotation,2023-01-05 10:12:54.048990+00:00,2023-01-05 10:12:54.049024+00:00,Nenshiejames
1110,No sequence ID (upload ID: 20660),"Wife of man for Enugu state wey allegedly murder dia three children and keep dem for fridge tok how e hapun. 
    ""Wen I come back open di gate, nobody run to meet me as dem dey to do before I come begin dey find dem...",uncategorized,No preannotation,2023-01-05 10:13:01.691378+00:00,2023-01-05 10:13:01.691409+00:00,Nenshiejames
1111,No sequence ID (upload ID: 20659),"APC presidential primaries: Why INEC allow APC postpone. 
    Nigeria governing party, APC don postpone dia presidential primaries by one week All Peoples Congress [APC] move di special convention to di 6th - 8th of June, 2022...",politics,No preannotation,2023-01-05 10:13:04.919698+00:00,2023-01-05 10:13:04.919728+00:00,Nenshiejames
1112,No sequence ID (upload ID: 20658),"Five lessons we learn from Ekiti govnorship election. 
    By Victor Ezeama Di governorship election for Ekiti state don end afta one day of voting without major wahala Na former Secretary to di State Goverment, Biodun Oyebanji, win di low-key election...",politics,No preannotation,2023-01-05 10:13:08.077778+00:00,2023-01-05 10:13:08.077807+00:00,Nenshiejames
1113,No sequence ID (upload ID: 20657),"'Picking my vice president na mistake but God save me' - Obasanjo. 
    Nigeria former president Olusegun Obasanjo say picking im “number two” man na one of di mistakes wey im make for life Obasanjo dey tok about im life experiences including matter wey concern di 1999 presidential election...",politics,No preannotation,2023-01-05 10:13:10.988511+00:00,2023-01-05 10:13:10.988539+00:00,Nenshiejames
1114,No sequence ID (upload ID: 20656),"Date for WAEC 2021: WAEC release new dates for 2021 WASSCE examinations. 
    Di West African Examinations Council (WAEC) say di 2021 West African Senior School Certificate Examination (WASSCE) wey dey hold around June, go happen two months after WAEC say for 16 August na when candidates go expect to sit for di examination, wey go end di following month by 30 September...",uncategorized,No preannotation,2023-01-05 10:13:13.624135+00:00,2023-01-05 10:13:13.624163+00:00,Nenshiejames
1115,No sequence ID (upload ID: 20655),"Sunday Igboho: Why High court order DSS to produce Yoruba nation activist aides. 
    Federal High Court for Abuja don order di Department of State Service (DSS) to produce di 12 aides of Sunday Adeyemo wey pipo know as Sunday Igboho, wey don dey dia custody since di second of July, 2021 Di aides to Igboho wey bin chop arrest for im residence dey expected to appear for court on Thursday, 29th July and dia case dey expected to proceed regardless of di annual court vacation wey suppose start for 26th of July...",uncategorized,No preannotation,2023-01-05 10:13:53.040942+00:00,2023-01-05 10:13:53.041000+00:00,Nenshiejames
1116,No sequence ID (upload ID: 20654),"United Nations: 'Tonto Dikeh Ambassador award no get anything to do wit United Nations and e dey illegal'. 
    United nations don react to Nigerian celebrity, Tonto Dike 'United Nations Noble International Ambassador for di United Nations Rescue Services award Nigerian actress, Tonto Dike bin recently announce her honour as di United Nations Noble International Ambassador for di United Nations Rescue Services on Wednesday, 7th March, 2021...",uncategorized,No preannotation,2023-01-05 10:14:15.421178+00:00,2023-01-05 10:14:15.421207+00:00,Nenshiejames
1117,No sequence ID (upload ID: 20653),"Afghanistan news: Kabul airport attack 'fit' happun again soon - US President Biden reveal. 
    Anoda attack fit happun for Kabul airport, US President Joe Biden don warn Oga Biden say im commanders don tell am say di attack fit happun as early as Sunday...",uncategorized,No preannotation,2023-01-05 10:14:21.055147+00:00,2023-01-05 10:14:21.055189+00:00,Nenshiejames
1118,No sequence ID (upload ID: 20652),"Musk say Twitter fit see 'slight cost' for businesses and governments. 
    Business and goment users on Twitter fit pay a ""slight"" fee to stay for di social media platform, Tesla boss Elon Musk tok Dis dey come afta di board of Twitter agree to $44bn (£34...",business,No preannotation,2023-01-05 10:14:27.711614+00:00,2023-01-05 10:14:27.711643+00:00,Nenshiejames
1119,No sequence ID (upload ID: 20651),"Stade de France: UEFA Champions League final comot from Russia for Ukraine provocations. 
    Stade de France for Paris naim go host di 2022 UEFA Champions League final Dis dey happun afta UEFA remove di final from Russia sake of how Russia take invade Ukraine wey dey cause katakata now...",sports,No preannotation,2023-01-05 10:14:30.866613+00:00,2023-01-05 10:14:30.866642+00:00,Nenshiejames
