id,sentence_id,text,category,preannotation,created_at,updated_at,user
134,No sequence ID (upload ID: 20664),"Mali: Col. Assimi Goïta yigenye nk'umukuru w'igihugu mfatakibanza. 
    Col Assimi Goïta aherutse gutembagaza ubutegetsi muri Mali ku ncuro ya kabiri, yitangaje ko ari we mukuru w'igihugu mfatakibanza mushasha...",politics,No preannotation,2023-01-05 00:13:30.187164+00:00,2023-01-05 00:13:30.187194+00:00,deki.kazinduzi
135,No sequence ID (upload ID: 20665),"Uruzuba muri Somalia: 'Gira ico mukoze ubu nyene canke abana 350.000 bapfe'. 
    Mu gihe Somalia yugarijwe n'ico abahinga bita uruzuba rwa mbere rukaze cane mu myaka 10, abana nibo bariko barahasinzikarira kurusha abandi Abavyeyi  barakenye ivyo babagaburira, gushika mu kwezi kwa gatandatu,  50% y'abana bafise munsi y'imyaka itanu mu gihugu cose bakaba bashobora kurwara indwara ziturutse ku kubura ico barya...",health,No preannotation,2023-01-05 00:15:15.585793+00:00,2023-01-05 00:15:15.585822+00:00,deki.kazinduzi
136,No sequence ID (upload ID: 20666),"Prezida Donald Trump wa Amerika yatangaje iduzwa ry’amakori mu kwihora Ubushinwa. 
    Prezida Donald Trump wa Amerika yatangaje ko agiye kwihora igihugu c'Ubushinwa mu kuduza amakori ku bidandazwa biva muri ico gihugu, ivyatumye ibintu biyangara mu ntambara y'ubutunzi hagati y'ivyo bihugu vyompi Hari haciye amasaha make Ubushinwa butangaje integuro y'ukuduza amakori ku bidandazwa biciye  imiliyoni 75 z'amadolari vyinjiye muri ico gihugu bivuye muri vya Amerika, ivyo Perezida Trump yiyamiriza...",business,No preannotation,2023-01-05 00:16:17.643153+00:00,2023-01-05 00:16:17.643208+00:00,deki.kazinduzi
137,No sequence ID (upload ID: 20667),"Terres rares: umushakashatsi Steve de Cliff avuga ko reta y'u Burundi ikwiye gushumbushwa. 
    Reta y'Uburundi isabwa gushiramwo inguvu zose kugira ngo ishobore kwiyungururira amabuye y'agaciro azwi kw'izina rya Terres rares kuko iyo agiye hanze igihugu cibwa Ibi bivugwa n'umwigisha wa kaminuza akaba n'umushakashatsi mu bijanye n'amabuye y'agaciro Steve de Cliff Juru yakoze icigwa kuri ubu butare bucukurwa mu ntara ya Bujumbura...",business,No preannotation,2023-01-05 00:18:20.535621+00:00,2023-01-05 00:18:20.535652+00:00,deki.kazinduzi
138,No sequence ID (upload ID: 20668),"Ayavugwa mu mupira w'amaguru i Bulaya ku wa 09.07.2019: Griezmann, Pogba, James, Icardi, Sane, Bakayoko, Gomez. 
    Atletico Madrid yatanguye umugambi w'uguhana umusatirizi w'umufaransa, Antoine Griezmann w'imyaka 28 yitezwe kwimukira muri Barcelona ku giciro c'imiliyoni 1075 z'amapawundi ...",sports,No preannotation,2023-01-05 00:18:27.175139+00:00,2023-01-05 00:18:27.175168+00:00,deki.kazinduzi
139,No sequence ID (upload ID: 20669),"Umunonotsi wa BBC w'umwaka muri Afrika: Ntando Mahlangu. 
    Ntando Mahlangu ari mu bahiganirwa agashimwe ka BBC k'umunonotsi w'umunye-Afrika yenuriye abandi mu 2021 Ushaka gutora tugusavye kuja ngaha https://www...",sports,No preannotation,2023-01-05 00:20:08.723600+00:00,2023-01-05 00:20:08.723630+00:00,deki.kazinduzi
140,No sequence ID (upload ID: 20670),"CAN 2021: Mali yatsinze Tunisia mu rukino rwaheze mu mpari. 
    Mali yatsinze Tuniziya 1-0 mw'ihiganwa ry'igikombe ca Afrika c'umupira w'amaguru, mu rukino  rwarangiye mu mpari zikomeye mu gihe umuhagarikize yavugije ifirimbi yanyuma hataragera Umumenyereza w'ikipe Aigles du Carthage, Mondher Kebaier hamwe n'abamufasha kumenyereza baciye binjira mu kibuga guhangana n'umuhagarikizi Janny Sikazwe nyuma yo kurangiza urukino hasigaye iminota...",sports,No preannotation,2023-01-05 00:20:21.271355+00:00,2023-01-05 00:20:21.271385+00:00,deki.kazinduzi
149,No sequence ID (upload ID: 20673),"Mali: Abasoda 13 b’Abafaransa baguye mu mpanuka za kajugujugu. 
    Ibiro vy'umukuru w'igihugu c'Ubufaransa bitangaza ko abasirikare 13 bahitanywe n'isanganya rya kajugujugu zibiri mu bitero vyariko bikorwa ku barwanyi bagendera kuvyiyumviro bikaze vy'idini rya Isilamu  Itangazo ryasohowe n'ivyo biro rivuga ko iryo sanganya ryabaye ku mugoroba wa nijoro ku wa mbere...",politics,No preannotation,2023-01-05 00:24:59.749294+00:00,2023-01-05 00:24:59.749329+00:00,deki.kazinduzi
196,No sequence ID (upload ID: 20675),"Zambia: Umupfasoni yashengeje umukunzi wiwe kubera yatevye kumutwara. 
    Ikinyamakuru ca reta muri Zambia, Sunday Times, kivuga ko umupfasoni wo muri ico gihugu yitwariye umukunzi wiwe ngo babumvikanishe avuga ko amurindiriye imyaka umunani kugira bubakane, ubu yahanuwe kumwitwarira ku rindi kosa Kivuga ko Getrude Ngoma w'imyaka 26, aba mu gisagara ca Ndola mu karere ka Copperbelt, yabwiye sentare y'intango ko Herbert Salaliki w'imyaka 28, yamurindirije umwanya muremure ataramutwara kandi yari yarabimwemereye...",uncategorized,No preannotation,2023-01-05 00:30:41.912184+00:00,2023-01-05 00:30:41.912214+00:00,deki.kazinduzi
203,No sequence ID (upload ID: 20676),"Umuyobozi wa Bujumbura agabisha ko CHOLERA yateye igisagara ca Bujumbura. 
    Umukuru w'igisagara ca Bujumbura, Freddy Mbonimpa, aragabisha ababa muri ico gisagara ko indwara ya CHOLERA yamaze kubashikamwo Mw'itangazo yasohoye ejo ku wa mbere igenekerezo rya 05 z'ukwa munani, Bwana Mbonimpa amenyesha ko abantu 126 bamaze kwandura iyo ndwara...",health,No preannotation,2023-01-05 00:31:12.716686+00:00,2023-01-05 00:31:12.716715+00:00,deki.kazinduzi
