id,sentence_id,text,category,preannotation,created_at,updated_at,user
2404,No sequence ID (upload ID: 21464),"Paramende Yozeya Zvakabuda Muongororo yeMotlanthe Commission?. 
    Paramende iri kutarisirwa kuzeya zvakabuda muongororo yemhirizhonga yakaita mushure mesarudzo zviri mugwaro rekomisheni yaitungamirwa nevaimbove mutungamiri weSouth Africa, VaKgalema Motlanthe Izvi zvinotevera chikumbiro chaitwa nenhengo yeMDC muparamende...",politics,No preannotation,2023-01-05 18:32:42.777677+00:00,2023-01-05 18:32:42.777706+00:00,blessing.sibanda
2405,No sequence ID (upload ID: 21465),"Danho reSouth Africa reKunyevenutsa Mutemo weKudzivirira Kupararira kweCovid-19 Rotambirwa neMufaro. 
    Mutungamiri weSouth Africa, VaCyril Ramaphosa vakazivisa neChitatu manheru kuti hurumende yavo yave kuzonyevenutsa mitemo yakasiyanasiyana ine chekuita nekudzivirirwa kwekupararira kwechirwere cheCovid-19  VaRamaphosa vakazivisa kuti kubva pakati peusiku hwemusi weSvondo 20 Gunyana nyika inenge yave kuenda pa Level 1 ye lockdown, zvichitevera kudzikira kwehuwandu hwevanhu vari kuvhenekwa vaine chirwere ichi munyika iyi...",health,No preannotation,2023-01-05 18:32:56.187042+00:00,2023-01-05 18:32:56.187082+00:00,blessing.sibanda
2406,No sequence ID (upload ID: 21466),"Magweta aVaSikhala Oita Chipatapata Chekuti Vaonekwe naChiremba kuChikurubi. 
    Nezuro veZimbabwe Prisons and Correctional Service, vakaudza mhuri yemumiriri weZengeza West VaJob Sikhala vebato reCitizens Coalition for Change kuti vainge vasiri kunzwa zvakanaka kujeri reChikurubi uye vaifanira kuuya nachiremba wavo kuti azovaongorora Asi rimwe remagweta avo, VaFred Masarirevhu, vaudza Studio7 kuti VaSikhala vange vasati vaonekwa nachiremba wavo pataenda pamhepo sezvo vange vaenda kudare pane imwe nyaya yavari kupomerwa...",politics,No preannotation,2023-01-05 18:33:05.636136+00:00,2023-01-05 18:33:05.636166+00:00,blessing.sibanda
2408,No sequence ID (upload ID: 21468),"Vanopikisa Voramba Mashoko eKuti Vari Kurara neZamu Mukanwa. 
    Zvinhu munyika zviri kuramba zvakaita manyama amire nerongo vanhu vachinonga svosve nemuromo uye kunetseka zvisina mukare akamboona Vanhu havana mabasa, zvekudya, mvura yekunwa uye kuzvipatara mishonga yati hwa kupera...",politics,No preannotation,2023-01-05 18:36:47.209407+00:00,2023-01-05 18:36:47.209436+00:00,blessing.sibanda
2410,No sequence ID (upload ID: 21470),"Muzvare Thokozani Khupe Vanoti Ndivo Vava Mutungamiri weMDC-T. 
    Muzvare Thokozani Khupe, avo vanga vari mutevedzeri wemutungamiri weMDCT, VaDouglas Mwonzora, vazivisa nhasi kuti bato ravo ratsemuka nepakati vachipomera VaMwonzora mhsova yekutyora bumbiro remitemo yebato iri Muzvare Khupe, avo vakambomiswa basa naVaMwonzora kuti vaferefetwe pamhosva dzavari kupomerwa, vaudza vatori venhau paMzilikazi Hall muguta reBulawayo kuti ndivo vave mutungamiri webato rinopikisa muparamende sezvo VaMwonzora vakazvidzinga voga mubato mushure mekunyorera kwavakaita komisheni inoona nezvesarudzo yeZimbabwe Electoral Commission, vachiti sebato vachapinda musarudzo dzema by-elections vachishandisa zita rekuti MDC Alliance iro riri kushandiswa naVaNelson Chamisa...",politics,No preannotation,2023-01-05 18:38:16.496482+00:00,2023-01-05 18:38:16.496512+00:00,blessing.sibanda
2412,No sequence ID (upload ID: 21469),"VaMsipa Voradzikwa kuHeroes Acre neMugovera. 
    Vaimbova gavhuna wedunhu reMidlands Province VaCephas Msipa vave kutarisirwa kuradzikwa kumarinda eHeroes Acre muHarare neMugovera Hama dzaVaMsipa dzaimbenge dzati varadzikwe kuGweru sechido chavo asi zvakazochinjwa...",uncategorized,No preannotation,2023-01-05 18:38:34.233478+00:00,2023-01-05 18:38:34.233506+00:00,blessing.sibanda
2413,No sequence ID (upload ID: 21467),"Vanhu Vanokuvara Vachida Kuona Mutumbi waVaMugabe. 
    Vanhu vakawanda vakuvara kunhandare yeRufaro meshure mekunge zviuru zvevanhu zvatsikirirana zvichimhanyira kundoona mutumbi wevaimbove mutungamiriri wenyika, VaRobert Mugabe, munhandare yeRufaro Mutumbi waVaMugabe waendeswa kunhandare yeRufaro Stadium kuMbare uko vakatora mhiko yekutungamira nyika muna 1980...",uncategorized,No preannotation,2023-01-05 18:38:44.394304+00:00,2023-01-05 18:38:44.394332+00:00,blessing.sibanda
2414,No sequence ID (upload ID: 21471),"VaMnangagwa Vanoti Hurumende Ine Hwaro hweMagoverwo Achaitwa Nhomba yeCovid-19. 
    Mutungamiri wenyika, VaEmerson Mnangagwa, vazivisa kuti hurumende yavo yatove nehwaro hwekugoverwa kuchaitwa nhomba yekudzivirira Covid-19, uye hwangomirira kupinda munyika kwenhomba yekutanga iri kutarisirwa munyika nemusiweMuvhuro svondo rinouya Vachitaura pamusangano wevatungamiri vemapato vakakwikwidza musarudzo muna 2018, wePOLAD, waitirwa padandemutande, VaMnangagwa vatiwo mari yekutengwa kwemimwe mishonga yenhomba yeCovid-19 yakatoiswa parutivi, uye pane hurongwa hwekuti makambani akazvimirira pamwe nemamwe masangano abatsirewo...",health,No preannotation,2023-01-05 18:38:54.828867+00:00,2023-01-05 18:38:54.828894+00:00,blessing.sibanda
2415,No sequence ID (upload ID: 21472),"Vakawanda Vobvunza Kuti VaMugabe Voramba Vachitonga Here?. 
    Mutungamiri wenyika, VaRobert Mugabe, neChina vakange vari sachigaro wedare remakurukota semazuva ose pamusangano wakaitirwa kumahofisi avo eMunhumutapa muHarare panguva iyo vakawanda vanga vachitarisira kuti vanogona kutadza kuenda kubasa VaMugabe vakakanganisa kutsika panhandare yendege neChitatu zvakapa kuti vagwadame pasi mushure mekutaura nevatsigiri vavo paHarare International Airport...",politics,No preannotation,2023-01-05 18:39:19.870763+00:00,2023-01-05 18:39:19.870803+00:00,blessing.sibanda
2417,No sequence ID (upload ID: 21473),"African Union Yokurudzirwa Kunzwa mativi ose paNyaya yeZimbabwe. 
    Musangano wevatungamiri venyika dzemu Africa, weAfrican Union wechimakumi matatu nembiri watanga muguta guru reEthiopia reAdis Ababa mutungamiri nyika VaEmmerson Mnangagwa vachipindawo mumusangano uyu Nyaya yemamiriro akaita zvinhu muZimbabwe inonzi ndeyimwe yenyaya dzichakurukurwa nezvadzo pamusangano uyu, kusanganisirawo mamiriro ezvinhu muD-R-C nemuSudan...",politics,No preannotation,2023-01-05 18:39:55.137947+00:00,2023-01-05 18:39:55.137974+00:00,blessing.sibanda
