id,sentence_id,text,category,preannotation,created_at,updated_at,user
1243,No sequence ID (upload ID: 21124),"'Kwanini nilitumia bidhaa za kujichubua'. 
    Karishma Leckraz alianza kutumia bidhaa za kumfanya kuwa mweupe akiwa na umri wa miaka 13 baada ya kuarifiwa kwamba atakuwa mzuri zaidi ngozi yake ikiwa nyeupe ""Nliambiawa kwamba nina umbo zuri - lakini niabu kwasababu ni mweusi sana,"" msichana huyo wa miaka 27 amezungumza na Radio 1 Newsbeat...",uncategorized,No preannotation,2023-01-05 10:28:29.294208+00:00,2023-01-05 10:28:29.294238+00:00,brianodhiambo530
1248,No sequence ID (upload ID: 21122),"K﻿ombe la Dunia 2022: Kauli ya balozi wa kombe la dunia Qatar kuhusu wapenzi wa jinsia moja 'haikubaliki'. 
    Shirika la haki za binadamu la Human right watch limesema kauli ya Balozi wa Kombe la Dunia Qatar kuhusu mapenzi ya jinsia moja kuharibu fikra ""ina madhara na haukubaliki"" Mchezaji huyo wa zamani wa kimataifa wa Qatar Khalid Salman aliliambia shirika la utangazaji la Ujerumani, ZDF kwamba watu wanaojihusisha na mapenzi ya jinsia moja wanaohudhuria mashindano hayo wanapaswa ""kutii sheria zetu""...",sports,No preannotation,2023-01-05 10:28:46.748971+00:00,2023-01-05 10:28:46.749001+00:00,brianodhiambo530
1254,No sequence ID (upload ID: 21120),"Je baraza jipya la kitaifa la Kiswahili Uganda litakuwa na jukumu gani?. 
    Serikali ya Uganda imeidhinisha kuundwa kwa baraza la kitaifa la Kiswahili litakaloongoza kuidhinishwa kwa kiswahili kuwa lugha rasmi ya pili nchini Waziri wa jinsia kazi na maendeleo ya Jamii Peace Mutuzo ameieleza BBC kwamba Kiswahili ni lugha iliyokubalika katika katiba ya Uganda...",uncategorized,No preannotation,2023-01-05 10:29:14.671478+00:00,2023-01-05 10:29:14.671649+00:00,brianodhiambo530
1256,No sequence ID (upload ID: 21118),"Kwanini upinzani Rwanda unapinga ushirikiano na Urusi kuidhinisha matumizi ya nishati ya nyukilia?. 
    Nchi ya Urusi imeahidi kusaidia baadhi ya mataifa ya Afrika kujenga uwezo wake wa kutumia teknolojia ya nyukilia Hayo yamejitokeza katika mkutano baina ya Urusi na wakuu wa mataifa 40 ya Afrika uliomalizika huko Sochi nchini Urusi...",politics,No preannotation,2023-01-05 10:29:22.199479+00:00,2023-01-05 10:29:22.199507+00:00,brianodhiambo530
1259,No sequence ID (upload ID: 21116),"Malkia: Picha zinazoonyesha ‘furaha nyuma ya utaratibu’. 
    Malkia ameipatia dunia mwangaza juu ya ‘’furaha nyuma ya utaratibu’’wa maisha ya ufalme katika makala mpya ya BBC ‘’Elizabeth:Malkia asiyeonekana’’ anaelezea maisha yake kupitia mamia ya misururru ya picha za video ambazo zinatolewa kwa mara ya kwanza...",entertainment,No preannotation,2023-01-05 10:29:34.971487+00:00,2023-01-05 10:29:34.971515+00:00,brianodhiambo530
1261,No sequence ID (upload ID: 21114),"Mauaji ya Jamal Khashoggi: 'Mwanamfalme wa Saudia Mohammed bin Salman lazima achunguzwe'. 
    Kuna ushahidid kamili kwamba mwanamfalme wa Saudia Mohammed bin Salman na maafisa wengine wa ngazi za juu wanahusika kibinafsi kwa muaji ya  Jamal Khashoggi, kulingana na mtaalamu wa Umoja wa mataifa Ripoti ya mtaalamu huyo wa UN Agnes Callamard inasema kuwa ushahidi huo unahitaji kufanyiwa uchunguzi na jopo huru la kimataifa lisilipoendelea upande wowote...",politics,No preannotation,2023-01-05 10:29:43.431734+00:00,2023-01-05 10:29:43.431762+00:00,brianodhiambo530
1262,No sequence ID (upload ID: 21112),"Virusi vya corona: Kenya yaruhusu ndege za nchi 11 pekee kutua viwanja vya Kenya. 
    Saa kadhaa kabla ya kuanza kwa safari za ndege kimataifa, serikali ya Kenya imetangaza muongozo mpya kuhusu hatua hiyo Akizungumza jijini Nairobi wakati akitoa taarifa kuhusu mwendendo wa maambukizi ya janga la Covid-19 nchini Kenya, Waziri wa Usafirishaji James Macharia amesema kuwa anga la Kenya halitafunguliwa kwa kila mtu...",health,No preannotation,2023-01-05 10:29:49.371755+00:00,2023-01-05 10:29:49.371782+00:00,brianodhiambo530
1271,No sequence ID (upload ID: 21111),"Baraza la Usalama la UN ni nini na Kenya itafaidika vipi na wadhifa huu?. 
    Baada ya panda shuka zo joto la kisiasa, Kenya imeiangusha Djibouti na kunyakua kiti katika Baraza la Usalama la Umoja wa Mataifa (UN) Kenya sasa itakaa katika baraza hilo linalopitisha maazimio muhimu duniani kwa muhula wa miaka miwili...",politics,No preannotation,2023-01-05 10:30:10.591178+00:00,2023-01-05 10:30:10.591206+00:00,brianodhiambo530
1275,No sequence ID (upload ID: 21110),"Museveni: 'Bobi Wine ni adui wa maendeleo'. 
    Rais wa Uganda Yoweri Museveni amemtaja mkosoaji wake,  mwanamuziki aliyegeuka kuwa mwanasiasa Robert Kyagulanyi au Bobi Wine, kama ""adui wa mafanikio ya nchi"" Sikiliza mahojiano kamili na rais Museveni...",politics,No preannotation,2023-01-05 10:30:32.771283+00:00,2023-01-05 10:30:32.771311+00:00,brianodhiambo530
1280,No sequence ID (upload ID: 21109),"Msafirishaji haramu wa watu: 'Ninawapa wateja fomu ya kusaini kukubaliana na hatari'. 
    Msafirishaji haramu wa watu anasema mpango wa serikali ya Uingereza kupeleka watu wanaotafuta hifadhi nchini Rwanda sio kikwazo kwa wateja wake Mwandishi wa BBC anakutana naye katika kituo chake huko Uturuki ikiwa ni katika uchunguzi kuhusu jinsi maelfu ya wahamiaji wanavyoishia kwenye fukwe za kusini mwa Uingereza wakidai hifadhi...",uncategorized,No preannotation,2023-01-05 10:30:54.691756+00:00,2023-01-05 10:30:54.691784+00:00,brianodhiambo530
1282,No sequence ID (upload ID: 21108),"Watu kadhaa wauawa katika shambulio la wanamgambo wa Kiislamu Msumbiji. 
    Watu kadhaa wameuawa kufuatia shambulio lililotokea mjini Palma, kaskazini mwa Msumbiji, kwa mujibu wa msemaji wa idara ya usalama Watu saba wameuawa wakati wakijaribu kutoroka mapigano hayo katika hoteli moja, amesema Omar Saranga...",uncategorized,No preannotation,2023-01-05 10:31:10.352683+00:00,2023-01-05 10:31:10.352713+00:00,brianodhiambo530
1284,No sequence ID (upload ID: 21107),"Urusi inavyotumia pesa nyingi kumlinda Putin dhidi ya Covid. 
    Katika kilele cha janga la Covid, Rais wa Urusi Vladimir Putin alikuwa mmoja wa viongozi wa serikali waliolindwa zaidi ulimwenguni - bado hali iko hivyo, licha ya kuplegezwa  kwa hatua za kupambana na  coronavirus kote ulimwenguni Kila mtu aliye na ufikiaji ndani ya eneo la kilomita la kiongozi wa Urusi (na hiyo ni watu kadhaa, kama vile madaktari, wafanyikazi wa huduma, marubani na wengine wengi) lazima watumie wiki mbili katika karantini na kuchukua vipimo visivyo chini ya vinne vya Covid, na vile vile vingine...",health,No preannotation,2023-01-05 10:31:23.011656+00:00,2023-01-05 10:31:23.011685+00:00,brianodhiambo530
1290,No sequence ID (upload ID: 21106),"Jinsi ya kutengeneza asali bila nyuki na maziwa bila ng'ombe. 
    ""Nikiwa binafsi mtu asiyekula nyama, kusema kweli ninakosa kula asali,"" anasema Darko Mandich, muasisi mwenza na mkurugenzi mtendaji wa kampuni ya MeliBio Si jambo la kawaida kwa mtu asiyekula nyama kuhisi kuwa anavikosa vyakula vya aina fulani...",uncategorized,No preannotation,2023-01-05 10:31:44.651647+00:00,2023-01-05 10:31:44.651677+00:00,brianodhiambo530
