id,sentence_id,text,category,preannotation,created_at,updated_at,user
7771,No sequence ID (upload ID: 21264),"ሊብያ፡ ካብ ኣውስትራልያ ዝመጽኣ 3000 ኣግማል ካብ መጥቃዕቲ ድሒነን. 
    ኣስታት 3000 ካብ ኣውስትራልያ ዝኣተዋ ኣግማል፡ ኣብ ወደብ ርእሰከተማ ትሪፖሊ ምስ በጽሓ፡ ኣብ ልዕሊ'ቲ ወደብ ናይ ሮኬታት መጥቃዕቲ ተኸፊቱ እታ ከተማ፡ በቶም ክቆጻጸርዋ ካብ ምብራቓዊ ክፋል'ታ ሃገር ዝገስገሱ፡ ብጀነራል ካሊፋ ሓፍታር ዝምርሑ ሓይልታት ተኸቢባ፡ መጥቃዕቲ ክወርዳ ካብ ዝጅምር ሓያሎ ኣዋርሕ ኮይኑ'ሎ...",uncategorized,No preannotation,2023-01-08 19:20:04.887907+00:00,2023-01-08 19:20:04.887935+00:00,muler.java
7772,No sequence ID (upload ID: 21265),"ኣብ ውሽጢ ደርሆ ሽጉጥ ሓቢኡ ናብ ነፋሪት ክኣቱ ዝፈተነ ገያሻይ ተታሒዙ. 
    ኣብ ኣሜሪካ ሓደ ገያሻይ ኣብ ውሽጢ ዘይተከሸነ ስጋ ደርሆ ሽጉጥ ሓቢኡ ናብ ነፋሪት ከእቱ ኣብ ዝፈተነሉ ከም ዝተትሓዘ ተገሊጹ ሰብ መዚ መጉዓዝያ ኣሜሪካ እቲ ተግባር ኣብ መዓርፎ ነፈርቲ ፎርት ላውደርደል ፍሎሪዳ ከም ዝተፈጸመ ሓቢሮም...",uncategorized,No preannotation,2023-01-08 19:21:27.992566+00:00,2023-01-08 19:21:27.992595+00:00,muler.java
7773,No sequence ID (upload ID: 21266),"ንቻይና ዝመርሑ ቀንዲ ሰብኡት በዓል መን እዮም?. 
    ዴሳዊ ሰልፊ ቻይና፡ ኣብ መወዳእታ ጉባኤኡ ንዝመጽእ ሓሙሽተ ዓመታት ንቻይና ዝመርሑ ሰባት ብወግዒ ኣፍሊጡ’ሎ ቀዋሚ ኮሚቴ ፖሊትቢሮ፡ ማዕረ ፕረዚደንታዊ ካቢነ ቻይና ስልጣን ኣለዎ...",politics,No preannotation,2023-01-08 19:22:39.000756+00:00,2023-01-08 19:22:39.000813+00:00,muler.java
7774,No sequence ID (upload ID: 21267),"ብሪጣንያ፡ 'ጥሮታ ኣብ ዝወጻእኵሉ ዝምነዮ ስራሕ ረኺበ፣ ሰባት ምምርዓው'. 
    ጓል 58 ዓመት ኣማንዳ ዊል፡ ን30 ዓመታት መምህር እያ ነይራ፣ ቅድሚ ክልተ ዓመት ከኣ ጥሮታ ወጺኣ ዝተረፈ ዕድመይ እንታይ እናገበርኩ ከሕለፎ እየ፡ ኣብ እትብለሉ ዝነበረት እዋን፡ ሓዋ ሓደ ዘተባብዕ ነገር ኣማኺርዋ...",entertainment,No preannotation,2023-01-08 19:23:52.787220+00:00,2023-01-08 19:23:52.787250+00:00,muler.java
7775,No sequence ID (upload ID: 21268),"ኤርትራዊ ተዋስኣይ ሰዓረ ፍጹም ንኣህጉራዊ ሽልማት ፊልም ተሓጽዩ. 
    ኤርትራዊ ተዋስኣይ ሰዓረ ፍጹም፡ ‘ሰዓረ’ ኣብ ዘርእስታ ሓጻር ፊልም ብዝተላበሶ ገጸባህሪ በቲ ኣብ ቡርኪናፋሶ ዝመደበሩ ንኣፍሪቃውያን ተዋሳእቲ ዝሽልም ኣህጉራዊ ሽልማት ሰቱጌ ኣብ ሰለስተ ዓውድታት ንሽልማት ተሓጽዩ ተዋስኣይ ሰዓረ፡ ኣብ ዝበለጸ ተዋስኣይ ምብራቕ ኣፍሪቃ፡ ወርቃዊ ሽልማት ንዝበለጸ ተዋስኣይ ኣፍሪቃ ከምኡ’ውን ብህዝቢ ዝተሓረየ ዝበለጸ ተዋስኣይ ኣፍሪቃ ኣብ ዝብል ዓውድታት’ዩ ንሽልማት ተሓጽዩ ዘሎ...",entertainment,No preannotation,2023-01-08 19:24:16.352621+00:00,2023-01-08 19:24:16.352647+00:00,muler.java
7776,No sequence ID (upload ID: 21269),"ቡርኪና ፋሶ፡ ምስ እስላማውያን ዕጡቓት ክዛተ ቅርብቲ እየ ኢላ. 
    መንግስቲ ቡርኪና ፋሶ ትማሊ ሓሙስ ኣብ ዝሃቦ መግለጺ፡ ምስቶም ኣብቲ ሃገራት ሳህለ ሳህራ ግብረ ሽበራዊ መጥቃዕትታት ዘካይዱ ዘለዉ እስለማውያን ዕቱቓት ዘተ ክገብር ድሉው ምህላዉ ኣፍሊጡ ኣብቲ ዞባ ዋላ እኳ ጽዑቕ ወተሃደራዊ ስርሒታት ይካየድ እንተኾነ፡ ጃሃዳውያን ዕጡቓት ዘውርድዎ ዘለዉ መጥቓዕትታት'ውን ካብ መዓልቲ ናብ መዓልቲ እዩ እናዛየደ ዝኸይድ ዘሎ...",politics,No preannotation,2023-01-08 19:25:04.385558+00:00,2023-01-08 19:25:04.385586+00:00,muler.java
7777,No sequence ID (upload ID: 21271),"ኣዘውቲርና እንምገቦ እንጀራ ጣፍ ትሕዝቶኡ እንታይ እዩ?. 
    ብሳይንሳዊ መገዲ ብዙሕ አይተባህለሉን፣ እኹል መጽናዕቲ ተኻይድሉ ምባል'ውን ኣይከኣልን እንተዀነ፡ መብዛሕትኡ ግዜ ኣብ መኣድና ዝውቱር እዩ - ጣይታ ጣፍ/እንጀራ...",health,No preannotation,2023-01-08 19:25:48.378395+00:00,2023-01-08 19:25:48.378424+00:00,muler.java
7778,No sequence ID (upload ID: 21272),"ሃፀይ ሃይለስላሰ ዝተገልገሉሎም ኣቑሑት ኣብ ብሪጣንያ ንምርኢት ክቐርቡ እዮም. 
    ሃፀይ ሃይለስላሰ ኣብ ብሪጣንያ ኣብ ዝነበሩሉ እዋን ዝተገልገልሎም ኣቑሑት ንምርኢት ክቐርቡ ምዃኖም ተገሊጹ ቀዳማዊ ሃይለስላሴ ድሕሪ ወራር ጣልያን ን5 ዓመታት ባዝ ኣብ ዝተባህለት ከተማ ብሪጣንያ ከም ዝጸንሑ ይፍለጥ...",uncategorized,No preannotation,2023-01-08 19:26:24.371895+00:00,2023-01-08 19:26:24.371930+00:00,muler.java
7779,No sequence ID (upload ID: 21273),"ምጽንባር ዩክረይን ናብ ኣውሮጳዊ ሕብረት ዓሰርተታት ዓመታት ክወስድ ይኽእል’ዩ - ፕረዚደንት ማክሮን. 
    ጉዳይ ምጽንባር ዩክረይን ናብ ኣውሮጳዊ ሕብረት ዓመታት ክወስድ ከም ዝኽእል ፕረዚደንት ፈረንሳ ኢማኑዌል ማክሮን ሓቢሩ ንሱ ኣብ ስትራስበርግ ንፓርላማ ኣውሮጳዊ ሕብረት ኣብ ዘስምዖ መደረ፡ ዩክረይን ውሳነ እናተጸበት እንከላ፡ ናብ ኣውሮጳዊ ማሕበረሰብ ክትጽምበር ከምእትኽእል ተዛሪቡ...",politics,No preannotation,2023-01-08 19:26:45.301707+00:00,2023-01-08 19:26:45.301734+00:00,muler.java
7781,No sequence ID (upload ID: 21274),"ኣብ ግብጺ ሰለስተ ሰባት ብዕንቅርቢት ተነኺሶም ሞይቶም. 
    ኣብ ግብጺ ደቡባዊት ከተማ ኣስዋን፡ ከቢድ ማዕበል ናብ ጽርጋታትን መንበሪ ኣባይትን ዘምጸአን ዕንቅርቢታትን [ጥንቅርብዒታት] ሰለስተ ሰባት ነኺሰን ቀቲለን፡፡ ኣስታት 450 ሰባት እውን ብሕንዚ  እተን ዕንቅርቢታትን ጉድኣት ከምዝበጸሖም ሓደ በዓል ስልጣን ጥዕና ሓቢሩ፡፡ እቲ ኣብ ጥቓ ሩባ ናይል ዝርከብ ከባቢ ብዓርቢ ብኸቢድ ኣውሎ ንፋስ ተጠቒዑ ነይሩ ኣብቲ ከባቢ ከቢድ ዝናብ እንትሃርም ኣብ ጽርጋታት በዝሒ ዘለዎም ጥንቅርብዒታትን ኣትማንን ተገሊፎም ምርኣይ ልሙድ  እዩ፡፡ ኣብዚ እዋን ናብቶም ዝተጠቕዑ ከባቢታት ጸረ-ሕንዚ መድሃኒታት ብበዝሒ ከምዝተኸፋፈለ ሓደ በዓል መዚ ጥዕና ንወኪል ዜና ኣህራም ገሊጹ፡፡ ኣብ ምሃብ ክታበታት ተዋፊሮም ዝነበሩ ዶኳትር፡ ነቶም ብጥንቅርብዒታት ጉድኣት ዝበጸሖም ሰባት ናብ ምሕካም ክወፍሩ ከምዝተገበረ እቲ በዓል መዚ ወሲኹ ሓቢሩ፡፡ ነበርቲ በዝሒ ኣግራብ ካብ ዘለዎ ከባቢ ክርሕቑን ኣብ ገዝኦም ክጸንሑን ተነጊሩዎም ኣሎ፡፡ ግብጺ ካብተን ኣዝየን ቀተልቲ ዝኾና ዓሌታት፡ ሮጒድ ጭራ ዘለወን (ፋት-ተይልድ) እንቅርብዒታት ዝርከባላ ሃገር እያ...",health,No preannotation,2023-01-08 19:27:39.619219+00:00,2023-01-08 19:27:39.619271+00:00,muler.java
